	event
01OV002	False
01OV007	True
01OV008	False
01OV010	False
01OV013	True
01OV017	True
01OV018	True
01OV019	False
01OV023	False
01OV026	False
01OV030	False
01OV039	True
01OV041	True
01OV045	False
01OV046	True
01OV047	False
01OV049	True
02OV005	True
02OV006	True
02OV008	False
02OV022	False
02OV023	True
02OV029	True
02OV032	True
02OV035	True
02OV036	True
02OV040	True
02OV041	False
02OV042	True
02OV044	True
02OV045	True
02OV046	True
04OV001	False
04OV004	False
04OV005	False
04OV008	True
04OV011	False
04OV012	False
04OV013	False
04OV017	False
04OV018	False
04OV021	True
04OV023	False
04OV024	False
04OV027	True
04OV028	True
04OV031	False
04OV033	False
04OV036	True
04OV037	True
04OV039	True
04OV040	True
04OV041	False
04OV044	True
04OV045	True
04OV048	True
04OV049	False
04OV050	False
04OV051	False
04OV053	True
04OV054	False
04OV055	True
04OV057	False
04OV058	True
04OV063	False
11OV002	True
11OV009	False
13OV003	False
13OV004	False
14OV011	False
15OV001	False
17OV001	True
17OV002	False
17OV010	False
17OV011	True
17OV013	False
17OV014	False
17OV015	True
17OV017	True
17OV018	True
17OV019	False
17OV025	True
17OV027	False
17OV028	False
17OV029	True
17OV030	True
17OV033	True
17OV034	True
17OV036	False
17OV039	False
17OV040	False
18OV001	False
20OV005	True
22OV001	False
26OV002	False
26OV008	True
26OV009	True
26OV010	False
26OV011	False
26OV013	True
