	event
01BR001	True
01BR008	False
01BR009	False
01BR010	False
01BR015	True
01BR017	False
01BR018	False
01BR020	True
01BR023	True
01BR025	False
01BR026	True
01BR027	True
01BR030	True
01BR031	False
01BR032	False
01BR033	False
01BR040	True
01BR042	False
01BR043	False
03BR002	False
03BR004	True
03BR005	False
03BR006	True
03BR010	False
03BR011	False
03BR013	False
05BR001	False
05BR003	False
05BR004	False
05BR005	True
05BR009	False
05BR016	False
05BR026	False
05BR029	True
05BR038	False
05BR042	False
05BR043	True
05BR044	False
05BR045	True
06BR003	True
06BR005	True
06BR006	False
06BR014	False
09BR001	False
09BR004	True
09BR005	False
09BR007	False
11BR003	False
11BR004	True
11BR006	False
11BR009	False
11BR010	False
11BR011	False
11BR012	False
11BR013	True
11BR014	False
11BR015	True
11BR016	False
11BR017	False
11BR018	False
11BR019	False
11BR020	False
11BR022	False
11BR023	True
11BR024	False
11BR025	True
11BR027	False
11BR028	False
11BR030	True
11BR031	False
11BR032	False
11BR036	True
11BR038	False
11BR040	False
11BR042	False
11BR043	True
11BR044	True
11BR047	False
11BR049	False
11BR050	False
11BR051	True
11BR053	True
11BR054	False
11BR055	False
11BR056	False
11BR058	False
11BR059	False
11BR060	False
11BR072	False
11BR073	True
11BR074	False
11BR075	False
11BR080	True
13BR009	False
14BR005	False
14BR008	False
14BR014	True
15BR003	False
16BR012	False
18BR002	False
18BR003	False
18BR004	False
18BR006	True
18BR007	False
18BR009	False
18BR010	True
18BR016	False
18BR017	False
18BR019	False
20BR001	False
20BR002	True
20BR005	False
20BR006	True
20BR007	False
20BR008	False
21BR001	False
21BR002	False
21BR010	False
22BR005	False
22BR006	False
CPT000814	True
CPT001846	False
