Name	brca_Database_ID	luad_Database_ID	ccrcc_Database_ID	lscc_Database_ID	ovarian_Database_ID	brca_pvalue	ccrcc_pvalue	colon_pvalue	endometrial_pvalue	gbm_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue	brca_diff	ccrcc_diff	colon_diff	endometrial_diff	gbm_diff	lscc_diff	luad_diff	ovarian_diff
AASS	NP_005754.2	NP_005754.2	NP_005754.2	NP_005754.2	NP_005754	0.8920133146698871	0.1762827556650482	0.3323564229829443	0.4256754615335285	0.25176465429890554	0.300488770203221	0.8362834159817231	0.290162859297097	0.13853295454545464	0.19322485897596942	-0.14957800904977372	0.4023943750000002	0.2498023601487961	-0.873094114662608	0.25928124999999996	0.28544119167918625
ABCB8	NP_001269220.1|NP_009119.2|NP_001269222.1|NP_001269221.1	NP_001269220.1|NP_009119.2|NP_001269222.1|NP_001269221.1	NP_001269222.1	NP_001269220.1|NP_009119.2|NP_001269222.1|NP_001269221.1	NP_001269220	0.9018305495278838	0.07689467197497261	0.04922959879676597	0.051964145200825235	0.01457607349955358	0.3189202983255523	0.254957386971768	0.9725545382605351	0.10051993006993001	0.22616746476244354	0.22626470588235298	0.6384875000000001	0.34289731590375916	-0.27463460172501275	0.5503333333333333	0.015632207075117338
ABCF2	NP_005683.2|NP_009120.1	NP_005683.2|NP_009120.1	NP_005683.2	NP_005683.2|NP_009120.1	NP_005683	0.03858253764893439	0.006878131947342139	0.17636292844469398	0.7753696776543373	0.09239460133025373	0.1046799593091384	0.02683871853460228	0.11565473008241095	0.7251249125874125	0.2020606167279557	0.12944071093226023	0.048771124999999915	0.23823035008448012	0.408912531709792	0.6344124999999998	0.2235714814194054
ABHD11	NP_683710.1|NP_683711.1|NP_001138836.1|NP_001308311.1|NP_001308312.1|NP_001287987.1	NP_683710.1|NP_683711.1|NP_001138836.1|NP_001308311.1|NP_001308312.1|NP_001287987.1	NP_683710.1	NP_683710.1|NP_683711.1|NP_001138836.1|NP_001308311.1|NP_001308312.1|NP_001287987.1	NP_683710	0.7218976479215828	0.235208481259019	0.22202929411824185	0.49420895123675374	0.522540985782595	0.5464438391910942	0.024617467813777043	0.5869718139343801	0.3422684440559441	0.16078928656691538	0.22641589537223342	0.30951860000000003	0.144931469046635	0.2924118721461186	1.5154708333333333	0.21821865463223794
AGAP3	NP_114152.3|NP_001268229.1|NP_001036000.1|NP_001295233.1	NP_114152.3|NP_001337031.1|NP_001268229.1|NP_001337032.1|NP_001337033.1|NP_001036000.1|NP_001295233.1	NP_001337031.1	NP_114152.3|NP_001337031.1|NP_001268229.1|NP_001337032.1|NP_001337033.1|NP_001036000.1|NP_001295233.1	NP_114152	0.856482801439397	0.03535643362124465	0.8101251102315268	0.6590573183033229	0.34689817048938365	0.18060300095055598	0.015436578812561405	0.2779088524165141	-0.14146547202797216	0.15847451224893117	-0.05036952104499274	0.09812287500000003	0.17608191010600027	0.31896220192795527	0.7177562500000001	0.18262287401564944
AGAP3	NP_114152.3|NP_001268229.1|NP_001036000.1|NP_001295233.1	NP_114152.3|NP_001337031.1|NP_001268229.1|NP_001337032.1|NP_001337033.1|NP_001036000.1|NP_001295233.1	NP_001337031.1	NP_114152.3|NP_001337031.1|NP_001268229.1|NP_001337032.1|NP_001337033.1|NP_001036000.1|NP_001295233.1	NP_001295234	0.856482801439397	0.03535643362124465	0.8101251102315268	0.6590573183033229	0.34689817048938365	0.18060300095055598	0.015436578812561405	0.3090966205011354	-0.14146547202797216	0.15847451224893117	-0.05036952104499274	0.09812287500000003	0.17608191010600027	0.31896220192795527	0.7177562500000001	0.2038179197292645
AGFG2	NP_006067.3	NP_006067.3	NP_006067.3	NP_006067.3	NP_006067	0.9820374241372215	0.2860665595520519	0.22316573511999307	0.20753038594498183	0.04179909452853195	0.8355413744028025	0.09295582958883467	0.08855201116157609	0.010062325174825082	0.10618937042986683	0.1914232729711603	0.42063	0.36112400614566115	-0.09745733130390666	0.7102333333333333	0.3152982651205008
AGK	NP_060708.1	NP_060708.1	NP_060708.1	NP_060708.1	NP_060708	0.0976797948125039	0.03140830476000012	0.0008837490116642505	0.06885431509354512	0.010767755323009377	0.5464438391910942	0.19586056733572538	0.08855201116157609	0.699183653846154	0.27957434439088386	0.30565137491616357	0.4529112500000001	0.35163636560171474	0.2054715372907155	0.5126874999999999	0.2796909436197183
AHCYL2	NP_001124192.1|NP_056143.1	NP_001124192.1|NP_056143.1|NP_001124194.2		NP_001124192.1|NP_056143.1|NP_001124194.2	NP_001124192	0.9164893390707565		0.8551750745029205	0.0241341917398852	0.05609798863466129	0.7887559993048144	0.18699047901051427	0.4048745112199827	0.07576660839160848		-0.039469483568075	0.57581875	0.46415146245709993	0.11054134956874673	0.6997020833333334	0.1405168927214398
AKAP9	NP_671714.1	NP_005742.4|NP_671714.1		NP_005742.4|NP_671714.1	NP_005742	0.14865159578663859		0.4285322079107968	0.0033451540321569216	0.1662067782479523	0.9433832093148927	0.5954394786272922	0.002017980220561633	0.5517187062937062		0.05967525150905432	0.449054375	0.1330398894924598	0.01939162861491628	0.21236249999999993	0.34728053795461655
