protein	cancers	mean_simp_change	num_cancers
RASA1	endometrial_luad	1	2
PMPCA	colon	1	1
PMPCB	colon	1	1
SSBP1	colon	1	1
ZNF318	endometrial	-1	1
ABHD11	luad	1	1
ACAD8	luad	1	1
ACAP1	luad	-1	1
ACAP2	luad	-1	1
ACP6	luad	1	1
ADA	luad	-1	1
ADAM15	luad	1	1
ADPRH	luad	-1	1
AIFM1	luad	1	1
AIFM2	luad	-1	1
ALDH7A1	luad	1	1
ALG1	luad	1	1
ALKBH5	luad	-1	1
AOX1	luad	-1	1
APOBEC3G	luad	-1	1
ARHGAP25	luad	-1	1
ARID3A	luad	-1	1
ARSD	luad	1	1
ASL	luad	1	1
ATP9A	luad	1	1
BAG2	luad	-1	1
BASP1	luad	-1	1
BBS2	luad	1	1
BIN2	luad	-1	1
BRPF3	luad	1	1
C5	luad	-1	1
C6	luad	-1	1
C8A	luad	-1	1
C8G	luad	-1	1
C9	luad	-1	1
CADPS2	luad	1	1
CAMK2D	luad	1	1
CCDC88B	luad	-1	1
CD38	luad	-1	1
CD48	luad	-1	1
CDC42BPG	luad	1	1
CDK17	luad	-1	1
CDK2	luad	-1	1
CDK6	luad	-1	1
CEP128	luad	-1	1
CFH	luad	-1	1
CFHR2	luad	-1	1
CFHR5	luad	-1	1
CHERP	luad	-1	1
CLCN3	luad	1	1
CMSS1	luad	-1	1
CNKSR1	luad	1	1
COG5	luad	1	1
COG7	luad	1	1
COL15A1	luad	-1	1
COL4A2	luad	-1	1
CORO1A	luad	-1	1
COTL1	luad	-1	1
CRIPT	luad	-1	1
CRKL	luad	-1	1
CRLF3	luad	-1	1
CSK	luad	-1	1
CTDP1	luad	-1	1
CUTC	luad	-1	1
CWF19L1	luad	-1	1
CYFIP1	luad	-1	1
CYGB	luad	-1	1
DCTPP1	luad	1	1
DENND1C	luad	-1	1
DENND3	luad	-1	1
DENND4B	luad	-1	1
DNAJB14	luad	1	1
DNAJB4	luad	-1	1
DOK3	luad	-1	1
DRG1	luad	-1	1
DUSP12	luad	-1	1
EDF1	luad	-1	1
EEF2K	luad	1	1
EIF3M	luad	-1	1
ELAC2	luad	-1	1
ELL	luad	-1	1
EMG1	luad	-1	1
EMILIN1	luad	-1	1
ETF1	luad	1	1
ETS1	luad	-1	1
EVI5L	luad	1	1
EVPL	luad	1	1
EXOSC9	luad	-1	1
EXPH5	luad	1	1
F11	luad	-1	1
F9	luad	-1	1
FAAH	luad	1	1
FAF2	luad	1	1
FAM120C	luad	1	1
FAM49A	luad	-1	1
FBL	luad	-1	1
FCN3	luad	-1	1
FERMT3	luad	-1	1
FGD3	luad	-1	1
FGL2	luad	-1	1
FLI1	luad	-1	1
FLNC	luad	-1	1
FMN1	luad	1	1
FNBP1	luad	-1	1
FNBP4	luad	-1	1
GALE	luad	1	1
GALNT10	luad	1	1
GBP5	luad	-1	1
GIMAP1-GIMAP5	luad	-1	1
GIMAP7	luad	-1	1
GIMAP8	luad	-1	1
GMEB1	luad	-1	1
GMFG	luad	-1	1
GNG2	luad	-1	1
GOLM1	luad	1	1
GREM1	luad	-1	1
GREM2	luad	-1	1
GRK5	luad	-1	1
GRK6	luad	-1	1
GSPT1	luad	1	1
GZMA	luad	-1	1
HACL1	luad	-1	1
HIP1	luad	1	1
HMGB2	luad	-1	1
HOOK1	luad	1	1
HSP90B1	luad	-1	1
IL16	luad	-1	1
INPP5D	luad	-1	1
IRF8	luad	-1	1
ISG20	luad	-1	1
ITFG1	luad	1	1
ITPR3	luad	1	1
KCNAB2	luad	-1	1
LAMB1	luad	-1	1
LAMC1	luad	-1	1
LBP	luad	-1	1
LBR	luad	-1	1
LIMD2	luad	-1	1
LMAN1	luad	-1	1
LMTK2	luad	1	1
LYST	luad	1	1
MAP3K3	luad	-1	1
MAP3K6	luad	1	1
MAST3	luad	-1	1
MCAM	luad	-1	1
MEF2D	luad	-1	1
MGRN1	luad	1	1
MLPH	luad	1	1
MMRN1	luad	-1	1
MOB3A	luad	-1	1
MUC1	luad	1	1
MVP	luad	1	1
MX2	luad	1	1
MYBBP1A	luad	-1	1
MYO1F	luad	-1	1
MZB1	luad	-1	1
NAAA	luad	-1	1
NCF1	luad	-1	1
NCF4	luad	-1	1
NGLY1	luad	-1	1
NID2	luad	-1	1
NOL3	luad	1	1
NOP56	luad	-1	1
NOP58	luad	-1	1
NSDHL	luad	1	1
NUBP2	luad	1	1
OCLN	luad	1	1
OCRL	luad	1	1
OPHN1	luad	1	1
PAFAH1B1	luad	-1	1
PAM	luad	1	1
PAPOLG	luad	-1	1
PARP4	luad	1	1
PARVB	luad	-1	1
PDK1	luad	-1	1
PDS5B	luad	-1	1
PDXDC1	luad	1	1
PECAM1	luad	-1	1
PEX1	luad	1	1
PGRMC1	luad	1	1
PICK1	luad	1	1
PIGR	luad	1	1
PIK3CD	luad	-1	1
PLA2G2A	luad	-1	1
PLCG2	luad	-1	1
PLEKHA2	luad	-1	1
PLVAP	luad	-1	1
PMM1	luad	1	1
PMM2	luad	1	1
PNKP	luad	-1	1
POGZ	luad	-1	1
PPL	luad	1	1
PRCP	luad	-1	1
PREX1	luad	-1	1
PRKD2	luad	-1	1
PROC	luad	-1	1
PRODH	luad	1	1
PROSER2	luad	-1	1
PRPSAP2	luad	-1	1
PRSS8	luad	1	1
PTGIS	luad	-1	1
PTMA	luad	-1	1
RAB27B	luad	1	1
RAB8B	luad	-1	1
RAC2	luad	-1	1
RASA2	luad	-1	1
RASA3	luad	-1	1
RASAL3	luad	-1	1
RCSD1	luad	-1	1
RHBDF1	luad	1	1
RSPRY1	luad	1	1
RUFY1	luad	1	1
SAMD1	luad	-1	1
SDE2	luad	-1	1
SDF2L1	luad	-1	1
SERPINA10	luad	-1	1
SFSWAP	luad	-1	1
SGSM3	luad	1	1
SGTB	luad	-1	1
SLC12A2	luad	1	1
SLC12A9	luad	1	1
SLC25A5	luad	1	1
SNU13	luad	-1	1
SOD2	luad	-1	1
SPCS3	luad	-1	1
SPTLC1	luad	1	1
SPTLC2	luad	1	1
SRM	luad	-1	1
SSH3	luad	1	1
STAG1	luad	-1	1
STAT5A	luad	-1	1
STAT5B	luad	-1	1
STK4	luad	-1	1
STON1	luad	-1	1
STUB1	luad	1	1
SYAP1	luad	1	1
SYTL2	luad	1	1
TBC1D9B	luad	1	1
TDP2	luad	-1	1
TEX10	luad	-1	1
THAP12	luad	-1	1
THEMIS2	luad	-1	1
TLN1	luad	-1	1
TMEM63A	luad	1	1
TNFSF10	luad	1	1
TNKS1BP1	luad	1	1
TRAF3IP3	luad	-1	1
TRIP11	luad	1	1
TTC33	luad	-1	1
TXNDC5	luad	-1	1
UAP1	luad	-1	1
UBE2N	luad	-1	1
UBL4A	luad	1	1
UCHL1	luad	-1	1
USE1	luad	1	1
WFDC2	luad	1	1
WIPF1	luad	-1	1
WIPF2	luad	1	1
XIAP	luad	1	1
XPNPEP3	luad	1	1
ZAP70	luad	-1	1
ZC3H15	luad	-1	1
ZFYVE19	luad	1	1
ZNF143	luad	-1	1
ZNF740	luad	-1	1
