Name	luad_pvalue_transcriptomics	luad_rvalue_transcriptomics	hnscc_pvalue_transcriptomics	hnscc_rvalue_transcriptomics	ovarian_pvalue_transcriptomics	ovarian_rvalue_transcriptomics	colon_pvalue_transcriptomics	colon_rvalue_transcriptomics	brca_pvalue_transcriptomics	brca_rvalue_transcriptomics	lscc_pvalue_transcriptomics	lscc_rvalue_transcriptomics	luad_pvalue_proteomics	luad_rvalue_proteomics	hnscc_pvalue_proteomics	hnscc_rvalue_proteomics	ovarian_pvalue_proteomics	ovarian_rvalue_proteomics	colon_pvalue_proteomics	colon_rvalue_proteomics	brca_pvalue_proteomics	brca_rvalue_proteomics	lscc_pvalue_proteomics	lscc_rvalue_proteomics
AARD	0.6356175238456223	-0.055060051002241456	0.7882076659244661	-0.03373466591952555	0.004117558777042987	0.302940345298473			0.007860417983647656	0.2605867828042675	0.9793173736513888	0.003160591703896303												
ABRA	0.0008793561012390065	0.32766053469022755	0.9080882351020133	0.01408706443195371	0.19425906984775898	-0.14763996269048565			0.7895484747025742	-0.08642266270907947	0.10707172418979516	-0.2715596231352975												
ADCK5	9.719252906787897e-23	0.7821949286847467	9.433318974917847e-13	0.6380190463473667			1.9630351960876913e-11	0.6108265582566959	1.58292890353568e-08	0.7563672943868058	7.660767835917603e-07	0.4703261630809135	1.0713554969225658e-06	0.5291837045110135	0.040256646247285706	0.25519876337168557			0.5200657400849067	0.1377259798676904	0.001203762214343794	0.34332600689473014	0.014934857996400095	0.2786389928556917
ADCY8	0.23801933563867383	0.13096544152093909	0.9080882351020133	0.013892766930200171	0.7007415068402446	0.04935052470038481			0.38133671674821973	0.13866217379475265	0.5617165653462547	0.07165474554480025	0.28252409664217953	-0.19920198102081405										
ADGRB1	0.0043215502092392765	0.28380628674570174	0.15591080769081647	0.15713142557553755							0.5988874567557013	0.061998913902727756												
ADHFE1	0.6057526993114942	-0.05889540101610883	0.8363092053153779	-0.02620277453070595					0.0424062148572734	0.20340911633026038	0.13565892111164024	0.16048239885385907	0.5591529528850256	-0.09475345305207128	0.8827123089661103	-0.024364629016146486	0.13109355894903418	0.20843836858422804			0.8381514749475227	-0.025817729758349485	0.7173051319811401	0.06278358370229
AGO2	4.026910086747226e-17	0.7053542657574863	9.433318974917847e-13	0.637924364035469	1.9919155616823964e-06	0.4718398339352994	1.7473592457124247e-06	0.4570589145777974	3.870559978911613e-13	0.6232247838031493	4.344359255742007e-23	0.798486509644663	1.4644655413207574e-09	0.561369714839584	6.060851947915948e-09	0.5619542072497008	7.2746943387781205e-06	0.5069622611472692	2.2286204890789006e-08	0.5676477095750587	3.09997198052814e-08	0.4962623011582638	2.8115287353862657e-10	0.5966812462591001
ALKAL1	0.19620019152334892	-0.1402248199519477	0.8850057912010003	0.018082879397967995																				
ANGPT1	0.1265395052650022	-0.1592216039462157	0.4572205105965591	0.08829909268797542	0.5394441581809686	0.07357989060154163	0.9546013185463049	-0.006113591126647146	0.38133671674821973	0.09447730400100059	0.936068566197808	-0.009743516411697278	0.011077654398922549	-0.2726367896505371									0.8980819322702865	0.020584621057116902
ANKRD46	2.170804805918669e-25	0.8106229466176604	8.128511542791768e-16	0.6975559071212074	3.631554412640794e-11	0.6223853491270922	7.509411117578185e-11	0.5957364749038083	2.2332419862320685e-07	0.46928300532172396	2.922799374514555e-16	0.703133734000988	0.05328596039184975	0.24278295930824006	0.08958845452077632	0.3532141408767804	0.23716835454154728	0.20563199854091707			0.2706442877014666	0.18776369604517512	0.054427681253154024	0.2594569582586752
ANXA13	0.49588350047237484	-0.07764355714534463	0.33044205799121684	0.11061175336763049	0.3451406659557246	0.11105100340410015	0.012195472834841996	0.25052600781656065	0.015951167311869498	-0.24644127367393803	0.5853262586588728	-0.06819013272926187	0.5996004844378533	-0.06048844468165882	0.47179833493893797	0.12862419702471822	0.4243210698620167	-0.10547240135702149	0.09026625555357126	0.20217890871959046			0.8019922878847104	0.03474273011255517
ARC	0.10118584905342264	0.17053379025208787	0.012775572042207837	0.25931584619751424	0.27350108586839017	0.12661600040537185			0.20382493273902685	0.13929938736370864	0.00134137365731236	0.321735867432143												
ARFGEF1	1.4407123112380088e-23	0.7915751433762228	5.00835432250563e-13	0.6437555561914385	2.889884589811318e-17	0.7530263961024778	3.379111310510975e-25	0.8252092147640537	3.675766043720129e-08	0.49396193291462004	2.88333864101909e-15	0.6852291056650515	6.728160655372407e-14	0.6641171024772867	2.335016100130369e-09	0.5771590607302687	6.4278979499546744e-12	0.7030107598090245	2.0894871536705303e-14	0.7184233416791257	2.7318930428412126e-10	0.5537577776625255	1.5495585555535312e-08	0.5453531127145224
ARHGAP39	2.7033919935454845e-11	0.5926649056678766	4.108916413120812e-12	0.6232701855419438			5.071031076970309e-05	0.3931659005913051	0.0009680762284284512	0.3165223465128788	0.00042090900636746056	0.3505398935245616	0.28252409664217953	0.13637985290821392	0.9788466524106451	-0.010658058576161353					0.0006145594034505121	0.3251209086153818	0.2970147684702752	0.13140548899285637
