protein	cancers	num_cancers
A1BG	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
A2M	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AAAS	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AACS	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AAGAB	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AAMP	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AARS	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AARS2	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AASDHPPT	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCA8	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCB1	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCB10	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCB8	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCC3	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCD1	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCD3	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCE1	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCF2	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCF3	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABHD10	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABHD11	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABHD14B	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABHD17C	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABHD6	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABI2	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABLIM2	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABRACL	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACAA1	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACACA	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACAD8	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACADM	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACADS	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACADSB	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACADVL	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACAT1	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACBD3	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACBD6	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACE	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACO2	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACOT11	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACOX3	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACP5	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACP6	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACPP	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACSL3	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACSM3	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACSS2	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
