Name	brca_Database_ID	lscc_Database_ID	luad_Database_ID	ovarian_Database_ID	brca_pvalue	colon_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue
ANKRD46	NP_001257308.1|NP_001257307.1	NP_001257308.1|NP_001257306.1	NP_001257308.1|NP_001257306.1	NP_001257307	0.04986870024234848		0.0021314265350617077	0.002796995664377881	0.029985179771590435	0.03264742114454832
ASAP1	NP_060952.2|NP_001234925.1	NP_060952.2|NP_001234925.1|NP_001349854.1|NP_001349855.1	NP_060952.2|NP_001234925.1|NP_001349854.1|NP_001349855.1	NP_001234925	0.02726342561139984	0.002538628355455959	0.0015893389509027838	0.0054359339798059824	0.003312107097116856	0.018906223585110297
ATAD2	NP_054828.2	NP_054828.2	NP_054828.2|NP_001341036.1|NP_060022.2|NP_001229267.2	NP_054828	0.9997580791121289	0.017156893104494735	0.013087975598605832	0.003362517212640771	0.5394040934804446	0.0016689344143902907
ATP6V1C1	NP_001686.1	NP_001686.1	NP_001686.1	NP_001686	0.664311074129531	0.004434805164799846	0.012249173141565053	0.003362517212640771	0.016822049794898437	0.7306934994129924
C8orf37	NP_808880.1	NP_808880.1|NP_001350189.1	NP_808880.1|NP_001350189.1	NP_808880	0.01854970143738081		0.003031744523172919	0.020490200958519215	0.10922685513112346	0.004772977507954353
CA1	NP_001158302.1|NP_001278896.1	NP_001122301.1|NP_001278896.1	NP_001122301.1|NP_001278896.1	NP_001158302	0.022621467200125655	0.003350368126388492	0.0013797938029915598	0.0027161207566777897	0.003312107097116856	0.0019038546715529864
CA1	NP_001158302.1|NP_001278896.1	NP_001122301.1|NP_001278896.1	NP_001278897.1	NP_001158302	0.022621467200125655	0.003350368126388492	0.0013797938029915598	0.0027161207566777897	0.003312107097116856	0.0019038546715529864
CA1	NP_001158302.1|NP_001278896.1	NP_001278897.1	NP_001122301.1|NP_001278896.1	NP_001158302	0.022621467200125655	0.003350368126388492	0.0013797938029915598	0.002705014552146894	0.003312107097116856	0.0019038546715529864
CA1	NP_001158302.1|NP_001278896.1	NP_001278897.1	NP_001278897.1	NP_001158302	0.022621467200125655	0.003350368126388492	0.0013797938029915598	0.002705014552146894	0.003312107097116856	0.0019038546715529864
CA13	NP_940986.1	NP_940986.1	NP_940986.1	NP_940986	0.01854970143738081	0.07623023601312916	0.004463909529958229	0.08208274658350692	0.14230221404770438	0.022881790173238662
