protein	cancers	mean_simp_change	num_cancers	group	overlap_size	pvals	adj_p
STAU2	brca_colon_hnscc_lscc_luad	1.0	5	8q_trans	5	0.0	0.0
YTHDF3	brca_colon_hnscc_lscc_luad	1.0	5	8q_trans	5	0.0	0.0
ARFGEF1	brca_colon_hnscc_luad	1.0	4	8q_trans	4	8.672717653894965e-06	0.0003667320607932728
CYC1	brca_colon_lscc_luad	1.0	4	8q_trans	4	8.672717653894965e-06	0.0003667320607932728
HGH1	brca_colon_hnscc_luad	1.0	4	8q_trans	4	8.672717653894965e-06	0.0003667320607932728
HSF1	brca_hnscc_lscc_luad	1.0	4	8q_trans	4	8.672717653894965e-06	0.0003667320607932728
MTFR1	brca_hnscc_lscc_luad	1.0	4	8q_trans	4	8.672717653894965e-06	0.0003667320607932728
ATP6V1E1	colon_lscc_luad	-1.0	3	8p_trans	3	1.9095480773659022e-05	0.0005652262309003071
ATP6V1H	colon_lscc_luad	-1.0	3	8p_trans	3	1.9095480773659022e-05	0.0005652262309003071
CNOT8	brca_lscc_luad	1.0	3	8p_trans	3	1.9095480773659022e-05	0.0005652262309003071
AGO2	brca_colon_luad	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
ANKFY1	brca_colon_lscc	-1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
BOP1	brca_colon_lscc	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
GGH	brca_colon_lscc	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
MRPL15	brca_colon_hnscc	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
MRPL39	brca_colon_hnscc	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
MRPL45	brca_colon_hnscc	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
NCOA2	brca_lscc_luad	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
PHF20L1	brca_lscc_luad	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
PRKDC	brca_colon_lscc	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
PTK2	brca_colon_luad	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
RDH10	brca_colon_lscc	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
TMEM70	brca_colon_luad	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
UQCC2	brca_colon_luad	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
UQCR10	brca_colon_lscc	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
UQCRH	brca_colon_luad	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
ZBTB10	brca_luad_ovarian	1.0	3	8q_trans	3	0.0013163258128022805	0.014430831132943519
AGPAT5	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.005843795765736304	0.03609589117332335
ATP6V1A	colon_luad	-1.0	2	8p_trans	2	0.006707006805854	0.03609589117332335
ATP6V1B2	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.005843795765736304	0.03609589117332335
ATP6V1G1	colon_lscc	-1.0	2	8p_trans	2	0.006707006805854	0.03609589117332335
CHMP7	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.005843795765736304	0.03609589117332335
CPNE3	brca_colon_hnscc_lscc_luad_ovarian	1.0	6	8q_cis	6	0.004408759772565743	0.03609589117332335
CRELD2	colon_lscc	-1.0	2	8p_trans	2	0.006707006805854	0.03609589117332335
CYB5R4	lscc_luad	-1.0	2	8p_trans	2	0.006707006805854	0.03609589117332335
CYP7B1	hnscc_lscc	-1.0	2	8p_trans	2	0.006707006805854	0.03609589117332335
DNAJC19	colon_lscc	1.0	2	8p_trans	2	0.006707006805854	0.03609589117332335
ERI1	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.005843795765736304	0.03609589117332335
HIST1H1D	hnscc_luad	-1.0	2	8p_trans	2	0.006707006805854	0.03609589117332335
KIF13B	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.005843795765736304	0.03609589117332335
MSRA	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.005843795765736304	0.03609589117332335
MTMR6	lscc_luad	-1.0	2	8p_trans	2	0.006707006805854	0.03609589117332335
NUDCD1	brca_colon_hnscc_lscc_luad_ovarian	1.0	6	8q_cis	6	0.004408759772565743	0.03609589117332335
OTUD6B	brca_colon_hnscc_lscc_luad_ovarian	1.0	6	8q_cis	6	0.004408759772565743	0.03609589117332335
POP1	brca_colon_hnscc_lscc_luad_ovarian	1.0	6	8q_cis	6	0.004408759772565743	0.03609589117332335
PPIB	lscc_luad	-1.0	2	8p_trans	2	0.006707006805854	0.03609589117332335
PPP2R2A	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.005843795765736304	0.03609589117332335
PRKCB	lscc_luad	-1.0	2	8p_trans	2	0.006707006805854	0.03609589117332335
RIDA	brca_colon_hnscc_lscc_luad_ovarian	1.0	6	8q_cis	6	0.004408759772565743	0.03609589117332335
RMDN1	brca_colon_hnscc_lscc_luad_ovarian	1.0	6	8q_cis	6	0.004408759772565743	0.03609589117332335
SMAP2	hnscc_lscc	-1.0	2	8p_trans	2	0.006707006805854	0.03609589117332335
STK3	brca_colon_hnscc_lscc_luad_ovarian	1.0	6	8q_cis	6	0.004408759772565743	0.03609589117332335
VPS37A	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.005843795765736304	0.03609589117332335
XPO7	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.005843795765736304	0.03609589117332335
YWHAZ	brca_colon_hnscc_lscc_luad_ovarian	1.0	6	8q_cis	6	0.004408759772565743	0.03609589117332335
