protein	cancers	mean_simp_change	num_cancers	overlap_size	pvals	adj_p
CPNE3	brca_colon_hnscc_lscc_luad_ovarian	1	6	6	0.0025100175588672283	0.015373857548061774
NUDCD1	brca_colon_hnscc_lscc_luad_ovarian	1	6	6	0.0025100175588672283	0.015373857548061774
OTUD6B	brca_colon_hnscc_lscc_luad_ovarian	1	6	6	0.0025100175588672283	0.015373857548061774
POP1	brca_colon_hnscc_lscc_luad_ovarian	1	6	6	0.0025100175588672283	0.015373857548061774
RIDA	brca_colon_hnscc_lscc_luad_ovarian	1	6	6	0.0025100175588672283	0.015373857548061774
RMDN1	brca_colon_hnscc_lscc_luad_ovarian	1	6	6	0.0025100175588672283	0.015373857548061774
STK3	brca_colon_hnscc_lscc_luad_ovarian	1	6	6	0.0025100175588672283	0.015373857548061774
YWHAZ	brca_colon_hnscc_lscc_luad_ovarian	1	6	6	0.0025100175588672283	0.015373857548061774
FAM91A1	brca_colon_hnscc_lscc_luad	1	5	5	0.028758272927828555	0.10839656718950762
SQLE	brca_colon_hnscc_lscc_luad	1	5	5	0.028758272927828555	0.10839656718950762
MTDH	brca_colon_hnscc_lscc_ovarian	1	5	5	0.028758272927828555	0.10839656718950762
EBAG9	brca_colon_hnscc_luad_ovarian	1	5	5	0.028758272927828555	0.10839656718950762
SPAG1	brca_colon_hnscc_luad_ovarian	1	5	5	0.028758272927828555	0.10839656718950762
DCAF13	brca_colon_hnscc_luad	1	4	4	0.14213677907343208	0.26787316056146815
UTP23	brca_colon_hnscc_luad	1	4	4	0.14213677907343208	0.26787316056146815
MTERF3	brca_colon_hnscc_ovarian	1	4	4	0.14213677907343208	0.26787316056146815
ZNF706	brca_colon_hnscc_ovarian	1	4	4	0.14213677907343208	0.26787316056146815
DECR1	brca_colon_luad_ovarian	1	4	4	0.14213677907343208	0.26787316056146815
RBM12B	brca_colon_luad_ovarian	1	4	4	0.14213677907343208	0.26787316056146815
TMEM65	brca_colon_luad_ovarian	1	4	4	0.14213677907343208	0.26787316056146815
GRHL2	brca_hnscc_luad_ovarian	1	4	4	0.14213677907343208	0.26787316056146815
NDUFAF6	brca_hnscc_luad_ovarian	1	4	4	0.14213677907343208	0.26787316056146815
PABPC1	brca_hnscc_luad_ovarian	1	4	4	0.14213677907343208	0.26787316056146815
ZFAND1	brca_lscc_luad_ovarian	1	4	4	0.14213677907343208	0.26787316056146815
PTDSS1	colon_hnscc_luad_ovarian	1	4	4	0.14213677907343208	0.26787316056146815
FZD6	hnscc_lscc_luad_ovarian	1	4	4	0.14213677907343208	0.26787316056146815
MRPL13	brca_colon_hnscc	1	3	3	0.3999369681689253	0.5763797482434512
TAF2	brca_hnscc_luad	1	3	3	0.3999369681689253	0.5763797482434512
ZHX1	brca_lscc_luad	1	3	3	0.3999369681689253	0.5763797482434512
NBN	colon_luad_ovarian	1	3	3	0.3999369681689253	0.5763797482434512
VPS13B	hnscc_lscc_luad	1	3	3	0.3999369681689253	0.5763797482434512
DERL1	hnscc_luad_ovarian	1	3	3	0.3999369681689253	0.5763797482434512
PLEKHF2	hnscc_luad_ovarian	1	3	3	0.3999369681689253	0.5763797482434512
SLC25A32	hnscc_luad_ovarian	1	3	3	0.3999369681689253	0.5763797482434512
COX6C	brca_colon	1	2	2	0.739982441132772	0.739982441132772
PDP1	brca_colon	1	2	2	0.739982441132772	0.739982441132772
RAD21	brca_colon	1	2	2	0.739982441132772	0.739982441132772
UQCRB	brca_colon	1	2	2	0.739982441132772	0.739982441132772
WDYHV1	brca_lscc	1	2	2	0.739982441132772	0.739982441132772
ATAD2	brca_luad	1	2	2	0.739982441132772	0.739982441132772
ENY2	brca_luad	1	2	2	0.739982441132772	0.739982441132772
NSMCE2	brca_luad	1	2	2	0.739982441132772	0.739982441132772
UBR5	brca_luad	1	2	2	0.739982441132772	0.739982441132772
ATP6V1C1	brca_ovarian	1	2	2	0.739982441132772	0.739982441132772
IMPA1	brca_ovarian	1	2	2	0.739982441132772	0.739982441132772
CA13	colon_luad	1	2	2	0.739982441132772	0.739982441132772
CHMP4C	colon_luad	1	2	2	0.739982441132772	0.739982441132772
FABP5	hnscc_lscc	1	2	2	0.739982441132772	0.739982441132772
RNF139	luad_ovarian	1	2	2	0.739982441132772	0.739982441132772
