Name	luad_Database_ID	lscc_Database_ID	ovarian_Database_ID	colon_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue	colon_diff	hnscc_diff	lscc_diff	luad_diff	ovarian_diff
A1BG	NP_570602.2	NP_570602.2	NP_570602	0.014375569974408425	0.2535564963769259	0.4833713154046737	0.9335827899762034	0.5192304435348633	-0.3639788617886181	-0.07572236825862788	0.14732357954545505	0.01822812500000026	-0.09625161333673471
A2M	NP_000005.2|NP_001334353.1|NP_001334354.1|K4JDR8|K4JBA2|K4JB97	NP_000005.2|NP_001334353.1|NP_001334354.1	NP_000005	0.21721060213605878	0.49162917148637475	0.642514919506002	0.5266624356016654	0.9036785117273611	-0.15320171635049695	-0.0730159003155677	-0.13911548295454512	0.1818372970779214	0.02264364580867348
AAAS	NP_056480.1|NP_001166937.1	NP_056480.1|NP_001166937.1	NP_056480	0.2571420878966319	0.6164165487893953	0.4370287212617502	0.06269193673083093	0.3836875199033766	0.0895868112014453	0.020536696595019777	-0.07527343749999998	0.20806814123376627	0.04552861135204078
AACS	NP_076417.2|NP_001306769.1|NP_001306768.1	NP_076417.2|NP_001306769.1|NP_001306768.1	NP_076417	0.7615545648022827	0.3197774418440953	0.7570577656934669	0.31490426158594764	0.5732568370711036	0.02299024390243902	0.08884904966963703	-0.09200610795454556	0.326425771103896	-0.06858618017219392
AAGAB	NP_078942.3|NP_001258814.1	NP_078942.3|NP_001258814.1	NP_078942	0.058420744911379434	0.6124852152057523	0.5684223237332289	0.8953713827133969	0.4304096342124988	-0.14416657633242996	0.0344877989500354	-0.0914374999999999	-0.020575162337662323	-0.06413022984119895
AAK1		NP_055726.3	NP_055726	0.021450660380708086	0.06092611600832979	0.048814586179854826		0.17700143486551714	-0.1109437669376694	-0.07854092817926173	-0.26157116477272724		-0.11173860867474489
AAMDC	NP_001303889.1|NP_001350493.1|NP_001303886.1|NP_001303887.1	NP_001303889.1|NP_001350493.1	NP_078960	0.04876665742783327	0.7678859889574534	0.2576543879745043	0.42755653493816326	0.33853385977741923	0.18317615176151758	-0.02658616134986147	-0.27815809659090907	-0.22749038149350642	-0.13240178005038267
AAMP	NP_001289474.1|NP_001078.2	NP_001289474.1|NP_001078.2	NP_001078	0.9680372127550767	0.6066096947943806	0.03167842999230514	0.25685665828195975	0.2126281155888286	-0.0026911020776874614	-0.03410184329439758	-0.4042142045454546	-0.20056952110389603	-0.11269573144196428
AAR2	NP_001258803.1	NP_001258803.1	NP_001258803	0.0013941942329239996	0.5447373650123393	0.025635792937496352	0.16629421570918798	0.1827000380705132	0.19366671183378506	0.03460686332021368	-0.29046818181818185	0.17718786525974023	-0.10771944438647961
AARS2	NP_065796.1	NP_065796.1	NP_065796	0.41425991484040936	0.602053976981834	0.18633756760402717	0.4028146383804768	0.9419512723145722	0.048837759710930455	0.025752593041570293	-0.23869616477272726	0.17677629870129877	-0.005051508119260209
AASDHPPT	NP_056238.2	NP_056238.2	NP_056238	0.654781901622765	0.7648534526721762	0.3111265919095424	0.8808457752405099	0.9437533221615427	0.029385456187895218	-0.020904022740459993	-0.155403409090909	-0.02489314123376629	0.006194809207270335
AASS	NP_005754.2	NP_005754.2	NP_005754	0.45180168521381736	0.5479735590378862	0.4378941098835948	0.2823924722269938	0.026373433037915315	-0.062032571428571506	-0.07341102818667267	-0.36846051136363644	-0.46244638798701293	-0.2666285858144133
AATF	NP_036270.1	NP_036270.1	NP_036270	0.013052417625002434	0.22566317936083008	0.6775016607377874	0.027467023364223228	0.3093838966111199	0.16539552845528452	0.08935103623791107	-0.09149758522727264	0.42484715909090914	0.08773494309693877
ABAT	NP_000654.2	NP_000654.2	NP_065737	0.026286524190109746	0.1971487199166834	0.27854497639838044	0.6674659000662235	0.011890435222895509	0.38549683830171627	-0.1681748018878757	-0.3980470170454547	-0.2223973214285714	-0.5063051107704083
ABCA8	NP_001275914.1|NP_001275915.1|NP_009099.1	NP_001275914.1|NP_001275915.1|NP_009099.1	NP_001275914	0.5101618780658399	0.3005369600618321	0.051146783558229804	0.9358874452312853	0.21848707871683806	0.07822538392050582	-0.10689824269342552	-0.5092129261363629	-0.020972970779221	-0.17756473305867349
ABCB1	NP_000918.2|NP_001335874.1	NP_001335874.1|NP_000918.2		0.6491954436379272	0.20293123750213982	0.8868337520607911	0.9189501966449419		0.06410180668473353	-0.1931590227368467	-0.028918039772727555	-0.028159253246752947	
ABCB10	NP_036221.2	NP_036221.2	NP_036221	0.2574236987787111	0.8350600091599576	0.19442410736719473	0.051474448101650784	0.3835327910925618	0.07373569230769234	0.013657757168974882	-0.23155042613636365	0.3916857548701298	0.09987040589604591
ABCB6	NP_005680.1|NP_001336757.1	NP_005680.1|NP_001336757.1	NP_005680	0.4310890670664782	0.03842030925330341	0.012474644180015128	0.7380765431812536	0.32268528771164506	-0.06044190476190477	0.20116898351774637	-1.0241529829545457	0.10888506493506483	-0.08648193531887756
