Name	brca_Database_ID	luad_Database_ID	lscc_Database_ID	ovarian_Database_ID	brca_pvalue	colon_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue
ANKRD46	NP_001257308.1|NP_001257307.1	NP_001257308.1|NP_001257306.1	NP_001257308.1|NP_001257306.1	NP_001257307	0.17601451224103248		0.01911928068478204	0.13085894627136	0.1416501785549771	0.14005330817696124
ASAP1	NP_060952.2|NP_001234925.1	NP_060952.2|NP_001234925.1|NP_001349854.1|NP_001349855.1	NP_060952.2|NP_001234925.1|NP_001349854.1|NP_001349855.1	NP_001234925	0.3871883003496999	0.021338909002122475	0.022844608137321247	0.0120466170470407	0.03895611223651234	0.14005330817696124
ATAD2	NP_054828.2	NP_054828.2|NP_001341036.1|NP_060022.2|NP_001229267.2	NP_054828.2	NP_054828	0.9998015653660001	0.09050035734002553	0.02272620445457752	0.4870030079091649	0.8314687077368488	0.024626657176219025
ATP6V1C1	NP_001686.1	NP_001686.1	NP_001686.1	NP_001686	0.7895020859581589	0.027221562410973704	0.02272620445457752	0.03156679837237242	0.04003675542325289	0.5466963193249089
C8orf37	NP_808880.1	NP_808880.1|NP_001350189.1	NP_808880.1|NP_001350189.1	NP_808880	0.13286856801554814		0.01911928068478204	0.4528512535895811	0.19506645560758498	0.08874077387625094
CA1	NP_001158302.1|NP_001278896.1	NP_001122301.1|NP_001278896.1	NP_001122301.1|NP_001278896.1	NP_001158302	0.12467493286054679	0.032492921904629525	0.0274158856772137	0.02872240092157719	0.04390414681724632	0.013285752774614502
CA1	NP_001158302.1|NP_001278896.1	NP_001278897.1	NP_001122301.1|NP_001278896.1	NP_001158302	0.12467493286054679	0.032492921904629525	0.0274158856772137	0.02872240092157719	0.05502895111915272	0.013285752774614502
CA1	NP_001158302.1|NP_001278896.1	NP_001122301.1|NP_001278896.1	NP_001278897.1	NP_001158302	0.12467493286054679	0.032492921904629525	0.0274158856772137	0.0120466170470407	0.04390414681724632	0.013285752774614502
CA1	NP_001158302.1|NP_001278896.1	NP_001278897.1	NP_001278897.1	NP_001158302	0.12467493286054679	0.032492921904629525	0.0274158856772137	0.0120466170470407	0.05502895111915272	0.013285752774614502
CA13	NP_940986.1	NP_940986.1	NP_940986.1	NP_940986	0.06756430609339337	0.21603694780081603	0.0501014097615516	0.06001422719736054	0.1097883076835233	0.23489929754498895
CA2	NP_000058.1|P00921	NP_000058.1|P00921	NP_000058.1|P00921	NP_000058	0.037257368025199585	0.021338909002122475	0.07551493624034425	0.033246314709297245	0.03834369857704861	0.013285752774614502
CA2	NP_000058.1|P00921	NP_001280604.1	NP_000058.1|P00921	NP_000058	0.037257368025199585	0.021338909002122475	0.07551493624034425	0.033246314709297245	0.03969068001548812	0.013285752774614502
CA3	NP_005172.1	NP_005172.1	NP_005172.1	NP_005172	0.10364394422289688	0.021338909002122475	0.01911928068478204	0.0120466170470407	0.03834369857704861	0.013285752774614502
CHMP4C	NP_689497.1	NP_689497.1	NP_689497.1	NP_689497	0.07688482490611376	0.13452761257639972	0.06747696588992068	0.2536250644225305	0.7693605282193634	0.013285752774614502
CNGB3	NP_061971.3	NP_061971.3	NP_061971.3		0.1760350495998575			0.03535551904828543	0.03834369857704861	
COL14A1	NP_066933.1	NP_066933.1	NP_066933.1	NP_066933	0.7573543822987697	0.027221562410973704	0.2102046571976934	0.28840086918806385	0.11155159901259899	0.013285752774614502
COLEC10	NP_006429.2|NP_001311024.1	NP_006429.2|NP_001311024.1			0.013933290134624077	0.1462376242688542			0.058599058937331146	
