protein	cancers	num_cancers
CA3	colon_hnscc_lscc_luad_ovarian	5
NDUFB9	colon_hnscc_lscc_luad_ovarian	5
RPL30	colon_hnscc_lscc_luad_ovarian	5
CPQ	brca_colon_hnscc_lscc	4
INTS8	brca_colon_hnscc_ovarian	4
NCALD	brca_colon_hnscc_ovarian	4
EMC2	brca_colon_lscc_luad	4
TBC1D31	brca_hnscc_lscc_luad	4
SYBU	brca_lscc_luad_ovarian	4
ASAP1	colon_hnscc_lscc_luad	4
RRM2B	colon_hnscc_lscc_luad	4
DEPTOR	colon_hnscc_lscc_ovarian	4
PAG1	brca_hnscc_ovarian	3
FER1L6	brca_lscc_luad	3
RIPK2	colon_hnscc_lscc	3
SNTB1	colon_hnscc_lscc	3
LRRCC1	hnscc_lscc_luad	3
COX6C	hnscc_lscc_ovarian	3
ENPP2	hnscc_lscc_ovarian	3
UQCRB	hnscc_lscc_ovarian	3
FABP4	lscc_luad_ovarian	3
RALYL	lscc_luad_ovarian	3
VPS13B	brca_ovarian	2
DSCC1	colon_hnscc	2
WWP1	colon_hnscc	2
ZFAND1	colon_hnscc	2
ATP6V1C1	colon_lscc	2
IMPA1	colon_lscc	2
COL14A1	colon_ovarian	2
MTSS1	colon_ovarian	2
NSMCE2	colon_ovarian	2
RNF139	hnscc_lscc	2
CHMP4C	hnscc_ovarian	2
RAD21	hnscc_ovarian	2
TSPYL5	hnscc_ovarian	2
WDYHV1	hnscc_ovarian	2
CNGB3	lscc_luad	2
MRPL13	lscc_ovarian	2
PDP1	lscc_ovarian	2
ZHX2	lscc_ovarian	2
COLEC10	brca	1
EXT1	brca	1
PMP2	brca	1
SDC2	brca	1
FABP5	colon	1
GRHL2	colon	1
MED30	colon	1
ANKRD46	hnscc	1
C8orf37	hnscc	1
NBN	hnscc	1
TMEM65	hnscc	1
CA13	lscc	1
CSMD3	lscc	1
DECR1	lscc	1
DERL1	lscc	1
DPYS	lscc	1
EBAG9	lscc	1
GEM	lscc	1
MTDH	lscc	1
POLR2K	lscc	1
PTDSS1	lscc	1
RAD54B	lscc	1
RGS22	lscc	1
SAMD12	lscc	1
ZNF706	lscc	1
CA2	luad	1
ATAD2	ovarian	1
DCAF13	ovarian	1
ENY2	ovarian	1
UBR5	ovarian	1
UTP23	ovarian	1
