protein	cancers	mean_simp_change	num_cancers	group	overlap_size	pvals	adj_p
ARFGEF1	brca_colon_hnscc_lscc_luad	1.0	5	8q_trans	5	0.0	0.0
GGH	brca_colon_hnscc_lscc_luad	1.0	5	8q_trans	5	0.0	0.0
STAU2	brca_colon_hnscc_lscc_luad	1.0	5	8q_trans	5	0.0	0.0
YTHDF3	brca_colon_hnscc_lscc_luad	1.0	5	8q_trans	5	0.0	0.0
MTFR1	brca_hnscc_lscc_luad	1.0	4	8q_trans	4	1.1401754501982766e-05	0.0004807739815002733
PRKDC	brca_colon_lscc_luad	1.0	4	8q_trans	4	1.1401754501982766e-05	0.0004807739815002733
ATP6V1E1	colon_lscc_luad	-1.0	3	8p_trans	3	3.562851123026869e-05	0.0010015570379175531
ATP6V1H	colon_lscc_luad	-1.0	3	8p_trans	3	3.562851123026869e-05	0.0010015570379175531
CNOT8	brca_lscc_luad	1.0	3	8p_trans	3	3.562851123026869e-05	0.0010015570379175531
ANKFY1	brca_colon_lscc	-1.0	3	8q_trans	3	0.000995373168023	0.0114467914322645
C8orf82	brca_colon_luad	1.0	3	8q_trans	3	0.000995373168023	0.0114467914322645
CYC1	brca_colon_luad	1.0	3	8q_trans	3	0.000995373168023	0.0114467914322645
HGH1	brca_colon_luad	1.0	3	8q_trans	3	0.000995373168023	0.0114467914322645
NCOA2	brca_lscc_luad	1.0	3	8q_trans	3	0.000995373168023	0.0114467914322645
PTK2	brca_colon_luad	1.0	3	8q_trans	3	0.000995373168023	0.0114467914322645
RRS1	brca_colon_luad	1.0	3	8q_trans	3	0.000995373168023	0.0114467914322645
TGS1	brca_lscc_luad	1.0	3	8q_trans	3	0.000995373168023	0.0114467914322645
TMEM68	colon_lscc_luad	1.0	3	8q_trans	3	0.000995373168023	0.0114467914322645
TMEM70	brca_colon_luad	1.0	3	8q_trans	3	0.000995373168023	0.0114467914322645
UQCRH	brca_colon_luad	1.0	3	8q_trans	3	0.000995373168023	0.0114467914322645
VCPIP1	brca_colon_ovarian	1.0	3	8q_trans	3	0.000995373168023	0.0114467914322645
ZBTB10	brca_luad_ovarian	1.0	3	8q_trans	3	0.000995373168023	0.0114467914322645
CPNE3	brca_colon_hnscc_lscc_luad_ovarian	1.0	6	8q_cis	6	0.0016342520688935	0.014257440463105361
OTUD6B	brca_colon_hnscc_lscc_luad_ovarian	1.0	6	8q_cis	6	0.0016342520688935	0.014257440463105361
POP1	brca_colon_hnscc_lscc_luad_ovarian	1.0	6	8q_cis	6	0.0016342520688935	0.014257440463105361
RIDA	brca_colon_hnscc_lscc_luad_ovarian	1.0	6	8q_cis	6	0.0016342520688935	0.014257440463105361
RMDN1	brca_colon_hnscc_lscc_luad_ovarian	1.0	6	8q_cis	6	0.0016342520688935	0.014257440463105361
STK3	brca_colon_hnscc_lscc_luad_ovarian	1.0	6	8q_cis	6	0.0016342520688935	0.014257440463105361
YWHAZ	brca_colon_hnscc_lscc_luad_ovarian	1.0	6	8q_cis	6	0.0016342520688935	0.014257440463105361
ACAP1	lscc_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
AGO2	colon_lscc	1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
AGPAT5	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.0079679039362567	0.04186622231795104
ARFGAP3	colon_lscc	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
ATP6V1A	colon_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
ATP6V1B2	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.0079679039362567	0.04186622231795104
ATP6V1G1	colon_lscc	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
CHMP7	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.0079679039362567	0.04186622231795104
CRELD2	colon_lscc	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
CYB5R4	lscc_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
DDX28	colon_lscc	1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
DNAJC19	colon_lscc	1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
ELMO1	lscc_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
ERI1	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.0079679039362567	0.04186622231795104
FAS	colon_lscc	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
FGD3	lscc_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
GCLC	colon_lscc	1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
GRAP	lscc_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
HIST1H1D	hnscc_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
ISG20	lscc_luad	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
KIF13B	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6	8p_cis	6	0.0079679039362567	0.04186622231795104
LMAN1	colon_lscc	-1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
MRPL18	colon_lscc	1.0	2	8p_trans	2	0.0119144980509584	0.04186622231795104
