	Name	Database_ID	start_bp	end_bp	variable	value	cancer
0	OR4F21	ENSG00000176269.3	166049.0	167043.0	gain	18	BRCA
1	OR4F21	ENSG00000176269.3	166049.0	167043.0	loss	57	BRCA
2	RPL23AP53	ENSG00000223508.5	213186.0	232231.0	gain	18	BRCA
3	RPL23AP53	ENSG00000223508.5	213186.0	232231.0	loss	57	BRCA
4	ZNF596	ENSG00000172748.7	232137.0	264703.0	gain	18	BRCA
5	ZNF596	ENSG00000172748.7	232137.0	264703.0	loss	57	BRCA
6	FBXO25	ENSG00000147364.12	406428.0	477967.0	gain	18	BRCA
7	FBXO25	ENSG00000147364.12	406428.0	477967.0	loss	57	BRCA
8	TDRP	ENSG00000180190.7	489792.0	545781.0	gain	18	BRCA
9	TDRP	ENSG00000180190.7	489792.0	545781.0	loss	57	BRCA
10	ERICH1	ENSG00000104714.9	614746.0	738106.0	gain	18	BRCA
11	ERICH1	ENSG00000104714.9	614746.0	738106.0	loss	57	BRCA
12	DLGAP2	ENSG00000198010.7	737596.0	1708474.0	gain	19	BRCA
13	DLGAP2	ENSG00000198010.7	737596.0	1708474.0	loss	57	BRCA
14	CLN8	ENSG00000182372.6	1755778.0	1801711.0	gain	18	BRCA
15	CLN8	ENSG00000182372.6	1755778.0	1801711.0	loss	57	BRCA
16	MIR596	ENSG00000207826.1	1817231.0	1817307.0	gain	18	BRCA
17	MIR596	ENSG00000207826.1	1817231.0	1817307.0	loss	57	BRCA
18	ARHGEF10	ENSG00000104728.11	1823926.0	1958641.0	gain	17	BRCA
19	ARHGEF10	ENSG00000104728.11	1823926.0	1958641.0	loss	59	BRCA
20	KBTBD11	ENSG00000176595.3	1973677.0	2006936.0	gain	17	BRCA
21	KBTBD11	ENSG00000176595.3	1973677.0	2006936.0	loss	59	BRCA
22	MYOM2	ENSG00000036448.5	2045046.0	2165552.0	gain	17	BRCA
23	MYOM2	ENSG00000036448.5	2045046.0	2165552.0	loss	59	BRCA
24	CSMD1	ENSG00000183117.13	2935353.0	4994972.0	gain	18	BRCA
25	CSMD1	ENSG00000183117.13	2935353.0	4994972.0	loss	61	BRCA
26	RNA5SP251	ENSG00000222546.1	3700492.0	3700628.0	gain	17	BRCA
27	RNA5SP251	ENSG00000222546.1	3700492.0	3700628.0	loss	59	BRCA
28	RN7SL318P	ENSG00000242079.1	5142411.0	5142707.0	gain	17	BRCA
29	RN7SL318P	ENSG00000242079.1	5142411.0	5142707.0	loss	59	BRCA
30	RN7SKP159	ENSG00000222589.1	5910945.0	5911236.0	gain	17	BRCA
31	RN7SKP159	ENSG00000222589.1	5910945.0	5911236.0	loss	59	BRCA
32	MCPH1	ENSG00000147316.8	6406596.0	6648508.0	gain	17	BRCA
33	MCPH1	ENSG00000147316.8	6406596.0	6648508.0	loss	60	BRCA
34	ANGPT2	ENSG00000091879.9	6499651.0	6563409.0	gain	16	BRCA
