,Mutation,Ovarian_odds,Ovarian_pvalue
0,A1CF,0.0,1.0
1,A2M,0.0,1.0
2,A2ML1,3.3333333333333335,0.5559473667025819
3,A4GALT,0.0,1.0
4,A4GNT,0.0,1.0
5,AACS,0.0,1.0
6,AADAC,0.0,1.0
7,AADAT,0.0,1.0
8,AAGAB,inf,0.38554216867469815
9,AAK1,0.7903225806451613,1.0
10,AANAT,0.0,1.0
11,AAR2,0.0,1.0
12,AARS2,0.0,1.0
13,AASS,inf,0.38554216867469815
14,AATF,0.0,1.0
15,AATK,0.5161290322580645,1.0
16,ABAT,inf,0.38554216867469815
17,ABCA1,1.6129032258064515,1.0
18,ABCA10,0.0,1.0
19,ABCA12,1.0666666666666667,1.0
20,ABCA13,0.0,0.15555990901274486
21,ABCA2,0.7903225806451613,1.0
22,ABCA3,0.0,0.5204231560387891
23,ABCA4,3.3333333333333335,0.5559473667025819
24,ABCA5,1.6129032258064515,1.0
25,ABCA7,0.7903225806451613,1.0
26,ABCA8,0.7903225806451613,1.0
27,ABCA9,0.0,0.5204231560387891
28,ABCB1,1.6333333333333333,0.637357016140444
29,ABCB10,inf,0.38554216867469815
30,ABCB11,5.172413793103448,0.29321622533494396
31,ABCB4,0.0,1.0
32,ABCB5,1.6129032258064515,1.0
33,ABCB6,1.6129032258064515,1.0
34,ABCB7,0.0,1.0
35,ABCB8,0.0,0.2806347340581836
36,ABCB9,inf,0.38554216867469815
37,ABCC1,0.0,0.5204231560387891
38,ABCC10,1.6129032258064515,1.0
39,ABCC11,0.0,0.5204231560387891
40,ABCC12,0.0,1.0
41,ABCC2,0.0,0.5204231560387891
42,ABCC3,0.0,0.5204231560387891
43,ABCC4,0.0,1.0
44,ABCC5,0.0,1.0
45,ABCC6,0.0,0.2806347340581836
46,ABCC8,0.0,0.5204231560387891
47,ABCC9,1.6129032258064515,1.0
48,ABCD1,0.0,1.0
49,ABCD2,inf,0.38554216867469815
50,ABCD4,0.0,1.0
51,ABCF1,0.0,1.0
52,ABCG2,0.0,0.5204231560387891
53,ABCG5,0.0,1.0
54,ABCG8,0.5161290322580645,1.0
55,ABHD10,0.0,1.0
56,ABHD12,0.0,1.0
57,ABHD16A,0.0,1.0
58,ABHD16B,1.6129032258064515,1.0
59,ABHD17A,1.6129032258064515,1.0
60,ABHD17C,0.0,1.0
61,ABHD6,inf,0.38554216867469815
62,ABI2,0.0,1.0
63,ABL1,0.0,0.5204231560387891
64,ABL2,inf,0.38554216867469815
65,ABLIM1,0.0,1.0
66,ABLIM2,0.0,1.0
67,ABLIM3,0.0,0.2806347340581836
68,ABTB2,0.0,0.5204231560387891
69,AC003101.1,inf,0.38554216867469815
70,AC003102.1,inf,0.38554216867469815
71,AC004381.6,0.0,0.5204231560387891
72,AC005003.1,inf,0.38554216867469815
73,AC005544.1,0.0,1.0
74,AC005841.1,1.6129032258064515,1.0
75,AC006486.1,0.0,0.5204231560387891
76,AC007557.1,0.0,0.5204231560387891
77,AC008060.7,inf,0.38554216867469815
78,AC008132.13,3.3333333333333335,0.5559473667025819
79,AC009365.3,0.0,1.0
80,AC010536.1,0.0,0.5204231560387891
81,AC011475.1,inf,0.38554216867469815
82,AC011500.1,1.6129032258064515,1.0
83,AC012123.1,0.0,1.0
84,AC012215.1,0.0,1.0
85,AC012313.1,1.6129032258064515,1.0
86,AC016757.3,0.0,1.0
87,AC018470.1,inf,0.38554216867469815
88,AC019294.1,0.0,0.5204231560387891
89,AC020922.1,0.0,1.0
90,AC021218.2,0.0,0.5204231560387891
91,AC022431.2,0.0,1.0
92,AC024580.1,0.0,0.5204231560387891
93,AC040160.1,0.0,1.0
94,AC073343.1,0.0,0.5204231560387891
95,AC074091.13,0.0,1.0
96,AC079354.1,0.0,1.0
97,AC079354.2,0.0,1.0
98,AC079354.5,0.0,1.0
99,AC093157.1,0.0,1.0
100,AC096644.1,inf,0.38554216867469815
101,AC104809.3,0.0,1.0
102,AC110781.3,inf,0.38554216867469815
