protein	Database_ID	adj_p	cancer_type	change	tumor_sample_size	not_tumor_sample_size
SCGN	ENSP00000367197	6.4734211663330965e-59	coad	-2.051267612752475	65	66
NCAM1	ENSP00000318472	2.7640428812204574e-54	coad	-2.0388986662899082	65	66
CADM3	ENSP00000357106	9.741753730858918e-51	coad	-1.8498978770203647	65	66
ANK2	ENSP00000421011	3.16422622023443e-47	coad	-1.4768527632109198	65	66
SPTAN1	ENSP00000361824	7.629703735500277e-47	coad	-1.6383520413992203	65	66
LPAR1	ENSP00000351755	2.0888197203781025e-45	coad	-2.3932862974626814	65	66
NOP2	ENSP00000313272	3.116908901842979e-45	coad	0.802047707752706	65	66
NEGR1	ENSP00000350364	2.244073662121981e-44	coad	-1.8291924596713902	65	66
NOC2L	ENSP00000317992	2.8654685197060446e-44	coad	0.7657808758296837	65	66
GAP43	ENSP00000305010	3.25822767594699e-44	coad	-2.562476461036797	65	66
GTPBP4	ENSP00000354040	1.3965223922125842e-43	coad	0.8405473563246929	65	66
SCG2	ENSP00000304133	1.3965223922125842e-43	coad	-1.917044120811973	65	66
CHL1	ENSP00000256509	1.3965223922125842e-43	coad	-1.3489286963020755	65	66
RPL7L1	ENSP00000346063	3.83747834411437e-43	coad	0.9268879489638258	65	66
ABCA8	ENSP00000402814	4.060155088386304e-43	coad	-1.8949213258931965	65	66
SCN7A	ENSP00000403846	1.2951236121064832e-42	coad	-1.772928439003067	59	64
NUP93	ENSP00000310668	1.681128503452667e-42	coad	0.4620153807161149	65	66
DDX21	ENSP00000346120	1.9889304620791106e-42	coad	1.1451003235102901	65	66
GNL3	ENSP00000378278	2.3997311368868174e-42	coad	0.8118039555727142	65	66
VAT1L	ENSP00000303129	6.430126250941976e-42	coad	-1.3929173407805602	65	66
GNA11	ENSP00000078429	7.259383063593674e-42	coad	-0.6252226160836134	65	66
TNXB	ENSP00000497649	7.738348340797854e-42	coad	-1.5760869718637616	65	66
GSTM2	ENSP00000241337	8.042321783742194e-42	coad	-1.760965868205227	65	66
COL28A1	ENSP00000382356	8.323922074226272e-42	coad	-2.0535977757284276	65	66
ABI3BP	ENSP00000420524	1.339539707847005e-41	coad	-1.8475868814581498	65	66
WDR43	ENSP00000384302	4.897980535032287e-41	coad	0.7751752646565345	65	66
RBM28	ENSP00000223073	1.011842412455203e-40	coad	0.8718129899615629	65	66
RRP12	ENSP00000360031	1.219728389554634e-40	coad	0.6388082466881473	65	66
NCAM1	ENSP00000384055	1.4288237994620968e-40	coad	-2.917354877416065	55	54
OGN	ENSP00000262551	2.1656199651722233e-40	coad	-2.5866098012262997	65	66
TUBB4A	ENSP00000264071	5.271381156075633e-40	coad	-1.9485445210534058	65	66
EBNA1BP2	ENSP00000236051	5.286836127781484e-40	coad	0.6944354312381208	65	66
NIFK	ENSP00000285814	5.496980569839629e-40	coad	0.7068132014959931	65	66
CHGA	ENSP00000216492	6.045299315440759e-40	coad	-2.5190865854741302	65	66
PDCD11	ENSP00000358812	8.805091698528662e-40	coad	0.6517613782961005	65	66
PACSIN2	ENSP00000263246	1.0691188070647166e-39	coad	-0.5521943070925786	65	66
DDX18	ENSP00000263239	1.0691188070647166e-39	coad	0.8081281038145804	65	66
NDRG2	ENSP00000298687	3.0132261214325525e-39	coad	-1.1317162340251254	65	66
LYVE1	ENSP00000256178	3.421311314204816e-39	coad	-1.8546784120021291	65	66
PRKAR2B	ENSP00000265717	3.436608224532199e-39	coad	-1.091238028717782	65	66
DCN	ENSP00000052754	3.451009870530891e-39	coad	-1.909789637595238	65	66
RSL1D1	ENSP00000460871	7.246409838783816e-39	coad	0.999029592973997	65	66
ADD1	ENSP00000381191	9.447390212584915e-39	coad	-0.5532217697098665	65	66
XPO5	ENSP00000265351	1.5602347606730847e-38	coad	0.8586402086558659	65	66
EPB41L3	ENSP00000442091	2.2515193647760698e-38	coad	-1.1738349593750494	65	66
ADH1B	ENSP00000306606	2.4159241595772504e-38	coad	-2.48312077329987	65	66
PLCD1	ENSP00000335600	2.434007319869586e-38	coad	-0.87164074538963	65	66
SNCG	ENSP00000361087	3.5588125767542526e-38	coad	-1.8644904908789073	65	66
TMOD2	ENSP00000249700	4.325105725924687e-38	coad	-0.9633292602275263	65	66
UTP4	ENSP00000327179	5.119219600842471e-38	coad	0.7698822726514258	65	66
RANBP2	ENSP00000283195	1.4004220842254765e-37	coad	0.43035973665164085	65	66
TPPP3	ENSP00000290942	1.942720924178637e-37	coad	-1.664086461897895	65	66
PRPF8	ENSP00000304350	2.122228191568646e-37	coad	0.40923083039574015	65	66
METTL7A	ENSP00000331787	2.5123744594485576e-37	coad	-1.0898870993511383	65	66
GNG7	ENSP00000371594	2.7287425625932375e-37	coad	-1.2026316700716781	65	66
PTN	ENSP00000341170	2.7880246461721844e-37	coad	-1.8925825329534218	65	66
ADH5	ENSP00000296412	2.7880246461721844e-37	coad	-1.0992064771494419	65	66
BCAM	ENSP00000270233	2.808532016103959e-37	coad	-1.3853017877102016	65	66
PES1	ENSP00000334612	2.808532016103959e-37	coad	0.7585848037116536	65	66
ITIH5	ENSP00000380333	3.1989026100651835e-37	coad	-1.2866855620519053	65	66
CAV1	ENSP00000339191	3.7420308260584265e-37	coad	-1.9305687019470679	65	66
DAG1	ENSP00000312435	4.174137644811643e-37	coad	-0.9219951333094656	65	66
TPPP	ENSP00000353785	4.2374023362665865e-37	coad	-1.880853791037409	65	66
G3BP1	ENSP00000348578	4.276688677729122e-37	coad	0.6709025804550104	65	66
SF3B1	ENSP00000335321	7.63829138877874e-37	coad	0.4548247979700444	65	66
PRPH	ENSP00000257860	8.6515599794568e-37	coad	-2.0434642343816156	65	66
GNAO1	ENSP00000262493	8.6515599794568e-37	coad	-1.995393528374649	65	66
ALDH1A1	ENSP00000297785	9.70418092340706e-37	coad	-1.8911385334283461	65	66
NOC3L	ENSP00000360412	1.0054906631003835e-36	coad	0.7351903600086576	65	66
MPHOSPH10	ENSP00000244230	1.0384892558751604e-36	coad	0.7550226663669162	65	66
CAPRIN1	ENSP00000340329	1.244300235055709e-36	coad	0.6744430217014407	65	66
CAVIN2	ENSP00000305675	1.5149148822043202e-36	coad	-2.1018229216767597	65	66
WDR36	ENSP00000423067	1.762906795344697e-36	coad	0.6427504222079341	65	66
CAVIN1	ENSP00000349541	3.0028774739262495e-36	coad	-1.837374710784757	65	66
SNRNP70	ENSP00000472998	3.592876633966403e-36	coad	0.499487316808475	65	66
NAT10	ENSP00000257829	3.646265776885031e-36	coad	0.6118035131875516	65	66
PCK1	ENSP00000319814	3.672355268475802e-36	coad	-1.3041545949364342	65	66
SMARCA5	ENSP00000283131	3.704485888025547e-36	coad	0.5273672426337671	65	66
BCHE	ENSP00000264381	5.403567216797312e-36	coad	-1.707846031425437	59	64
TOM1L2	ENSP00000368818	5.4371840551211453e-36	coad	-0.7041918218482404	65	66
EML1	ENSP00000262233	5.978541413028811e-36	coad	-1.6714525584870064	65	66
SNRNP200	ENSP00000317123	6.31606303326685e-36	coad	0.3907197585602735	65	66
