protein	Database_ID	adj_p	cancer_type	change	has_event_sample_size	not_has_event_sample_size
PPP2R2A	ENSP00000370113	1.3475095053205611e-07	brca	-0.4910509932328099	43	79
CCAR2	ENSP00000310670	1.7381758326706554e-07	brca	-0.3009304533220172	43	79
CHMP7	ENSP00000324491	2.518534135333259e-06	brca	-0.2924082006388471	43	79
CCDC25	ENSP00000348933	2.989577271628019e-06	brca	-0.3450332658600045	43	79
NEIL2	ENSP00000284503	4.1186125299452946e-06	brca	-0.4722655895413417	43	79
XPO7	ENSP00000252512	6.956614752157843e-05	brca	-0.32622961249939925	43	79
PCM1	ENSP00000428123	0.00031484799491117356	brca	-1.2604467060501678	20	38
HMBOX1	ENSP00000287701	0.0007048586438354252	brca	-0.5110496996783491	43	71
MTMR9	ENSP00000221086	0.0010608658872204627	brca	-0.211443029004107	43	79
MTUS1	ENSP00000262102	0.0013168441871554027	brca	-0.44986310295100107	43	79
AGPAT5	ENSP00000285518	0.004354978393886864	brca	-0.36159939213570647	43	79
VPS37A	ENSP00000318629	0.004359150845481511	brca	-0.16783595927811135	43	79
PRAG1	ENSP00000479068	0.004359150845481511	brca	-0.2879437604981592	43	79
PCM1	ENSP00000327077	0.004359150845481511	brca	-0.3546751451180955	43	79
ERI1	ENSP00000250263	0.005128161748299275	brca	-0.2932699885928608	43	79
SLC7A2	ENSP00000004531	0.007692163656544311	brca	-0.6618877680632077	43	71
REEP4	ENSP00000303482	0.01147674150944762	brca	-0.2687357054490158	43	79
PINX1	ENSP00000318966	0.011785567507225493	brca	-0.3226185328029969	33	58
EPHX2	ENSP00000430269	0.011785567507225493	brca	-0.43136426382501336	43	79
SH2D4A	ENSP00000265807	0.011785567507225493	brca	-0.3346225215956379	43	79
KIF13B	ENSP00000427900	0.012675776880680743	brca	-0.3323384034719472	43	79
ELP3	ENSP00000256398	0.015658704255468343	brca	-0.139950097954632	43	79
DOCK5	ENSP00000276440	0.021577915447684188	brca	-0.19878921969146765	43	79
NUDT18	ENSP00000480722	0.02158089921614122	brca	-0.16539958892176693	43	79
FDFT1	ENSP00000220584	0.024151242600408178	brca	-0.4018171549254701	43	79
BNIP3L	ENSP00000370003	0.024151242600408178	brca	-0.3096640245797542	43	71
ARHGEF10	ENSP00000340297	0.024151242600408178	brca	-0.21364179300865205	43	79
WRN	ENSP00000298139	0.024151242600408178	brca	-0.19219775424552377	43	79
R3HCC1	ENSP00000265806	0.025743322185318298	brca	-0.1819227564678636	43	79
ERICH1	ENSP00000262109	0.025743322185318298	brca	-0.2554513898707155	43	79
SARAF	ENSP00000256255	0.02581876695116385	brca	-0.3742895505833631	41	74
TNKS	ENSP00000311579	0.039193637733932835	brca	-0.1710465233518717	36	61
MSRA	ENSP00000313921	0.042948801282358076	brca	-0.18338401795183548	43	79
ZNF395	ENSP00000340494	0.042948801282358076	brca	-0.31635803521739925	31	60
CNOT7	ENSP00000355279	0.042948801282358076	brca	-0.12567377576873157	43	79
ATP6V1B2	ENSP00000276390	0.042948801282358076	brca	-0.12147524009308192	43	79
GTF2E2	ENSP00000348168	0.043551388930581074	brca	-0.14427223646262693	43	79
DUSP4	ENSP00000240100	0.04746121235324112	brca	-0.42734741441614815	31	52
BIN3	ENSP00000276416	0.06140025738770899	brca	-0.20973437043934562	43	79
PSD3	ENSP00000324127	0.06401448872229835	brca	-0.21107545235772882	37	69
SORBS3	ENSP00000240123	0.08933005261483465	brca	-0.15437359660891276	43	79
CLN8	ENSP00000328182	0.10372692854248224	brca	-0.6160040599793242	9	23
DEFA3	ENSP00000328359	0.10377254936859906	brca	0.7708830232048998	24	44
PPP3CC	ENSP00000289963	0.1095468372398269	brca	-0.13267624336868428	43	79
PCM1	ENSP00000431099	0.11593427470849484	brca	-0.30745786346279147	32	45
KCTD9	ENSP00000221200	0.1419740871838561	brca	-0.14592613996461495	43	79
SLC39A14	ENSP00000240095	0.1469104507374902	brca	-0.24793482052356314	37	70
CLU	ENSP00000315130	0.17237019125552147	brca	-0.23234951238869228	43	79
SLC25A37	ENSP00000429200	0.17237019125552147	brca	-0.2677890558048895	14	31
DEFB1	ENSP00000297439	0.2026398737383745	brca	-0.5082681652880099	14	29
PBK	ENSP00000301905	0.2451266604323156	brca	-0.21612172882020828	43	79
MYOM2	ENSP00000262113	0.26846377223595513	brca	-0.6923521537775751	13	21
NRG1	ENSP00000384620	0.28374236071270825	brca	1.6796934118704805	4	5
PPP2CB	ENSP00000221138	0.28374236071270825	brca	-0.1720535965708197	43	79
TUSC3	ENSP00000371450	0.28374236071270825	brca	-0.2710822259473795	30	54
ASAH1	ENSP00000262097	0.28622209053607744	brca	-0.17859944662967286	43	79
MAK16	ENSP00000353246	0.28622209053607744	brca	-0.11328697035681123	43	79
ASH2L	ENSP00000340896	0.3200395254680673	brca	0.081159626509291	43	79
RAB11FIP1	ENSP00000331342	0.3200395254680673	brca	-0.13035628427848	43	79
TDRP	ENSP00000315111	0.3279204110533162	brca	-0.1464087668694733	43	79
PTK2B	ENSP00000391995	0.33261197271840115	brca	-0.09574872724630021	43	79
DEFA5	ENSP00000329890	0.33261197271840115	brca	0.42029809089514253	10	16
KBTBD11	ENSP00000321544	0.33261197271840115	brca	-0.1145951471483106	43	79
NAT1	ENSP00000443194	0.3504200575902703	brca	-0.2900612012597784	43	79
HR	ENSP00000326765	0.4105069856621716	brca	-0.2791148210509692	5	12
STC1	ENSP00000290271	0.41101428629345543	brca	-0.18776192557422808	43	79
TTI2	ENSP00000353971	0.4193043314904383	brca	-0.07491820499154284	43	79
ESCO2	ENSP00000306999	0.4981796325659385	brca	-0.19416314606668034	31	52
ERLIN2	ENSP00000428112	0.5124780371802055	brca	-0.12336436529864869	43	79
ADGRA2	ENSP00000323508	0.5552163440398887	brca	-0.13905172862995774	20	39
DMTN	ENSP00000370879	0.5637859506638963	brca	0.14221074084562194	43	79
TNFRSF10A	ENSP00000221132	0.5855464784601143	brca	-0.14955919388450448	27	49
GSR	ENSP00000221130	0.5855464784601143	brca	-0.09261393257162331	43	79
INTS9	ENSP00000398208	0.5876425189422346	brca	-0.02818087206470664	43	79
POLR3D	ENSP00000303088	0.6264552389488348	brca	0.04640886695524059	43	79
CDCA2	ENSP00000328228	0.6265493015459365	brca	-0.10475711347520136	43	79
DLC1	ENSP00000276297	0.6266627197050965	brca	-0.08490684205761698	31	67
DPYSL2	ENSP00000427985	0.6307863179565412	brca	-0.062440878818023404	43	79
PPP1R3B	ENSP00000308318	0.6487835834813155	brca	-0.08956930591248337	20	46
MFHAS1	ENSP00000276282	0.71041731799161	brca	-0.09961632332840968	36	62
NEFM	ENSP00000221166	0.7295812503039665	brca	-0.24042030107817458	7	17
UBXN8	ENSP00000477532	0.7710429457577714	brca	-0.10534275487251134	15	26
PDLIM2	ENSP00000312634	0.7710429457577714	brca	-0.040457015304483895	43	79
LOXL2	ENSP00000373783	0.7710429457577714	brca	0.08749874653430034	43	79
CLDN23	ENSP00000428780	0.7710429457577714	brca	-0.1234543133748659	32	61
