	gain_event
C3L-00104	False
C3L-00365	True
C3L-00674	False
C3L-00677	True
C3L-01040	True
C3L-01043	False
C3L-01045	True
C3L-01046	False
C3L-01048	True
C3L-01049	True
C3L-01061	False
C3L-01142	False
C3L-01146	False
C3L-01149	False
C3L-01154	False
C3L-01155	True
C3L-01156	False
C3L-01157	False
C3L-01327	True
C3L-01887	True
C3L-02041	False
C3L-02465	False
C3L-02504	False
C3L-02542	False
C3L-02642	True
C3L-02704	False
C3L-02705	True
C3L-02707	True
C3L-02708	False
C3L-02900	False
C3L-02955	False
C3L-02970	False
C3L-02984	False
C3L-03260	False
C3L-03266	False
C3L-03387	True
C3L-03390	False
C3L-03392	False
C3L-03400	False
C3L-03405	False
C3L-03407	False
C3L-03681	False
C3L-03727	True
C3L-03728	False
C3L-03744	False
C3L-03748	False
C3L-03968	False
C3L-04084	True
C3N-00661	True
C3N-00662	False
C3N-00663	False
C3N-00665	True
C3N-01192	True
C3N-01196	True
C3N-01334	True
C3N-01364	True
C3N-01366	False
C3N-01367	False
C3N-01368	False
C3N-01369	False
C3N-01505	False
C3N-01515	False
C3N-01517	True
C3N-01518	False
C3N-01798	False
C3N-01814	False
C3N-01815	True
C3N-01816	False
C3N-01818	False
C3N-01851	False
C3N-01852	True
C3N-01856	False
C3N-01857	True
C3N-02181	False
C3N-02183	False
C3N-02185	False
C3N-02186	False
C3N-02188	False
C3N-02190	False
C3N-02255	True
C3N-02256	False
C3N-02769	False
C3N-02770	True
C3N-02782	True
C3N-02783	False
C3N-02784	False
C3N-02785	True
C3N-02786	False
C3N-02788	False
C3N-03070	False
C3N-03088	True
C3N-03180	False
C3N-03182	False
C3N-03183	False
C3N-03184	True
C3N-03186	True
C3N-03188	False
C3N-03473	False
