	gain_event
CPT000814	False
CPT001846	True
X01BR001	False
X01BR008	False
X01BR009	True
X01BR010	True
X01BR015	False
X01BR017	False
X01BR018	False
X01BR020	True
X01BR023	False
X01BR025	True
X01BR026	False
X01BR027	False
X01BR030	False
X01BR031	False
X01BR032	False
X01BR033	False
X01BR040	True
X01BR042	False
X01BR043	False
X03BR002	True
X03BR004	True
X03BR005	False
X03BR006	False
X03BR010	False
X03BR011	False
X03BR013	False
X05BR001	False
X05BR003	False
X05BR004	False
X05BR005	False
X05BR009	True
X05BR016	False
X05BR026	False
X05BR029	False
X05BR038	False
X05BR042	False
X05BR043	False
X05BR044	False
X05BR045	False
X06BR003	False
X06BR005	True
X06BR006	False
X06BR014	False
X09BR001	False
X09BR004	True
X09BR005	False
X09BR007	True
X11BR003	False
X11BR004	False
X11BR006	False
X11BR009	False
X11BR010	False
X11BR011	False
X11BR012	False
X11BR013	True
X11BR014	False
X11BR015	False
X11BR016	False
X11BR017	False
X11BR018	False
X11BR019	False
X11BR020	False
X11BR022	False
X11BR023	False
X11BR024	False
X11BR025	True
X11BR027	False
X11BR028	False
X11BR030	False
X11BR031	True
X11BR032	False
X11BR036	True
X11BR038	False
X11BR040	False
X11BR042	True
X11BR043	False
X11BR044	True
X11BR047	False
X11BR049	False
X11BR050	False
X11BR051	False
X11BR053	True
X11BR054	False
X11BR055	True
X11BR056	False
X11BR058	False
X11BR059	False
X11BR060	True
X11BR072	False
X11BR073	False
X11BR074	False
X11BR075	False
X11BR080	False
X13BR009	True
X14BR005	False
X14BR008	False
X14BR014	False
X15BR003	False
X16BR012	False
X18BR002	False
X18BR003	False
X18BR004	False
X18BR006	True
X18BR007	True
X18BR009	False
X18BR010	True
X18BR016	False
X18BR017	False
X18BR019	False
X20BR001	False
X20BR002	False
X20BR005	False
X20BR006	False
X20BR007	False
X20BR008	False
X21BR001	False
X21BR002	False
X21BR010	False
X22BR005	False
X22BR006	False
