	gain_event
01CO001	False
01CO005	False
01CO006	False
01CO008	True
01CO013	True
01CO014	False
01CO015	True
01CO019	True
01CO022	False
05CO002	False
05CO003	False
05CO005	True
05CO006	False
05CO007	False
05CO011	True
05CO014	True
05CO015	True
05CO020	False
05CO026	True
05CO028	False
05CO029	True
05CO032	False
05CO033	False
05CO034	True
05CO035	True
05CO037	False
05CO039	False
05CO041	False
05CO044	False
05CO047	True
05CO048	True
05CO049	True
05CO050	False
05CO053	False
05CO054	True
05CO055	True
06CO001	False
06CO002	False
09CO005	True
09CO006	True
09CO008	False
09CO011	True
09CO013	True
09CO014	True
09CO015	True
09CO018	False
09CO019	False
09CO022	False
11CO005	False
11CO007	False
11CO008	True
11CO010	False
11CO018	False
11CO019	False
11CO020	False
11CO021	False
11CO022	False
11CO027	True
11CO030	False
11CO031	False
11CO032	False
11CO033	False
11CO036	False
11CO037	True
11CO039	True
11CO042	False
11CO043	True
11CO044	True
11CO045	True
11CO047	True
11CO048	True
11CO051	False
11CO052	True
11CO053	False
11CO054	False
11CO057	True
11CO058	True
11CO059	False
11CO060	False
11CO061	False
11CO062	False
11CO070	False
11CO072	False
11CO077	False
11CO079	False
14CO002	False
14CO003	False
14CO005	True
15CO001	False
15CO002	False
16CO002	True
16CO003	True
16CO006	False
16CO011	True
16CO012	False
20CO001	False
20CO003	False
20CO004	False
20CO007	False
21CO006	False
21CO007	True
22CO004	True
22CO006	False
24CO005	True
27CO004	False
