	gain_event
C3L-00006	True
C3L-00008	False
C3L-00032	False
C3L-00090	False
C3L-00098	False
C3L-00136	False
C3L-00137	False
C3L-00139	True
C3L-00143	False
C3L-00145	False
C3L-00156	False
C3L-00161	False
C3L-00358	True
C3L-00361	False
C3L-00362	False
C3L-00413	False
C3L-00449	False
C3L-00563	False
C3L-00586	False
C3L-00601	False
C3L-00605	False
C3L-00767	False
C3L-00769	False
C3L-00770	False
C3L-00771	False
C3L-00780	False
C3L-00781	False
C3L-00905	False
C3L-00918	False
C3L-00921	False
C3L-00932	False
C3L-00942	False
C3L-00946	False
C3L-00947	False
C3L-00949	False
C3L-00961	False
C3L-00963	False
C3L-01246	False
C3L-01248	False
C3L-01249	False
C3L-01252	False
C3L-01256	False
C3L-01257	False
C3L-01275	False
C3L-01282	False
C3L-01304	False
C3L-01307	False
C3L-01311	False
C3L-01312	False
C3L-01744	False
C3L-01925	False
C3N-00151	False
C3N-00200	False
C3N-00321	False
C3N-00322	False
C3N-00323	False
C3N-00324	False
C3N-00326	False
C3N-00328	False
C3N-00333	False
C3N-00334	False
C3N-00335	False
C3N-00337	False
C3N-00339	False
C3N-00340	True
C3N-00377	False
C3N-00379	False
C3N-00383	False
C3N-00386	False
C3N-00388	False
C3N-00389	False
C3N-00729	False
C3N-00734	False
C3N-00743	False
C3N-00836	False
C3N-00847	False
C3N-00848	False
C3N-00850	False
C3N-00858	False
C3N-00866	False
C3N-00880	False
C3N-01003	True
C3N-01211	False
C3N-01212	False
C3N-01217	False
C3N-01219	True
C3N-01267	False
C3N-01346	False
C3N-01349	False
C3N-01510	False
C3N-01520	False
C3N-01521	False
C3N-01537	False
C3N-01802	False
C3N-01825	False
