protein	cancers	num_cancers
PTK2	brca_colon_luad	3
AGO2	brca_colon	2
C21orf59	brca_colon	2
FBL	brca_colon	2
HSPE1	brca_colon	2
MRPL40	brca_colon	2
SMC1A	brca_colon	2
TIMM13	brca_colon	2
ZFYVE19	brca_colon	2
MAPKAPK2	brca_hnscc	2
SURF2	brca_luad	2
AGR2	brca	1
AKAP5	brca	1
AKT1	brca	1
AKT1S1	brca	1
ANLN	brca	1
AP2M1	brca	1
AP3B1	brca	1
ATG16L1	brca	1
AURKB	brca	1
BAP1	brca	1
BCAR1	brca	1
CACYBP	brca	1
CAND1	brca	1
CAPNS1	brca	1
CCDC8	brca	1
CDC25C	brca	1
CDK1	brca	1
CDK2	brca	1
CDKN1B	brca	1
CGNL1	brca	1
CIT	brca	1
COPB1	brca	1
COPE	brca	1
CORO1B	brca	1
DDAH2	brca	1
ECT2	brca	1
EXOC8	brca	1
FANCD2	brca	1
FEN1	brca	1
FERMT2	brca	1
FOXA1	brca	1
GINS4	brca	1
GPATCH4	brca	1
GTPBP4	brca	1
HNRNPH1	brca	1
HPGDS	brca	1
HSPA9	brca	1
INPP5A	brca	1
KIF11	brca	1
KIF14	brca	1
KIF20A	brca	1
KIF23	brca	1
KIF2C	brca	1
MB21D1	brca	1
MCM2	brca	1
MDC1	brca	1
MKI67	brca	1
NCAPD3	brca	1
NF2	brca	1
NSUN5	brca	1
NXF1	brca	1
OTUB1	brca	1
PARVA	brca	1
PHB	brca	1
PLK1	brca	1
PRKAA1	brca	1
PRKCZ	brca	1
PTEN	brca	1
RAD18	brca	1
RALGPS2	brca	1
RBPJ	brca	1
RECQL4	brca	1
RIOK1	brca	1
RPP21	brca	1
RPP30	brca	1
RPP38	brca	1
RPP40	brca	1
SART3	brca	1
SEC24C	brca	1
SH3GL1	brca	1
SHMT2	brca	1
SPC24	brca	1
SWAP70	brca	1
TCEB1	brca	1
TERF1	brca	1
TP53	brca	1
TP53BP1	brca	1
TRAF1	brca	1
TRAP1	brca	1
TRIM32	brca	1
UBE3A	brca	1
UHRF1BP1L	brca	1
USP8	brca	1
VCL	brca	1
YWHAE	brca	1
AAR2	colon	1
CPNE1	colon	1
EBNA1BP2	colon	1
EIF6	colon	1
KIAA1429	colon	1
KIF3B	colon	1
LARP7	colon	1
MAPRE1	colon	1
MOV10	colon	1
NBEAL2	colon	1
NOP56	colon	1
PFAS	colon	1
RPF2	colon	1
SSBP1	colon	1
TRIM21	colon	1
VAPB	colon	1
VDAC1	colon	1
YWHAB	colon	1
CSK	hnscc	1
GBP2	lscc	1
LCK	lscc	1
NFATC2	lscc	1
PRKAR1A	lscc	1
RASAL3	lscc	1
SOAT1	lscc	1
SPATA13	lscc	1
TRIM28	luad	1
