protein	cancers	num_cancers
CNOT8	brca_hnscc_luad	3
MTMR6	brca_hnscc_luad	3
ATP6V1E1	colon_hnscc_luad	3
PTK2	colon_hnscc_luad	3
ATP6V1D	brca_luad	2
AGO2	colon_hnscc	2
AK4	colon_hnscc	2
FNDC3A	colon_hnscc	2
REXO4	colon_hnscc	2
ARFGAP3	colon_luad	2
ATP6V1A	colon_luad	2
ATP6V1F	colon_luad	2
ATP6V1G1	colon_luad	2
ATP6V1H	colon_luad	2
CRELD2	colon_luad	2
CTNNB1	colon_luad	2
ERP29	colon_luad	2
HSP90B1	colon_luad	2
NUCB2	colon_luad	2
NUDCD1	colon_luad	2
PDIA3	colon_luad	2
PPIB	colon_luad	2
SBF1	colon_luad	2
SDC4	colon_luad	2
THEM6	colon_luad	2
ACAP1	hnscc_luad	2
APAF1	hnscc_luad	2
ARID3A	hnscc_luad	2
CBL	hnscc_luad	2
CDKN2C	hnscc_luad	2
DEF6	hnscc_luad	2
ERGIC1	hnscc_luad	2
FGD3	hnscc_luad	2
FMNL1	hnscc_luad	2
FNBP1	hnscc_luad	2
GIMAP7	hnscc_luad	2
GIMAP8	hnscc_luad	2
GK	hnscc_luad	2
GNG2	hnscc_luad	2
HSPB1	hnscc_luad	2
ING3	hnscc_luad	2
ITGA4	hnscc_luad	2
MAST3	hnscc_luad	2
MFN2	hnscc_luad	2
MICAL1	hnscc_luad	2
NAAA	hnscc_luad	2
NDRG1	hnscc_luad	2
ODF2	hnscc_luad	2
PREX1	hnscc_luad	2
PSTPIP1	hnscc_luad	2
PTDSS1	hnscc_luad	2
PTPN6	hnscc_luad	2
RCSD1	hnscc_luad	2
RGS14	hnscc_luad	2
SELL	hnscc_luad	2
TNFAIP8	hnscc_luad	2
TRAF3IP3	hnscc_luad	2
WAS	hnscc_luad	2
WIPF1	hnscc_luad	2
ZAP70	hnscc_luad	2
ADAM10	colon	1
ADAM17	colon	1
AKAP1	colon	1
AKR1A1	colon	1
ALDH1B1	colon	1
ANKS1A	colon	1
ATP1B3	colon	1
CALR	colon	1
CAPZA1	colon	1
CASP4	colon	1
CCDC134	colon	1
CCDC43	colon	1
CHDH	colon	1
COQ5	colon	1
COQ8A	colon	1
COQ9	colon	1
CORO7-PAM16	colon	1
CPT1A	colon	1
CTNNBL1	colon	1
DAP3	colon	1
DDB2	colon	1
DDX28	colon	1
DNAJC19	colon	1
EPN2	colon	1
ERAL1	colon	1
FARP1	colon	1
FARS2	colon	1
FAS	colon	1
GCLC	colon	1
GPD1L	colon	1
GTF2A1	colon	1
GTPBP10	colon	1
GTPBP6	colon	1
HAT1	colon	1
HSPA13	colon	1
HSPA4L	colon	1
HSPA5	colon	1
HTT	colon	1
HYOU1	colon	1
IDNK	colon	1
IGBP1	colon	1
INPPL1	colon	1
INTS7	colon	1
KIAA1671	colon	1
KIF4A	colon	1
LAMP1	colon	1
LMAN1	colon	1
LNPEP	colon	1
LRRC40	colon	1
LYRM4	colon	1
MBD1	colon	1
METTL17	colon	1
MINPP1	colon	1
MIPEP	colon	1
MOCS3	colon	1
MOV10	colon	1
MRPL13	colon	1
MRPL15	colon	1
MRPL17	colon	1
MRPL18	colon	1
MRPL19	colon	1
MRPL23	colon	1
MRPL24	colon	1
MRPL27	colon	1
MRPL3	colon	1
MRPL41	colon	1
MRPL45	colon	1
MRPL47	colon	1
MRPL49	colon	1
MRPS10	colon	1
MRPS14	colon	1
MRPS16	colon	1
MRPS17	colon	1
MRPS18B	colon	1
MRPS2	colon	1
MRPS25	colon	1
MRPS26	colon	1
MRPS27	colon	1
MRPS33	colon	1
MRPS35	colon	1
MRPS7	colon	1
MRRF	colon	1
MTPAP	colon	1
NAT10	colon	1
NDUFAF2	colon	1
NDUFAF3	colon	1
NELFCD	colon	1
NFS1	colon	1
NSL1	colon	1
ORC2	colon	1
OSBPL11	colon	1
P4HB	colon	1
PAK1IP1	colon	1
PCCA	colon	1
PCCB	colon	1
PDHA1	colon	1
PDIA4	colon	1
PDP1	colon	1
PDS5B	colon	1
PMPCB	colon	1
PPP2CA	colon	1
PRPF4B	colon	1
PSAT1	colon	1
PSMB4	colon	1
PTCD3	colon	1
QRSL1	colon	1
RAB27B	colon	1
RAD21	colon	1
RAD50	colon	1
RARS2	colon	1
RIDA	colon	1
RPL22L1	colon	1
RPL36AL	colon	1
RPS6KB2	colon	1
RRS1	colon	1
S100A14	colon	1
S100A16	colon	1
SBDS	colon	1
SDF4	colon	1
SKIV2L	colon	1
SMC1A	colon	1
SPATA5	colon	1
STK38	colon	1
TBRG4	colon	1
TMCO1	colon	1
TMEM106B	colon	1
TOMM70	colon	1
TPPP3	colon	1
TRMT10A	colon	1
TRMT10C	colon	1
TRNT1	colon	1
TTC19	colon	1
TTLL12	colon	1
TXLNA	colon	1
UBA5	colon	1
UBE2G1	colon	1
UBE2N	colon	1
USP48	colon	1
