	gain_event	loss_event
01CO001	False	False
01CO005	False	False
01CO006	False	False
01CO008	True	False
01CO013	False	False
01CO014	False	False
01CO015	False	False
01CO019	False	False
01CO022	False	False
05CO002	True	False
05CO003	False	False
05CO005	False	False
05CO006	False	False
05CO007	False	False
05CO011	True	False
05CO014	False	False
05CO015	False	False
05CO020	False	False
05CO026	False	False
05CO028	False	False
05CO029	False	False
05CO032	False	False
05CO033	False	False
05CO034	False	True
05CO035	False	False
05CO037	False	False
05CO039	False	False
05CO041	False	False
05CO044	False	False
05CO047	False	False
05CO048	True	False
05CO049	False	False
05CO050	False	False
05CO053	False	False
05CO054	False	False
05CO055	False	False
06CO001	False	False
06CO002	False	True
09CO005	False	False
09CO006	False	False
09CO008	False	False
09CO011	False	False
09CO013	False	True
09CO014	False	False
09CO015	False	False
09CO018	False	False
09CO019	False	False
09CO022	False	False
11CO005	False	False
11CO007	False	False
11CO008	False	False
11CO010	False	False
11CO018	False	False
11CO019	False	False
11CO020	True	False
11CO021	False	False
11CO022	False	True
11CO027	True	False
11CO030	False	False
11CO031	False	False
11CO032	False	False
11CO033	False	False
11CO036	False	False
11CO037	False	False
11CO039	False	True
11CO042	False	False
11CO043	True	True
11CO044	False	False
11CO045	False	False
11CO047	False	False
11CO048	True	False
11CO051	False	False
11CO052	False	False
11CO053	False	False
11CO054	True	False
11CO057	False	False
11CO058	False	False
11CO059	False	False
11CO060	True	True
11CO061	False	False
11CO062	False	False
11CO070	False	False
11CO072	False	False
11CO077	False	False
11CO079	False	False
14CO002	False	False
14CO003	False	False
14CO005	False	False
15CO001	False	True
15CO002	True	True
16CO002	False	False
16CO003	False	False
16CO006	False	False
16CO011	False	False
16CO012	True	False
20CO001	False	True
20CO003	False	False
20CO004	False	False
20CO007	True	False
21CO006	False	False
21CO007	True	False
22CO004	False	False
22CO006	False	False
24CO005	False	False
27CO004	False	False
