	loss_event
C3L-00104	False
C3L-00365	True
C3L-00674	False
C3L-00677	False
C3L-01040	False
C3L-01043	False
C3L-01045	False
C3L-01046	True
C3L-01048	False
C3L-01049	True
C3L-01061	False
C3L-01142	False
C3L-01146	False
C3L-01149	False
C3L-01154	False
C3L-01155	False
C3L-01156	False
C3L-01157	False
C3L-01327	False
C3L-01887	False
C3L-02041	False
C3L-02465	True
C3L-02504	False
C3L-02542	True
C3L-02642	True
C3L-02704	False
C3L-02705	True
C3L-02707	False
C3L-02708	True
C3L-02900	False
C3L-02955	False
C3L-02970	False
C3L-02984	False
C3L-03260	True
C3L-03266	False
C3L-03387	False
C3L-03390	False
C3L-03392	False
C3L-03400	True
C3L-03405	False
C3L-03407	False
C3L-03681	False
C3L-03727	False
C3L-03728	False
C3L-03744	False
C3L-03748	False
C3L-03968	False
C3L-04084	False
C3N-00661	False
C3N-00662	True
C3N-00663	False
C3N-00665	False
C3N-01192	False
C3N-01196	False
C3N-01334	False
C3N-01364	True
C3N-01366	False
C3N-01367	True
C3N-01368	False
C3N-01369	False
C3N-01505	False
C3N-01515	False
C3N-01517	False
C3N-01518	False
C3N-01798	True
C3N-01814	False
C3N-01815	True
C3N-01816	True
C3N-01818	True
C3N-01851	False
C3N-01852	False
C3N-01856	False
C3N-01857	False
C3N-02181	False
C3N-02183	False
C3N-02185	True
C3N-02186	False
C3N-02188	False
C3N-02190	False
C3N-02255	False
C3N-02256	False
C3N-02769	True
C3N-02770	False
C3N-02782	False
C3N-02783	False
C3N-02784	False
C3N-02785	False
C3N-02786	True
C3N-02788	False
C3N-03070	True
C3N-03088	False
C3N-03180	False
C3N-03182	False
C3N-03183	False
C3N-03184	False
C3N-03186	False
C3N-03188	False
C3N-03473	False
