,,amplifications,neutral,deletions,average
FBXO21,ENSG00000135108.14,6.0,104.0,0.0,0.059775290909090895
FBXO22,ENSG00000167196.13,0.0,105.0,5.0,-0.01173399090909091
FBXO24,ENSG00000106336.12,15.0,93.0,2.0,0.10660907272727274
FBXO25,ENSG00000147364.16,0.0,88.0,22.0,-0.08666329090909092
FBXO27,ENSG00000161243.8,0.0,110.0,0.0,0.020416618181818186
FBXO28,ENSG00000143756.11,5.0,103.0,2.0,0.022621709090909096
FBXO3,ENSG00000110429.13,0.0,108.0,2.0,0.0052761
FBXO30,ENSG00000118496.4,0.0,88.0,22.0,-0.0967405272727273
FBXO31,ENSG00000103264.17,8.0,99.0,3.0,0.062158809090909095
FBXO32,ENSG00000156804.7,4.0,100.0,6.0,0.01800364545454545
FBXO33,ENSG00000165355.7,0.0,76.0,34.0,-0.11967510909090902
FBXO34,ENSG00000178974.9,0.0,75.0,35.0,-0.12496235454545453
FBXO36,ENSG00000153832.11,3.0,98.0,9.0,-0.007836072727272726
FBXO38,ENSG00000145868.16,38.0,72.0,0.0,0.20331709090909084
FBXO39,ENSG00000177294.6,0.0,105.0,5.0,-0.01864329999999999
FBXO4,ENSG00000151876.12,10.0,98.0,2.0,0.08040775454545455
FBXO40,ENSG00000163833.7,0.0,90.0,20.0,-0.041054772727272724
FBXO41,ENSG00000163013.11,3.0,105.0,2.0,0.03285819090909091
FBXO42,ENSG00000037637.10,0.0,102.0,8.0,-0.03079869090909091
FBXO43,ENSG00000156509.13,4.0,99.0,7.0,0.017532463636363637
FBXO44,ENSG00000132879.13,1.0,101.0,8.0,-0.02516440909090909
FBXO45,ENSG00000174013.7,5.0,94.0,11.0,0.005078718181818184
FBXO46,ENSG00000177051.5,0.0,109.0,1.0,0.014990063636363637
FBXO47,ENSG00000204952.2,0.0,108.0,2.0,0.0026824636363636345
FBXO48,ENSG00000204923.3,3.0,105.0,2.0,0.031198299999999995
FBXO5,ENSG00000112029.9,0.0,88.0,22.0,-0.09686969090909094
FBXO6,ENSG00000116663.10,1.0,101.0,8.0,-0.02516440909090909
FBXO7,ENSG00000100225.17,1.0,106.0,3.0,0.004437890909090911
FBXO8,ENSG00000164117.13,1.0,96.0,13.0,-0.04840171818181819
FBXO9,ENSG00000112146.16,0.0,98.0,12.0,-0.05265443636363637
FBXW10,ENSG00000171931.12,0.0,105.0,5.0,-0.018946536363636357
FBXW11,ENSG00000072803.17,39.0,71.0,0.0,0.2047239454545454
FBXW12,ENSG00000164049.14,0.0,21.0,89.0,-0.3270799727272727
FBXW2,ENSG00000119402.16,0.0,92.0,18.0,-0.06739863636363637
FBXW4,ENSG00000107829.13,0.0,99.0,11.0,-0.03614157272727272
FBXW5,ENSG00000159069.13,0.0,92.0,18.0,-0.06949236363636364
FBXW7,ENSG00000109670.13,0.0,97.0,13.0,-0.051660836363636345
FBXW8,ENSG00000174989.12,6.0,104.0,0.0,0.059775290909090895
FBXW9,ENSG00000132004.12,0.0,109.0,1.0,0.014509909090909089
FCAMR,ENSG00000162897.14,5.0,103.0,2.0,0.02555438181818184
FCAR,ENSG00000186431.18,0.0,109.0,1.0,0.014778663636363635
FCER1A,ENSG00000179639.10,3.0,104.0,3.0,0.014502163636363632
FCER1G,ENSG00000158869.10,3.0,104.0,3.0,0.01465816363636363
FCER2,ENSG00000104921.14,0.0,109.0,1.0,0.01379362727272727
FCF1,ENSG00000119616.11,0.0,71.0,39.0,-0.13855561818181814
FCGBP,ENSG00000275395.4,0.0,110.0,0.0,0.020455154545454546
FCGR1A,ENSG00000150337.13,3.0,104.0,3.0,0.014326127272727278
FCGR1B,ENSG00000198019.12,0.0,106.0,4.0,-0.008146627272727273
FCGR2A,ENSG00000143226.13,3.0,104.0,3.0,0.01465816363636363
FCGR2B,ENSG00000072694.20,3.0,104.0,3.0,0.016042745454545454
FCGR3A,ENSG00000203747.10,3.0,104.0,3.0,0.01465816363636363
FCGR3B,ENSG00000162747.9,3.0,104.0,3.0,0.016042745454545454
FCGRT,ENSG00000104870.12,0.0,110.0,0.0,0.020234400000000003
FCHO1,ENSG00000130475.14,0.0,109.0,1.0,0.01438049090909091
FCHO2,ENSG00000157107.13,13.0,95.0,2.0,0.08437339999999999
FCHSD1,ENSG00000197948.10,37.0,73.0,0.0,0.19952186363636354
FCHSD2,ENSG00000137478.14,0.0,109.0,1.0,0.006230145454545457
FCMR,ENSG00000162894.11,5.0,103.0,2.0,0.02555438181818184
FCN1,ENSG00000085265.10,0.0,92.0,18.0,-0.06894649090909091
FCN2,ENSG00000160339.15,0.0,92.0,18.0,-0.06894649090909091
FCN3,ENSG00000142748.12,0.0,101.0,9.0,-0.033471081818181814
FCRL1,ENSG00000163534.14,3.0,104.0,3.0,0.0147331
FCRL2,ENSG00000132704.15,3.0,104.0,3.0,0.0147331
FCRL3,ENSG00000160856.20,3.0,104.0,3.0,0.0147331
FCRL4,ENSG00000163518.10,3.0,104.0,3.0,0.0147331
FCRL5,ENSG00000143297.18,3.0,104.0,3.0,0.0147331
FCRL6,ENSG00000181036.13,3.0,104.0,3.0,0.01465816363636363
FCRLA,ENSG00000132185.16,3.0,104.0,3.0,0.014670045454545446
FCRLB,ENSG00000162746.14,3.0,104.0,3.0,0.014670045454545446
FDCSP,ENSG00000181617.5,1.0,101.0,8.0,-0.022664045454545447
FDFT1,ENSG00000079459.12,0.0,87.0,23.0,-0.08767421818181821
FDPS,ENSG00000160752.14,3.0,104.0,3.0,0.014429636363636361
FDX1,ENSG00000137714.2,0.0,105.0,5.0,-0.005523990909090906
FDX2,ENSG00000267673.6,0.0,108.0,2.0,0.00934529090909091
FDXACB1,ENSG00000255561.6,0.0,105.0,5.0,-0.00546772727272727
FDXR,ENSG00000161513.11,2.0,106.0,2.0,0.013037472727272728
FECH,ENSG00000066926.10,0.0,96.0,14.0,-0.046531045454545436
FEM1A,ENSG00000141965.4,0.0,109.0,1.0,0.015813372727272724
FEM1B,ENSG00000169018.5,0.0,105.0,5.0,-0.011563872727272727
FEM1C,ENSG00000145780.7,28.0,81.0,1.0,0.1535880818181818
FEN1,ENSG00000168496.3,0.0,109.0,1.0,0.006991945454545457
FER,ENSG00000151422.12,23.0,86.0,1.0,0.1336966818181818
FER1L5,ENSG00000249715.10,3.0,105.0,2.0,0.03262303636363638
FER1L6,ENSG00000214814.7,4.0,100.0,6.0,0.01800364545454545
FERD3L,ENSG00000146618.3,14.0,94.0,2.0,0.10233415454545454
FERMT1,ENSG00000101311.15,3.0,105.0,2.0,0.03981832727272728
FERMT2,ENSG00000073712.14,0.0,75.0,35.0,-0.12494332727272726
FERMT3,ENSG00000149781.12,0.0,109.0,1.0,0.006323863636363638
FES,ENSG00000182511.11,0.0,105.0,5.0,-0.01730132727272727
FETUB,ENSG00000090512.11,5.0,94.0,11.0,0.007110599999999998
FEV,ENSG00000163497.2,3.0,99.0,8.0,-0.0011604454545454557
FEZ1,ENSG00000149557.12,0.0,106.0,4.0,-0.0030394909090909095
FEZ2,ENSG00000171055.14,3.0,105.0,2.0,0.03201278181818181
FEZF1,ENSG00000128610.11,15.0,93.0,2.0,0.0973339272727273
FEZF2,ENSG00000153266.12,0.0,26.0,84.0,-0.31104322727272726
FFAR1,ENSG00000126266.3,0.0,110.0,0.0,0.02056940909090909
FFAR2,ENSG00000126262.4,0.0,110.0,0.0,0.02056940909090909
FFAR3,ENSG00000185897.6,0.0,110.0,0.0,0.02056940909090909
FFAR4,ENSG00000186188.10,0.0,99.0,11.0,-0.036385227272727264
FGA,ENSG00000171560.14,1.0,97.0,12.0,-0.04505813636363637
FGB,ENSG00000171564.11,1.0,97.0,12.0,-0.04505813636363637
FGD1,ENSG00000102302.7,1.0,102.0,7.0,-0.002316200000000001
FGD2,ENSG00000146192.14,0.0,98.0,12.0,-0.05294010909090909
FGD3,ENSG00000127084.17,0.0,92.0,18.0,-0.06734511818181818
FGD4,ENSG00000139132.14,6.0,104.0,0.0,0.05787560000000001
FGD5,ENSG00000154783.11,0.0,23.0,87.0,-0.3202608363636364
FGD6,ENSG00000180263.13,6.0,104.0,0.0,0.06062978181818181
FGF1,ENSG00000113578.17,37.0,73.0,0.0,0.19971397272727265
FGF10,ENSG00000070193.4,10.0,98.0,2.0,0.08055514545454545
FGF11,ENSG00000161958.10,0.0,105.0,5.0,-0.018994481818181804
FGF12,ENSG00000114279.13,5.0,94.0,11.0,0.007062590909090908
FGF13,ENSG00000129682.15,2.0,101.0,7.0,0.0009230181818181824
FGF14,ENSG00000102466.15,0.0,100.0,10.0,-0.019566809090909083
FGF16,ENSG00000196468.7,3.0,100.0,7.0,-0.0014805272727272695
FGF17,ENSG00000158815.10,0.0,86.0,24.0,-0.09123416363636362
FGF18,ENSG00000156427.7,38.0,72.0,0.0,0.2032404454545454
FGF19,ENSG00000162344.3,0.0,109.0,1.0,0.005877872727272729
FGF2,ENSG00000138685.13,0.0,101.0,9.0,-0.0313174818181818
FGF20,ENSG00000078579.8,0.0,87.0,23.0,-0.08682912727272726
FGF21,ENSG00000105550.8,0.0,110.0,0.0,0.020234400000000003
FGF22,ENSG00000070388.11,0.0,108.0,2.0,0.010205790909090911
FGF23,ENSG00000118972.1,6.0,104.0,0.0,0.05593095454545455
FGF3,ENSG00000186895.2,0.0,109.0,1.0,0.005877872727272729
FGF4,ENSG00000075388.3,0.0,109.0,1.0,0.005877872727272729
FGF5,ENSG00000138675.16,0.0,102.0,8.0,-0.02479966363636363
FGF6,ENSG00000111241.2,6.0,104.0,0.0,0.05593095454545455
FGF7,ENSG00000140285.9,0.0,105.0,5.0,-0.011495472727272728
FGF8,ENSG00000107831.12,0.0,99.0,11.0,-0.036385999999999995
FGF9,ENSG00000102678.6,0.0,99.0,11.0,-0.0288382090909091
FGFBP1,ENSG00000137440.4,1.0,102.0,7.0,-0.019812227272727276
FGFBP2,ENSG00000137441.7,1.0,102.0,7.0,-0.019812227272727276
FGFBP3,ENSG00000174721.9,0.0,99.0,11.0,-0.03757399999999999
FGFR1,ENSG00000077782.19,0.0,86.0,24.0,-0.09113388181818183
FGFR1OP,ENSG00000213066.11,0.0,88.0,22.0,-0.0952788363636364
FGFR1OP2,ENSG00000111790.13,6.0,104.0,0.0,0.05814732727272728
FGFR2,ENSG00000066468.22,0.0,97.0,13.0,-0.043750027272727275
FGFR3,ENSG00000068078.17,1.0,100.0,9.0,-0.02846480000000001
FGFR4,ENSG00000160867.14,38.0,72.0,0.0,0.20284410909090908
FGFRL1,ENSG00000127418.14,1.0,100.0,9.0,-0.028579572727272733
FGG,ENSG00000171557.16,1.0,97.0,12.0,-0.04505813636363637
FGGY,ENSG00000172456.17,0.0,106.0,4.0,-0.01377272727272728
FGL1,ENSG00000104760.16,0.0,87.0,23.0,-0.08677080909090908
FGL2,ENSG00000127951.6,17.0,91.0,2.0,0.1113189454545455
FGR,ENSG00000000938.12,0.0,101.0,9.0,-0.03350194545454544
FH,ENSG00000091483.6,5.0,102.0,3.0,0.01954619090909091
FHAD1,ENSG00000142621.19,0.0,102.0,8.0,-0.03068457272727273
FHDC1,ENSG00000137460.8,0.0,98.0,12.0,-0.04536926363636363
FHIT,ENSG00000189283.9,0.0,25.0,85.0,-0.3154350363636364
FHL1,ENSG00000022267.16,2.0,101.0,7.0,0.0009230181818181824
FHL2,ENSG00000115641.18,3.0,105.0,2.0,0.03230374545454546
FHL3,ENSG00000183386.9,0.0,104.0,6.0,-0.020244727272727275
FHL5,ENSG00000112214.10,0.0,93.0,17.0,-0.07378624545454547
FHOD1,ENSG00000135723.13,9.0,99.0,2.0,0.06644604545454547
FHOD3,ENSG00000134775.15,0.0,96.0,14.0,-0.04638627272727271
FIBCD1,ENSG00000130720.12,0.0,92.0,18.0,-0.06816834545454545
FIBIN,ENSG00000176971.3,0.0,108.0,2.0,0.005110409090909092
FIBP,ENSG00000172500.12,0.0,109.0,1.0,0.006337154545454547
FICD,ENSG00000198855.6,6.0,104.0,0.0,0.05969479090909089
FIG4,ENSG00000112367.10,0.0,92.0,18.0,-0.0787601363636364
FIGLA,ENSG00000183733.6,3.0,105.0,2.0,0.03089814545454546
FIGN,ENSG00000182263.13,7.0,101.0,2.0,0.04794017272727272
FIGNL1,ENSG00000132436.11,15.0,93.0,2.0,0.10571360909090911
FIGNL2,ENSG00000261308.2,6.0,104.0,0.0,0.060286845454545455
FILIP1,ENSG00000118407.14,0.0,95.0,15.0,-0.06406039090909091
FILIP1L,ENSG00000168386.18,0.0,81.0,29.0,-0.08016825454545452
FIP1L1,ENSG00000145216.15,0.0,102.0,8.0,-0.026789909090909076
FIS1,ENSG00000214253.8,15.0,93.0,2.0,0.10660907272727274
FITM1,ENSG00000139914.6,0.0,81.0,29.0,-0.10476251818181807
FITM2,ENSG00000197296.5,3.0,107.0,0.0,0.059310845454545444
FIZ1,ENSG00000179943.7,0.0,110.0,0.0,0.020017018181818183
FJX1,ENSG00000179431.6,0.0,108.0,2.0,0.0052761
FKBP10,ENSG00000141756.18,0.0,108.0,2.0,0.002626345454545453
FKBP11,ENSG00000134285.10,6.0,104.0,0.0,0.060375890909090915
FKBP14,ENSG00000106080.10,14.0,94.0,2.0,0.10227168181818183
FKBP15,ENSG00000119321.8,0.0,92.0,18.0,-0.06696808181818183
FKBP1A,ENSG00000088832.16,3.0,105.0,2.0,0.038953327272727274
FKBP1B,ENSG00000119782.13,3.0,105.0,2.0,0.028899372727272728
FKBP1C,ENSG00000198225.5,0.0,99.0,11.0,-0.04991680000000001
FKBP2,ENSG00000173486.12,0.0,109.0,1.0,0.006323863636363638
FKBP3,ENSG00000100442.10,0.0,75.0,35.0,-0.12236562727272723
FKBP4,ENSG00000004478.7,6.0,104.0,0.0,0.05593095454545455
FKBP5,ENSG00000096060.14,0.0,98.0,12.0,-0.05294010909090909
FKBP6,ENSG00000077800.11,17.0,91.0,2.0,0.11138960909090913
FKBP7,ENSG00000079150.17,7.0,101.0,2.0,0.04700827272727271
FKBP8,ENSG00000105701.15,0.0,109.0,1.0,0.014397654545454545
FKBP9,ENSG00000122642.10,15.0,93.0,2.0,0.10547963636363634
FKBPL,ENSG00000204315.3,0.0,99.0,11.0,-0.05171510909090911
FKRP,ENSG00000181027.10,0.0,109.0,1.0,0.014990063636363637
FKTN,ENSG00000106692.13,0.0,92.0,18.0,-0.06707235454545456
FLAD1,ENSG00000160688.18,3.0,104.0,3.0,0.014429636363636361
FLCN,ENSG00000154803.12,0.0,105.0,5.0,-0.019788445454545448
FLG,ENSG00000143631.10,3.0,104.0,3.0,0.013251072727272726
FLG2,ENSG00000143520.6,3.0,104.0,3.0,0.014283090909090905
FLI1,ENSG00000151702.16,0.0,106.0,4.0,-0.002921672727272728
FLII,ENSG00000177731.15,0.0,105.0,5.0,-0.01871382727272727
FLJ22763,ENSG00000241224.7,0.0,84.0,26.0,-0.06699261818181818
FLNA,ENSG00000196924.14,3.0,99.0,8.0,0.00015848181818182156
FLNB,ENSG00000136068.14,0.0,23.0,87.0,-0.3212168454545455
FLNC,ENSG00000128591.15,15.0,93.0,2.0,0.09691624545454548
FLOT1,ENSG00000137312.14,0.0,99.0,11.0,-0.051031090909090915
FLOT2,ENSG00000132589.15,0.0,108.0,2.0,0.002875581818181818
FLRT1,ENSG00000126500.3,0.0,109.0,1.0,0.006323863636363638
FLRT2,ENSG00000185070.10,0.0,71.0,39.0,-0.13492089090909082
FLRT3,ENSG00000125848.9,3.0,105.0,2.0,0.03854882727272728
FLT1,ENSG00000102755.11,0.0,99.0,11.0,-0.02856239090909092
FLT3,ENSG00000122025.14,0.0,99.0,11.0,-0.02959920909090909
FLT3LG,ENSG00000090554.12,0.0,110.0,0.0,0.020234400000000003
FLT4,ENSG00000037280.15,38.0,72.0,0.0,0.20238532727272723
FLVCR1,ENSG00000162769.12,5.0,103.0,2.0,0.0227712090909091
FLVCR2,ENSG00000119686.9,0.0,71.0,39.0,-0.13868028181818176
FLYWCH1,ENSG00000059122.16,8.0,102.0,0.0,0.07808803636363634
FLYWCH2,ENSG00000162076.12,8.0,102.0,0.0,0.07808803636363634
FMC1,ENSG00000164898.12,15.0,93.0,2.0,0.0957323090909091
FMN1,ENSG00000248905.8,0.0,105.0,5.0,-0.01205692727272727
FMN2,ENSG00000155816.19,5.0,102.0,3.0,0.01954619090909091
FMNL1,ENSG00000184922.13,1.0,107.0,2.0,0.005298509090909089
FMNL2,ENSG00000157827.19,6.0,102.0,2.0,0.0423558
FMNL3,ENSG00000161791.13,6.0,104.0,0.0,0.06025284545454545
FMO1,ENSG00000010932.16,3.0,104.0,3.0,0.013545509090909088
FMO2,ENSG00000094963.13,3.0,104.0,3.0,0.013545509090909088
FMO3,ENSG00000007933.12,3.0,105.0,2.0,0.017274263636363633
FMO4,ENSG00000076258.9,3.0,104.0,3.0,0.013545509090909088
FMO5,ENSG00000131781.12,3.0,104.0,3.0,0.013357500000000001
FMOD,ENSG00000122176.10,5.0,103.0,2.0,0.025558900000000023
FMR1,ENSG00000102081.13,2.0,101.0,7.0,0.0021761818181818184
FMR1NB,ENSG00000176988.8,2.0,101.0,7.0,0.0021761818181818184
FN1,ENSG00000115414.18,3.0,99.0,8.0,-0.001170790909090911
FN3K,ENSG00000167363.13,2.0,106.0,2.0,0.009886681818181815
FN3KRP,ENSG00000141560.14,2.0,106.0,2.0,0.009886681818181815
FNBP1,ENSG00000187239.16,0.0,92.0,18.0,-0.06816834545454545
FNBP1L,ENSG00000137942.16,0.0,104.0,6.0,-0.015295172727272736
FNBP4,ENSG00000109920.12,0.0,107.0,3.0,0.0042296727272727284
FNDC1,ENSG00000164694.16,0.0,88.0,22.0,-0.09681285454545457
FNDC10,ENSG00000228594.3,0.0,103.0,7.0,-0.029279890909090906
FNDC11,ENSG00000125531.6,3.0,107.0,0.0,0.059591590909090886
FNDC3A,ENSG00000102531.16,0.0,98.0,12.0,-0.027346772727272727
FNDC3B,ENSG00000075420.12,4.0,95.0,11.0,0.008154881818181818
FNDC4,ENSG00000115226.9,3.0,105.0,2.0,0.03129782727272727
FNDC5,ENSG00000160097.16,0.0,103.0,7.0,-0.025711309090909094
FNDC7,ENSG00000143107.8,0.0,104.0,6.0,-0.014538609090909097
FNDC8,ENSG00000073598.5,0.0,108.0,2.0,0.002530290909090908
FNDC9,ENSG00000172568.4,39.0,71.0,0.0,0.20555558181818176
FNIP1,ENSG00000217128.11,36.0,73.0,1.0,0.1897330818181817
FNIP2,ENSG00000052795.12,1.0,96.0,13.0,-0.04792990909090907
FNTA,ENSG00000168522.12,1.0,89.0,20.0,-0.06930626363636366
FNTB,ENSG00000257365.7,0.0,71.0,39.0,-0.13824843636363632
FOCAD,ENSG00000188352.12,0.0,92.0,18.0,-0.07398475454545453
FOLH1,ENSG00000086205.16,0.0,107.0,3.0,0.0034926636363636385
FOLR1,ENSG00000110195.12,0.0,109.0,1.0,0.006230145454545457
FOLR2,ENSG00000165457.13,0.0,109.0,1.0,0.006230145454545457
FOLR3,ENSG00000110203.8,0.0,109.0,1.0,0.006416263636363638
FOPNL,ENSG00000133393.12,8.0,102.0,0.0,0.07596027272727271
FOS,ENSG00000170345.9,0.0,71.0,39.0,-0.13868028181818176
FOSB,ENSG00000125740.13,0.0,110.0,0.0,0.02015255454545455
FOSL1,ENSG00000175592.8,0.0,109.0,1.0,0.006337154545454547
FOSL2,ENSG00000075426.11,3.0,105.0,2.0,0.03171392727272727
FOXA1,ENSG00000129514.5,0.0,76.0,34.0,-0.11972156363636356
FOXA2,ENSG00000125798.14,3.0,107.0,0.0,0.04719353636363637
FOXA3,ENSG00000170608.2,0.0,109.0,1.0,0.014990063636363637
FOXB1,ENSG00000171956.6,0.0,105.0,5.0,-0.0114734
FOXB2,ENSG00000204612.1,0.0,92.0,18.0,-0.06691574545454546
FOXC1,ENSG00000054598.6,0.0,99.0,11.0,-0.051895854545454555
FOXC2,ENSG00000176692.5,8.0,99.0,3.0,0.05995447272727273
FOXD1,ENSG00000251493.4,13.0,95.0,2.0,0.08437339999999999
FOXD2,ENSG00000186564.5,0.0,106.0,4.0,-0.013741590909090917
FOXD3,ENSG00000187140.5,0.0,106.0,4.0,-0.012573318181818189
FOXD4,ENSG00000170122.5,0.0,94.0,16.0,-0.047390499999999995
FOXD4L1,ENSG00000184492.6,4.0,105.0,1.0,0.03723759090909092
FOXD4L3,ENSG00000187559.5,0.0,93.0,17.0,-0.06450054545454545
FOXD4L4,ENSG00000184659.5,0.0,93.0,17.0,-0.06754247272727273
FOXD4L5,ENSG00000204779.2,0.0,93.0,17.0,-0.06522472727272727
FOXD4L6,ENSG00000273514.1,0.0,94.0,16.0,-0.05872654545454544
FOXE1,ENSG00000178919.8,0.0,92.0,18.0,-0.06717181818181818
FOXE3,ENSG00000186790.5,0.0,106.0,4.0,-0.013741590909090917
FOXF1,ENSG00000103241.6,8.0,99.0,3.0,0.05995447272727273
FOXF2,ENSG00000137273.3,0.0,99.0,11.0,-0.052658036363636376
FOXG1,ENSG00000176165.10,0.0,78.0,32.0,-0.11216801818181808
FOXH1,ENSG00000160973.7,4.0,101.0,5.0,0.0252263
FOXI1,ENSG00000168269.8,39.0,71.0,0.0,0.2051657181818181
FOXI2,ENSG00000186766.7,0.0,97.0,13.0,-0.044499445454545455
FOXI3,ENSG00000214336.4,3.0,105.0,2.0,0.030114109090909093
FOXJ1,ENSG00000129654.7,2.0,106.0,2.0,0.013940390909090912
FOXJ2,ENSG00000065970.8,6.0,104.0,0.0,0.05737517272727273
FOXJ3,ENSG00000198815.8,0.0,105.0,5.0,-0.016773018181818193
FOXK1,ENSG00000164916.10,15.0,93.0,2.0,0.10740153636363639
FOXK2,ENSG00000141568.20,2.0,106.0,2.0,0.009886681818181815
FOXL1,ENSG00000176678.5,8.0,99.0,3.0,0.05995447272727273
FOXL2,ENSG00000183770.5,2.0,96.0,12.0,-0.00413900909090909
FOXL2NB,ENSG00000206262.8,2.0,96.0,12.0,-0.00413900909090909
FOXM1,ENSG00000111206.12,6.0,104.0,0.0,0.05593095454545455
FOXN1,ENSG00000109101.7,0.0,108.0,2.0,0.002875581818181818
FOXN2,ENSG00000170802.15,3.0,105.0,2.0,0.030833581818181813
FOXN3,ENSG00000053254.15,0.0,71.0,39.0,-0.13492924545454538
FOXN4,ENSG00000139445.17,6.0,104.0,0.0,0.05969479090909089
FOXO1,ENSG00000150907.7,0.0,98.0,12.0,-0.03172734545454547
FOXO3,ENSG00000118689.14,0.0,93.0,17.0,-0.07412498181818182
FOXO4,ENSG00000184481.16,3.0,100.0,7.0,-0.0010060545454545421
FOXO6,ENSG00000204060.6,0.0,105.0,5.0,-0.016773018181818193
FOXP1,ENSG00000114861.18,0.0,37.0,73.0,-0.2639163454545455
FOXP2,ENSG00000128573.24,16.0,92.0,2.0,0.10062005454545456
FOXP3,ENSG00000049768.14,2.0,101.0,7.0,-0.0003982909090909114
FOXP4,ENSG00000137166.14,0.0,98.0,12.0,-0.05268438181818181
FOXQ1,ENSG00000164379.6,0.0,99.0,11.0,-0.052658036363636376
FOXR1,ENSG00000176302.12,0.0,105.0,5.0,-0.0051208181818181795
FOXR2,ENSG00000189299.6,2.0,101.0,7.0,-0.002713254545454546
FOXRED1,ENSG00000110074.10,0.0,106.0,4.0,-0.004005154545454546
FOXRED2,ENSG00000100350.14,1.0,106.0,3.0,0.004289263636363635
FOXS1,ENSG00000179772.7,3.0,107.0,0.0,0.05212063636363634
FPGS,ENSG00000136877.14,0.0,92.0,18.0,-0.06812657272727272
FPGT,ENSG00000254685.6,0.0,106.0,4.0,-0.011747509090909098
FPR1,ENSG00000171051.8,0.0,110.0,0.0,0.020229809090909094
FPR2,ENSG00000171049.8,0.0,110.0,0.0,0.020229809090909094
FPR3,ENSG00000187474.4,0.0,110.0,0.0,0.020229809090909094
FRA10AC1,ENSG00000148690.11,0.0,99.0,11.0,-0.036385227272727264
FRAS1,ENSG00000138759.18,0.0,102.0,8.0,-0.024775809090909085
FRAT1,ENSG00000165879.8,0.0,99.0,11.0,-0.036385227272727264
FRAT2,ENSG00000181274.6,0.0,99.0,11.0,-0.036385227272727264
FREM1,ENSG00000164946.19,0.0,92.0,18.0,-0.06499753636363635
FREM2,ENSG00000150893.10,0.0,99.0,11.0,-0.02809530000000001
FREM3,ENSG00000183090.5,0.0,101.0,9.0,-0.03152627272727271
FRG1,ENSG00000109536.11,1.0,96.0,13.0,-0.04966942727272728
FRG2,ENSG00000205097.6,1.0,100.0,9.0,-0.03680581818181818
FRG2B,ENSG00000225899.7,0.0,97.0,13.0,-0.04776319999999999
FRG2C,ENSG00000172969.7,0.0,58.0,52.0,-0.15503240909090915
FRK,ENSG00000111816.7,0.0,91.0,19.0,-0.08161632727272732
FRMD1,ENSG00000153303.16,0.0,88.0,22.0,-0.09619126363636366
FRMD3,ENSG00000172159.15,0.0,92.0,18.0,-0.06713712727272726
FRMD4A,ENSG00000151474.21,0.0,103.0,7.0,-0.02257607272727273
FRMD4B,ENSG00000114541.14,0.0,36.0,74.0,-0.2643803454545455
FRMD5,ENSG00000171877.20,0.0,105.0,5.0,-0.011626172727272729
FRMD6,ENSG00000139926.15,0.0,76.0,34.0,-0.12013749999999997
FRMD7,ENSG00000165694.9,2.0,101.0,7.0,0.0008521818181818191
FRMD8,ENSG00000126391.13,0.0,109.0,1.0,0.008014536363636365
FRMPD1,ENSG00000070601.9,0.0,94.0,16.0,-0.058076454545454535
FRMPD2,ENSG00000170324.20,0.0,101.0,9.0,-0.026045572727272717
FRMPD3,ENSG00000147234.10,2.0,101.0,7.0,0.00043142727272727356
FRMPD4,ENSG00000169933.13,2.0,101.0,7.0,0.001130327272727271
FRRS1,ENSG00000156869.12,0.0,104.0,6.0,-0.015398945454545463
FRRS1L,ENSG00000260230.2,0.0,92.0,18.0,-0.06677288181818182
FRS2,ENSG00000166225.8,7.0,103.0,0.0,0.08745949090909087
FRS3,ENSG00000137218.10,0.0,98.0,12.0,-0.05268438181818181
FRY,ENSG00000073910.19,0.0,99.0,11.0,-0.02852053636363637
FRYL,ENSG00000075539.13,0.0,103.0,7.0,-0.023316327272727273
FRZB,ENSG00000162998.4,7.0,101.0,2.0,0.0469159909090909
FSBP,ENSG00000265817.2,4.0,99.0,7.0,0.01572621818181818
FSCB,ENSG00000189139.5,0.0,76.0,34.0,-0.11966119090909086
FSCN1,ENSG00000075618.17,15.0,93.0,2.0,0.10748314545454547
FSCN2,ENSG00000186765.11,2.0,106.0,2.0,0.009353854545454543
FSCN3,ENSG00000106328.9,15.0,93.0,2.0,0.09703821818181821
FSD1,ENSG00000105255.10,0.0,108.0,2.0,0.01048277272727273
FSD1L,ENSG00000106701.11,0.0,92.0,18.0,-0.06707235454545456
FSD2,ENSG00000186628.12,0.0,105.0,5.0,-0.011611245454545456
FSHB,ENSG00000131808.10,0.0,108.0,2.0,0.005302318181818182
FSHR,ENSG00000170820.11,4.0,104.0,2.0,0.03168753636363636
FSIP1,ENSG00000150667.6,0.0,105.0,5.0,-0.011391945454545454
FSIP2,ENSG00000188738.14,7.0,98.0,5.0,0.03342128181818183
FST,ENSG00000134363.11,11.0,97.0,2.0,0.08054019999999999
FSTL1,ENSG00000163430.11,0.0,88.0,22.0,-0.04926745454545456
FSTL3,ENSG00000070404.9,0.0,107.0,3.0,0.008086154545454548
FSTL4,ENSG00000053108.16,35.0,74.0,1.0,0.1868694909090908
FSTL5,ENSG00000168843.13,1.0,96.0,13.0,-0.04788935454545454
FTCD,ENSG00000160282.13,3.0,105.0,2.0,0.013626281818181816
FTCDNL1,ENSG00000226124.6,4.0,99.0,7.0,0.01215492727272728
FTH1,ENSG00000167996.15,0.0,109.0,1.0,0.006991945454545457
FTHL17,ENSG00000132446.6,2.0,101.0,7.0,0.0005662363636363618
