,Mutation,Hnscc_odds,Hnscc_pvalue
0,A1BG,0.0,1.0
1,A1CF,0.8589743589743589,1.0
2,A2M,0.8589743589743589,1.0
3,A2ML1,5.513513513513513,0.13896730526808923
4,AAAS,0.0,1.0
5,AADACL2,0.0,1.0
6,AADACL4,0.0,1.0
7,AADAT,inf,0.3669724770642194
8,AAGAB,inf,0.3669724770642194
9,AAK1,0.0,1.0
10,AAMP,0.0,1.0
11,AARD,0.0,1.0
12,AARS,0.0,1.0
13,AASDH,0.0,0.29663608562691196
14,ABC13-47656900H15.1,0.0,1.0
15,ABCA1,3.5789473684210527,0.5530023721741135
16,ABCA10,1.7435897435897436,1.0
17,ABCA12,1.7435897435897436,1.0
18,ABCA13,0.8428571428571429,1.0
19,ABCA2,0.0,0.531090723751279
20,ABCA3,0.0,0.2943622353188813
21,ABCA4,0.8589743589743589,1.0
22,ABCA5,inf,0.3669724770642194
23,ABCA6,0.5526315789473685,0.7077285534167479
24,ABCA7,1.7435897435897436,1.0
25,ABCA8,0.0,0.29663608562691196
26,ABCA9,0.5641025641025641,1.0
27,ABCB1,3.5789473684210527,0.5530023721741135
28,ABCB10,inf,0.3669724770642194
29,ABCB11,0.5641025641025641,1.0
30,ABCB4,0.8589743589743589,1.0
31,ABCB5,1.7435897435897436,1.0
32,ABCB7,0.0,1.0
33,ABCB9,1.7435897435897436,1.0
34,ABCC1,0.5641025641025641,1.0
35,ABCC10,1.7435897435897436,1.0
36,ABCC11,1.763157894736842,0.6232850180586861
37,ABCC12,0.0,0.531090723751279
38,ABCC2,inf,0.13251783893985863
39,ABCC4,0.5641025641025641,1.0
40,ABCC5,1.7435897435897436,1.0
41,ABCC6,inf,0.13251783893985863
42,ABCC8,5.513513513513513,0.13896730526808923
43,ABCC9,1.763157894736842,0.6232850180586861
44,ABCD1,0.0,1.0
45,ABCD2,0.8589743589743589,1.0
46,ABCD4,0.0,1.0
47,ABCE1,inf,0.13251783893985863
48,ABCF1,0.8589743589743589,1.0
49,ABCF2,0.0,0.531090723751279
50,ABCF3,0.0,0.531090723751279
51,ABCG2,0.0,1.0
52,ABCG4,0.8589743589743589,1.0
53,ABCG8,1.7435897435897436,1.0
54,ABHD11,0.0,1.0
55,ABHD13,0.0,1.0
56,ABHD14A-ACY1,1.7435897435897436,1.0
57,ABHD17A,1.7435897435897436,1.0
58,ABHD17C,0.8589743589743589,1.0
59,ABHD18,0.0,1.0
60,ABHD8,inf,0.13251783893985863
61,ABI3BP,2.7162162162162162,0.35420288810060474
62,ABL1,1.7435897435897436,1.0
63,ABL2,1.7435897435897436,1.0
64,ABLIM1,inf,0.3669724770642194
65,ABLIM2,inf,0.3669724770642194
66,ABO,inf,0.3669724770642194
67,ABT1,0.0,1.0
68,ABTB2,0.0,0.531090723751279
69,AC004381.6,inf,0.3669724770642194
70,AC008268.2,0.0,1.0
71,AC009065.1,0.0,1.0
72,AC013461.1,1.7435897435897436,1.0
73,AC026348.1,0.5641025641025641,1.0
74,AC104073.1,0.0,1.0
75,AC105052.1,0.0,0.29663608562691196
76,AC138028.1,0.0,1.0
77,AC241377.1,0.0,1.0
78,ACACA,1.7435897435897436,1.0
79,ACACB,0.0,0.15580501914643607
80,ACAD8,0.0,1.0
81,ACAD9,0.0,1.0
