,index,gain,neutral,loss,chromo,location
0,A1BG,10,80,19,19.0,58349335.0
1,A1CF,2,92,15,10.0,50842542.0
2,A2M,9,79,21,12.0,9091946.5
3,A2ML1,10,77,22,12.0,8854811.0
4,A3GALT2,9,92,8,1.0,33313932.0
5,A4GALT,3,78,28,22.0,42706709.5
6,A4GNT,14,83,12,3.0,138128051.5
7,AAAS,7,94,8,12.0,53316160.0
8,AACS,8,91,10,12.0,125104383.5
9,AADAC,14,84,11,3.0,151821280.5
10,AADACL2,14,84,11,3.0,151747627.5
11,AADACL3,8,88,13,1.0,12722435.0
12,AADACL4,8,88,13,1.0,12655816.5
13,AADAT,1,94,14,4.0,170075960.5
14,AAED1,1,84,24,,
15,AAGAB,3,77,29,15.0,67227931.0
16,AAK1,6,102,1,2.0,69566173.0
17,AAMDC,16,89,4,11.0,77869770.5
18,AAMP,3,101,5,2.0,218267190.0
19,AANAT,25,79,5,17.0,76461734.0
20,AAR2,15,90,4,20.0,36253688.5
21,AARD,38,68,3,8.0,116941347.0
22,AARS,15,81,13,,
23,AARS2,13,92,4,6.0,44306039.0
24,AARSD1,24,82,3,17.0,42957512.0
25,AASDH,7,94,8,4.0,56362897.5
26,AASDHPPT,9,92,8,11.0,106087100.0
27,AASS,17,87,5,7.0,122108902.0
28,AATF,19,85,5,17.0,37002912.5
29,AATK,28,76,5,17.0,81138354.0
30,AATK-AS1,28,76,5,,
31,ABAT,24,82,3,16.0,8729585.5
32,ABC13-47488600E17.1,5,77,27,,
33,ABC7-42404400C24.1,4,95,10,,
34,ABCA1,2,83,24,9.0,104854580.5
35,ABCA10,27,79,3,17.0,69196030.0
36,ABCA12,3,101,5,2.0,215035084.0
37,ABCA13,39,68,2,7.0,48409477.5
38,ABCA2,1,87,21,9.0,137018078.0
39,ABCA3,24,82,3,16.0,2308313.5
40,ABCA4,3,85,21,1.0,94056991.0
41,ABCA5,28,78,3,17.0,69285777.5
42,ABCA6,27,79,3,17.0,69110298.5
43,ABCA7,4,80,25,19.0,1052784.5
44,ABCA8,27,79,3,17.0,68911340.5
45,ABCA9,27,79,3,17.0,69017718.5
46,ABCB1,21,86,2,7.0,87608170.0
47,ABCB10,48,59,2,1.0,229537644.5
48,ABCB11,6,99,4,2.0,168973411.0
49,ABCB4,21,86,2,7.0,87441066.0
50,ABCB5,46,61,2,7.0,20696122.5
51,ABCB6,3,101,5,2.0,219214383.0
52,ABCB7,22,78,9,,
53,ABCB8,18,89,2,7.0,151038102.0
54,ABCB9,9,91,9,12.0,122951300.0
55,ABCC1,25,79,5,16.0,16046325.5
56,ABCC10,12,92,5,6.0,43438896.5
57,ABCC11,16,85,8,16.0,48207239.0
58,ABCC12,16,85,8,16.0,48118512.0
59,ABCC2,5,84,20,10.0,99817617.0
60,ABCC3,28,79,2,17.0,50663515.0
61,ABCC4,7,77,25,13.0,95160655.0
62,ABCC5,12,86,11,3.0,183968936.5
63,ABCC6,25,79,5,16.0,16186225.0
64,ABCC8,9,94,6,11.0,17434688.5
65,ABCC9,11,77,21,12.0,21869965.0
66,ABCD1,39,66,4,,
67,ABCD2,5,97,7,12.0,39584918.0
68,ABCD3,4,84,21,1.0,94468527.5
69,ABCD4,13,92,4,14.0,74294162.0
70,ABCE1,5,93,11,4.0,145113906.0
71,ABCF1,13,92,4,6.0,30584286.0
72,ABCF2,19,88,2,7.0,151217501.5
73,ABCF3,12,86,11,3.0,184190017.5
74,ABCG1,9,89,11,21.0,42248466.5
75,ABCG2,3,94,12,4.0,88160889.0
76,ABCG4,9,89,11,11.0,119155852.5
77,ABCG5,6,101,2,2.0,43825668.5
78,ABCG8,6,101,2,2.0,43857465.0
79,ABHD1,4,104,1,2.0,27127300.5
80,ABHD10,9,88,12,3.0,111986189.0
81,ABHD11,24,81,4,7.0,73737480.5
82,ABHD12,9,89,11,20.0,25342788.5
83,ABHD12B,26,82,1,14.0,50888511.5
84,ABHD13,6,80,23,13.0,108226317.5
85,ABHD14A,0,78,31,3.0,51976312.5
86,ABHD14B,0,78,31,3.0,51975959.5
87,ABHD15,16,84,9,17.0,29563792.0
88,ABHD16A,16,89,4,6.0,31695155.5
89,ABHD16B,30,76,3,20.0,63862243.0
90,ABHD17A,4,79,26,19.0,1881178.5
91,ABHD17B,4,79,26,9.0,71886691.5
92,ABHD17C,3,78,28,15.0,80717652.5
93,ABHD18,5,91,13,4.0,128002616.5
94,ABHD2,3,77,29,15.0,89144907.0
95,ABHD3,5,82,22,18.0,21677840.5
96,ABHD4,15,88,6,14.0,22605726.0
97,ABHD5,0,79,30,3.0,43712239.5
98,ABHD6,1,77,31,3.0,58266612.5
99,ABHD8,4,80,25,19.0,17301183.5
100,ABI1,6,96,7,10.0,26803840.0
