,index,gain,neutral,loss,chromo,location
0,A1BG,4,85,6,19.0,58349335.0
1,A1BG-AS1,4,85,6,19.0,58351586.5
2,A1CF,17,75,3,10.0,50842542.0
3,A2M,7,87,1,12.0,9091946.5
4,A2M-AS1,7,87,1,12.0,9066926.0
5,A2ML1,7,87,1,12.0,8854811.0
6,A2MP1,7,87,1,12.0,9252175.0
7,A3GALT2,2,87,6,1.0,33313932.0
8,A4GALT,1,82,12,22.0,42706709.5
9,A4GNT,8,87,0,3.0,138128051.5
10,AA06,2,82,11,,
11,AAAS,7,86,2,12.0,53316160.0
12,AACS,4,86,5,12.0,125104383.5
13,AACSP1,0,86,9,5.0,178791648.0
14,AADAC,10,85,0,3.0,151821280.5
15,AADACL2,4,90,1,3.0,151747627.5
16,AADACL2-AS1,4,90,1,3.0,151839809.0
17,AADACL3,3,87,5,1.0,12722435.0
18,AADACL4,3,88,4,1.0,12655816.5
19,AADACP1,10,85,0,3.0,151777661.0
20,AADAT,2,83,10,4.0,170075960.5
21,AAED1,1,82,12,,
22,AAGAB,0,86,9,15.0,67227931.0
23,AAK1,7,88,0,2.0,69566173.0
24,AAMDC,3,87,5,11.0,77869770.5
25,AAMP,6,87,2,2.0,218267190.0
26,AANAT,6,82,7,17.0,76461734.0
27,AAR2,8,86,1,20.0,36253688.5
28,AARD,15,79,1,8.0,116941347.0
29,AARS,1,82,12,,
30,AARS2,5,90,0,6.0,44306039.0
31,AARSD1,1,84,10,17.0,42957512.0
32,AASDH,1,86,8,4.0,56362897.5
33,AASDHPPT,1,88,6,11.0,106087100.0
34,AASS,11,82,2,7.0,122108902.0
35,AATBC,6,84,5,21.0,43809162.5
36,AATF,1,87,7,17.0,37002912.5
37,AATK,6,84,5,17.0,81138354.0
38,ABALON,9,85,1,20.0,31722458.0
39,ABAT,2,87,6,16.0,8729585.5
40,ABCA1,1,82,12,9.0,104854580.5
41,ABCA10,3,85,7,17.0,69196030.0
42,ABCA11P,1,88,6,4.0,449782.0
43,ABCA12,4,89,2,2.0,215035084.0
44,ABCA13,9,82,4,7.0,48409477.5
45,ABCA17P,2,88,5,16.0,2382924.5
46,ABCA2,3,81,11,9.0,137018078.0
47,ABCA3,3,87,5,16.0,2308313.5
48,ABCA4,6,86,3,1.0,94056991.0
49,ABCA5,3,85,7,17.0,69285777.5
50,ABCA6,3,85,7,17.0,69110298.5
51,ABCA7,1,87,7,19.0,1052784.5
52,ABCA8,3,85,7,17.0,68911340.5
53,ABCA9,3,85,7,17.0,69017718.5
54,ABCA9-AS1,3,85,7,17.0,68993657.5
55,ABCB1,10,80,5,7.0,87608170.0
56,ABCB10,23,71,1,1.0,229537644.5
57,ABCB11,6,89,0,2.0,168973411.0
58,ABCB4,10,80,5,7.0,87441066.0
59,ABCB5,11,80,4,7.0,20696122.5
60,ABCB6,4,89,2,2.0,219214383.0
61,ABCB7,4,80,11,,
62,ABCB8,11,82,2,7.0,151038102.0
63,ABCB9,6,84,5,12.0,122951300.0
64,ABCC1,2,88,5,16.0,16046325.5
65,ABCC10,5,90,0,6.0,43438896.5
66,ABCC11,0,88,7,16.0,48207239.0
67,ABCC12,0,88,7,16.0,48118512.0
68,ABCC13,3,85,7,21.0,14299480.0
69,ABCC2,17,74,4,10.0,99817617.0
70,ABCC3,6,81,8,17.0,50663515.0
71,ABCC4,3,84,8,13.0,95160655.0
72,ABCC5,9,85,1,3.0,183968936.5
73,ABCC5-AS1,9,85,1,3.0,184008878.5
74,ABCC6,2,88,5,16.0,16186225.0
75,ABCC6P1,3,87,5,16.0,18584745.0
76,ABCC6P2,2,88,5,16.0,14822747.0
77,ABCC8,3,83,9,11.0,17434688.5
