,index,gain,neutral,loss,chromo,location
0,A1BG,22,67,16,19.0,58349335.0
1,A1BG-AS1,22,67,16,19.0,58351586.5
2,A1CF,6,90,9,10.0,50842542.0
3,A2M,18,70,17,12.0,9091946.5
4,A2M-AS1,16,72,17,12.0,9066926.0
5,A2ML1,13,63,29,12.0,8854811.0
6,A2MP1,20,74,11,12.0,9252175.0
7,A3GALT2,3,77,25,1.0,33313932.0
8,A4GALT,2,59,44,22.0,42706709.5
9,A4GNT,10,85,10,3.0,138128051.5
10,AA06,18,81,6,,
11,AAAS,13,73,19,12.0,53316160.0
12,AACS,16,79,10,12.0,125104383.5
13,AACSP1,5,82,18,5.0,178791648.0
14,AADAC,12,91,2,3.0,151821280.5
15,AADACL2,12,91,2,3.0,151747627.5
16,AADACL3,0,68,37,1.0,12722435.0
17,AADACL4,0,68,37,1.0,12655816.5
18,AADAT,3,78,24,4.0,170075960.5
19,AAED1,11,67,27,,
20,AAGAB,0,72,33,15.0,67227931.0
21,AAK1,16,78,11,2.0,69566173.0
22,AAMDC,8,71,26,11.0,77869770.5
23,AAMP,22,77,6,2.0,218267190.0
24,AANAT,11,70,24,17.0,76461734.0
25,AAR2,65,31,9,20.0,36253688.5
26,AARD,56,45,4,8.0,116941347.0
27,AARS,3,61,41,,
28,AARS2,25,76,4,6.0,44306039.0
29,AARSD1,8,67,30,17.0,42957512.0
30,AASDH,2,61,42,4.0,56362897.5
31,AASDHPPT,13,85,7,11.0,106087100.0
32,AASS,51,53,1,7.0,122108902.0
33,AATF,8,77,20,17.0,37002912.5
34,AATK,14,84,7,17.0,81138354.0
35,AATK-AS1,14,84,7,,
36,ABAT,10,76,19,16.0,8729585.5
37,ABCA1,15,69,21,9.0,104854580.5
38,ABCA10,15,74,16,17.0,69196030.0
39,ABCA11P,2,79,24,4.0,449782.0
40,ABCA12,19,79,7,2.0,215035084.0
41,ABCA13,65,38,2,7.0,48409477.5
42,ABCA17P,15,80,10,16.0,2382924.5
43,ABCA2,20,74,11,9.0,137018078.0
44,ABCA3,15,80,10,16.0,2308313.5
45,ABCA4,4,84,17,1.0,94056991.0
46,ABCA5,14,75,16,17.0,69285777.5
47,ABCA6,15,76,14,17.0,69110298.5
48,ABCA7,13,67,25,19.0,1052784.5
49,ABCA8,15,76,14,17.0,68911340.5
50,ABCA9,15,76,14,17.0,69017718.5
51,ABCB1,54,49,2,7.0,87608170.0
52,ABCB10,18,81,6,1.0,229537644.5
53,ABCB11,25,78,2,2.0,168973411.0
54,ABCB4,54,49,2,7.0,87441066.0
55,ABCB5,65,38,2,7.0,20696122.5
56,ABCB6,26,76,3,2.0,219214383.0
57,ABCB7,25,78,2,,
58,ABCB8,52,51,2,7.0,151038102.0
59,ABCB9,10,59,36,12.0,122951300.0
60,ABCC1,9,68,28,16.0,16046325.5
61,ABCC10,21,70,14,6.0,43438896.5
62,ABCC11,16,81,8,16.0,48207239.0
63,ABCC12,16,84,5,16.0,48118512.0
64,ABCC13,4,81,20,21.0,14299480.0
65,ABCC2,1,68,36,10.0,99817617.0
66,ABCC3,12,76,17,17.0,50663515.0
67,ABCC4,54,44,7,13.0,95160655.0
68,ABCC5,10,78,17,3.0,183968936.5
69,ABCC5-AS1,10,78,17,3.0,184008878.5
70,ABCC6,9,70,26,16.0,16186225.0
71,ABCC6P1,11,73,21,16.0,18584745.0
72,ABCC6P2,9,68,28,16.0,14822747.0
73,ABCC8,23,76,6,11.0,17434688.5
74,ABCC9,19,82,4,12.0,21869965.0
75,ABCD1,25,78,2,,
76,ABCD2,15,86,4,12.0,39584918.0
77,ABCD3,4,85,16,1.0,94468527.5
78,ABCD4,1,52,52,14.0,74294162.0
79,ABCE1,4,78,23,4.0,145113906.0
80,ABCF1,9,87,9,6.0,30584286.0
81,ABCF2,52,51,2,7.0,151217501.5
82,ABCF3,11,80,14,3.0,184190017.5
83,ABCG1,9,81,15,21.0,42248466.5
84,ABCG2,2,76,27,4.0,88160889.0
85,ABCG4,10,72,23,11.0,119155852.5
86,ABCG5,15,69,21,2.0,43825668.5
87,ABCG8,15,69,21,2.0,43857465.0
88,ABHD1,15,79,11,2.0,27127300.5
89,ABHD10,15,87,3,3.0,111986189.0
90,ABHD11,28,48,29,7.0,73737480.5
91,ABHD12,57,38,10,20.0,25342788.5
92,ABHD12B,7,64,34,14.0,50888511.5
93,ABHD13,64,40,1,13.0,108226317.5
94,ABHD14A,8,88,9,3.0,51976312.5
95,ABHD14A-ACY1,8,88,9,3.0,51981944.5
96,ABHD14B,8,88,9,3.0,51975959.5
97,ABHD15,8,61,36,17.0,29563792.0
98,ABHD16A,9,87,9,6.0,31695155.5
99,ABHD16B,71,32,2,20.0,63862243.0
100,ABHD17A,8,64,33,19.0,1881178.5
101,ABHD17B,12,66,27,9.0,71886691.5
102,ABHD17C,2,75,28,15.0,80717652.5
103,ABHD2,1,71,33,15.0,89144907.0
104,ABHD3,2,28,75,18.0,21677840.5
105,ABHD4,17,58,30,14.0,22605726.0
106,ABHD5,8,90,7,3.0,43712239.5
107,ABHD6,10,82,13,3.0,58266612.5
108,ABHD8,6,62,37,19.0,17301183.5
109,ABI1,5,79,21,10.0,26803840.0
110,ABI2,15,44,46,2.0,203387983.5
111,ABI3,7,72,26,17.0,49216818.0
112,ABI3BP,14,89,2,3.0,100871335.5
113,ABL1,13,64,28,9.0,130800345.5
114,ABL2,18,69,18,1.0,179164507.0
115,ABLIM1,2,84,19,10.0,114599587.0
116,ABLIM2,5,78,22,4.0,8062071.0
117,ABLIM3,22,75,8,5.0,149201012.5
118,ABO,19,74,12,9.0,133263212.5
119,ABR,1,31,73,17.0,1116628.0
120,ABRA,54,47,4,8.0,106764863.5
121,ABRACL,9,76,20,6.0,139036023.5
122,ABT1,26,73,6,6.0,26598846.0
123,ABTB1,18,85,2,3.0,127676930.5
124,ABTB2,15,84,6,11.0,34254498.5
125,AC000099.1,51,53,1,,
126,AC000124.1,50,53,2,7.0,127481343.5
127,AC002115.5,15,65,25,,
128,AC002398.5,16,63,26,,
129,AC002454.1,55,48,2,,
130,AC002463.3,50,53,2,,
131,AC002480.3,67,37,1,,
132,AC002511.1,13,72,20,19.0,35433799.5
133,AC003051.1,12,78,15,,
134,AC003102.3,7,67,31,,
135,AC003665.1,10,73,22,,
136,AC003958.2,21,71,13,17.0,41413732.5
137,AC003984.1,53,50,2,7.0,84558399.0
138,AC004019.13,3,49,53,,
139,AC004562.1,12,79,14,17.0,69986040.0
140,AC004603.4,41,62,2,,
141,AC004862.6,52,51,2,,
142,AC004893.11,35,53,17,,
143,AC005022.1,63,41,1,,
144,AC005029.1,63,41,1,,
145,AC005062.2,67,37,1,,
146,AC005152.3,12,82,11,,
147,AC005235.1,25,79,1,,
148,AC005264.2,7,53,45,,
149,AC005358.3,0,45,60,,
150,AC005550.4,66,38,1,,
151,AC005592.1,11,83,11,5.0,142704601.5
152,AC005594.3,7,49,49,,
153,AC006004.1,44,59,2,,
