Name	brca_Database_ID	luad_Database_ID	lscc_Database_ID	ovarian_Database_ID	brca_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue	brca_diff	hnscc_diff	lscc_diff	luad_diff	ovarian_diff
AMACR	NP_001161067.1|NP_055139.4|NP_976316.1	NP_001161067.1|NP_055139.4|NP_976316.1	NP_001161067.1|NP_055139.4|NP_976316.1		0.9338851977029176	0.00011761522433582051	0.0002648507851707698	0.00018585541062286616		-0.033614455782312924	0.48812441970354215	1.485542613636364	1.2882924657534247	
BASP1	NP_006308.3	NP_001258535.1	NP_001258535.1	NP_006308	0.45701464317505136	0.9910218407113932	0.11454460813334338	0.04877175336344362	0.512390531347676	0.3936595238095238	0.0014597407032219678	0.7172899147727274	-0.8147796042617961	-0.20708399246908316
BRD9	NP_076413.3|NP_001009877.2|NP_001304880.1	NP_076413.3|NP_001009877.2|NP_001304880.1	NP_076413.3|NP_001009877.2|NP_001304880.1	NP_076413	0.2742632002215297	0.08422422143993293	0.026263935110728977	0.00043575172800848917	0.5092324034572671	-0.16707729591836734	0.12114166670124149	0.2886880681818182	0.4694893074581431	0.08083185301172705
BRIX1	NP_060791.3	NP_060791.3	NP_060791.3	NP_060791	0.15585981434299206	1.2983525223047037e-05	0.003792892362448524	0.0005910675934963548	0.04801348788453261	0.4518757653061224	0.2823454353504786	0.5534342329545454	0.864835692541857	0.2776983929275054
C1QTNF3	NP_852100.3|NP_112207.1			NP_852100	0.6375693922103631	0.9910218407113932			0.7505385857340247	0.47873979591836746	0.001654377874469759			0.13671593596481874
C5orf22	NP_060826.2	NP_060826.2	NP_060826.2	NP_060826	0.0011950784489211926	7.487578118379563e-07	5.5402310518034085e-05	2.052109192535153e-06	0.512226119416398	0.8838011054421769	0.3657703489023909	1.1245900568181817	1.0729390791476408	0.16254709553304905
C5orf51	NP_787117.3	NP_787117.3	NP_787117.3	NP_787117	0.0007226311575305543	8.21484726637929e-05	4.4955465947944625e-06	3.030324212774154e-12	0.030191906540793404	0.7051756802721088	0.23668343896139987	0.8709670454545455	1.227365296803653	0.29088021075373144
C6	NP_000056.2	NP_000056.2	NP_000056.2	NP_000056	0.9197413423736726	0.9910218407113932	0.5997576205608441	0.5909567622030256	0.38489564874801885	-0.048907738095238074	0.004011712946102364	-0.21482244318181798	0.18908858447488586	-0.26535066485074627
C7	NP_000578.2	NP_000578.2	NP_000578.2	NP_000578	0.7526929242806013	0.675995801875657	0.2788335232987155	0.48378241178022213	0.512390531347676	-0.17035994897959178	0.09262461904820896	-0.3839744318181817	0.2274029299847793	-0.21598713361300637
C9	NP_001728.1	NP_001728.1	NP_001728.1	NP_001728	0.7621334427687437	0.6807723135492885	0.849002009723783	0.5909567622030256	0.4430369722873653	-0.18237168367346923	0.07608371197313346	0.08106732954545448	0.25241114916286134	-0.259754288738806
CCDC127	NP_660308.1	NP_660308.1	NP_660308.1	NP_660308	0.2533185744852891	0.0012331175270001644	3.068683315170869e-05	0.0029362782152426367	0.29893596306779746	0.3446872448979592	0.2573139186627351	0.9777552556818181	0.6229744292237441	0.21208815303518125
CCT5	NP_036205.1|NP_001293085.1|NP_001293083.1|NP_001293084.1		NP_036205.1|NP_001293082.1|NP_001293085.1|NP_001293083.1|NP_001293084.1	NP_036205	0.8916527264347467	0.8568003594421556	0.7026820200009364		0.512390531347676	-0.02621045918367347	-0.013921302512798661	0.04433011363636358		0.07376702284115139
CLPTM1L	NP_110409.2	NP_110409.2	NP_110409.2	NP_110409	0.056297772352594415	0.058121721963930326	0.11369337233416828	0.0001683337677575851	0.11967011608397723	0.6617992346938778	0.21167687815761838	0.40662116477272725	1.433521499238965	0.22662805146695092
CMBL	NP_620164.1	NP_620164.1	NP_620164.1	NP_620164	0.47341936255644484	0.07312498847419192	0.00016120726921297894	0.001144374853313831	0.3413463856752001	0.4777340986394559	0.26997704824455937	1.7197069602272728	1.8390050228310502	0.37289856071748406
CTNND2	NP_001323.1|NP_001275644.1|NP_001275645.1|NP_001275646.1			NP_001275644	0.6771161517579619				0.4297412834104596	0.3584869047619049				0.28265870022814504
DAB2	NP_001334.2|NP_001231800.1	NP_001334.2|NP_001231800.1	NP_001334.2	NP_001334	0.6604370334309824	0.0527716391208743	0.7026820200009364	0.7996432178725849	0.6095047289135955	0.150650425170068	-0.21726866911720322	-0.10142272727272722	-0.060309969558599685	0.08275978643176976
DAP	NP_004385.1|NP_001278892.1	NP_004385.1	NP_004385.1	NP_004385	0.18563208476002732	0.025636641312837785	0.014360234932443929	4.012021495500028e-06	0.001042364135421118	0.3115007653061225	0.17462269463769786	0.5006688920454545	0.943311187214612	0.4375967019626866
DAP	NP_004385.1|NP_001278892.1	NP_001278892.1	NP_004385.1	NP_004385	0.18563208476002732	0.025636641312837785	0.014360234932443929	0.00274325216595487	0.001042364135421118	0.3115007653061225	0.17462269463769786	0.5006688920454545	0.842242503805175	0.4375967019626866
DNAH5	NP_001360.1	NP_001360.1	NP_001360.1		0.6593195346824133		0.644245916202517	0.13678303197734332		0.16005807823129256		0.17624815340909117	-0.49992332572298337	
DNAJC21	NP_919259.3	NP_001335349.1|NP_001012339.2|NP_919259.3	NP_001335349.1|NP_001012339.2	NP_001012339	0.003973565620739058	1.7473407175828607e-06	1.207880685257951e-06	6.760808382001339e-13	0.6168352285575075	0.5549399659863945	0.30820254993384566	1.1645473011363636	1.401293302891933	0.060144149309168435
EXOC3	NP_009208.2		NP_009208.2	NP_009208	0.5632884433366221	0.10902138842450981	0.053440801504097586		0.512390531347676	-0.09826828231292521	0.06535900827521957	0.17620383522727273		-0.054067463752665273
FBXO4	NP_036308.1|NP_277019.1|NP_001284366.1	NP_036308.1|NP_277019.1|NP_001284366.1	NP_036308.1|NP_277019.1|NP_001284366.1	NP_036308	0.6593195346824133	0.0013933001338093946	0.014360234932443929	1.9232057463848707e-05	0.29893596306779746	0.13602831632653062	0.3533331150066523	0.6166329545454545	1.18191700913242	0.16658606420362473
GOLPH3	NP_071413.1	NP_071413.1	NP_071413.1	NP_071413	0.08698192964988294	4.7573874632684895e-07	0.003792892362448524	7.691631255717723e-13	0.0462242726130879	0.3946197278911563	0.3279176815032123	0.5625484375	1.3932851598173515	0.33121737268443496
HMGCS1	NP_001311148.1|NP_001311152.1	NP_001091742.1|NP_001311151.1	NP_001091742.1|NP_001311151.1	NP_001311148	0.1357299046067208	0.00016205411112448441	0.0013126096532129492	0.4953809205915417	0.8309605012252352	0.8157135204081633	0.5922845742779614	1.461104403409091	0.3119677701674277	0.05115494990831554
ICE1	NP_056140.1	NP_056140.1			0.00708015706992361	0.9156994111450628		0.0024880409403873786		0.5573146258503401	-0.019226823425260164		0.6911220319634704	
LMBRD2	NP_001007528.1	NP_001007528.1	NP_001007528.1		0.020994577354766494	6.8458516729957745e-06	0.008527799851747144	8.614083819842785e-09		0.9301514455782313	0.37701538937951184	0.6960106534090909	1.6166634322678843	
LPCAT1	NP_079106.3	NP_079106.3	NP_079106.3	NP_079106	0.0024161514906281103	0.009074073602788875	0.7026820200009364	0.002854809029992734	0.6095047289135955	1.1841998299319727	0.2520830594513832	-0.16423423295454542	1.3084504566210047	0.08517577634754805
MED10	NP_115662.2	NP_115662.2	NP_115662.2	NP_115662	0.11943599823937234	0.24895138319277546	0.41126784140532313	0.032745431559531246	0.4297412834104596	-0.2659615646258503	0.06009868975859334	0.1263862215909091	0.29846590563165903	0.09778001976759058
