Name	luad_Database_ID	lscc_Database_ID	brca_Database_ID	ccrcc_Database_ID	ovarian_Database_ID	brca_pvalue	ccrcc_pvalue	colon_pvalue	endometrial_pvalue	gbm_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue	brca_diff	ccrcc_diff	colon_diff	endometrial_diff	gbm_diff	lscc_diff	luad_diff	ovarian_diff
A1BG	NP_570602.2	NP_570602.2	NP_570602.2	NP_570602.2	NP_570602	0.9997780592881007	0.9888295410814811	0.9748771489165325	0.9642316208661594	0.8551413068643239	0.820734055973984	0.8911683393974932	0.7548748091634672	0.18607194055944087	0.046273561513582695	0.03947344064386327	-0.052112500000000006	-0.24019815744373757	0.1949325722983255	0.21064166666666617	0.3636197656118935
A2M	NP_000005.2|NP_001334353.1|NP_001334354.1|K4JDR8|K4JBA2|K4JB97	NP_000005.2|NP_001334353.1|NP_001334354.1	NP_000005.2	NP_000005.2	NP_000005	0.9997780592881007	0.9410749550649433	0.8015436608559062	0.9231328476378781	0.7084712753464956	0.784376774302979	0.9157625749494005	0.3735526332611882	0.17111048951048952	-0.21684305249684502	-0.1636164319248825	-0.12351250000000004	-0.4642349075053017	-0.3230562151192298	-0.19689166666666624	0.8329428995258217
A2ML1		NP_653271.2|NP_001269353.1	NP_653271.2|NP_001269353.1			0.9997780592881007			0.7776229027365699		0.8539232177624642			-0.6508877622377627			0.7652444444444446		0.7673149162861491		
AAAS	NP_056480.1|NP_001166937.1	NP_056480.1|NP_001166937.1	NP_056480.1|NP_001166937.1	NP_056480.1	NP_056480	0.9997780592881007	0.9993349906186937	0.9449189386170589	0.3205543145733821	0.9996872622867604	0.8225635801252822	0.8911683393974932	0.947995274443877	0.06109143356643365	-0.0023858038610113097	-0.03881247484909457	-0.25343899999999997	0.0004593705823793051	-0.08300192795535255	0.12425416666666667	-0.0314902483568075
AACS	NP_076417.2|NP_001306769.1|NP_001306768.1	NP_076417.2|NP_001306769.1|NP_001306768.1	NP_076417.2|NP_001306769.1|NP_001306768.1	NP_076417.2	NP_076417	0.9997780592881007	0.9479353934047131	0.8768321664442933	0.70823575035374	0.8551413068643239	0.8675670328388949	0.9514676235946931	0.9159591354041722	-0.3538395104895108	-0.11732211225820083	0.07047739771965127	0.2823800000000001	0.1120997223956403	-0.21765662100456612	0.16674375000000008	-0.1284953882519562
AAGAB	NP_078942.3|NP_001258814.1	NP_078942.3|NP_001258814.1	NP_078942.3|NP_001258815.1	NP_078942.3	NP_078942	0.9997780592881007	0.9993349906186937	0.9851100733529956	0.9682355141984018	0.8620697722949593	0.7131563913652142	0.8134717572329694	0.844524574096217	-0.19893732517482518	-0.006686949616975434	-0.008553051643192394	0.02502062500000002	0.08091573585609002	0.21025190258751902	0.2539229166666666	0.14179876269640065
AAK1		NP_055726.3	NP_055726.3	NP_055726.3	NP_055726	0.9997780592881007	0.9993349906186937	0.5370051113890685	0.8689581338900998	0.848386093640628	0.9004051592786777		0.7293338704197974	-0.20777307692307695	0.006018188900386315	-0.13442535211267606	-0.07839874999999999	0.17442639276219402	-0.07582607813292747		0.21639102985602507
AAMDC	NP_001303889.1|NP_001350493.1|NP_001303886.1|NP_001303887.1	NP_001303889.1|NP_001350493.1	NP_078960.1|NP_001303886.1|NP_001303887.1		NP_078960	0.9997780592881007		0.8307731412913455	0.8898278600625977	0.8598408395926493	0.8929480951012402	0.9106111770974835	0.9109567578750767	-0.30075122377622376		0.10925633802816898	0.13884375	-0.16204832355245236	-0.14742298325722958	0.2861895833333334	-0.15309183378247265
AAMP	NP_001289474.1|NP_001078.2	NP_001289474.1|NP_001078.2	NP_001289474.1|NP_001078.2	NP_001078.2	NP_001078	0.9997780592881007	0.9410749550649433	0.8062417976997831	0.5651828909192261	0.8767587194478537	0.31915789195363853	0.7327318462195055	0.8911680261487511	-0.32719134615384615	-0.12191013298000822	-0.08806666666666665	-0.42828687499999996	-0.07843612992382235	-0.5683329274479961	-0.30686874999999986	-0.11386786681846633
AAR2	NP_001258803.1	NP_001258803.1	NP_001258803.1	NP_001258803.1	NP_001258803	0.9997780592881007	0.9240183741675954	0.9729303606253896	0.6343894561349187	0.9964748643872988	0.7677590333948355	0.9573125520894427	0.9816740123123918	0.16633942307692307	-0.08164016296753232	-0.01679074446680076	-0.19105	-0.004415306665932629	-0.14821796042617957	0.04987500000000006	0.01723491788575901
