protein	cancers	mean_simp_change	num_cancers
ATP6V1A	brca_colon_luad	-1.0	3
ATP6V1E1	colon_lscc_luad	-1.0	3
ATP6V1G1	colon_lscc_luad	-1.0	3
ATP6V1H	colon_lscc_luad	-1.0	3
ATP6V1D	brca_luad	-1.0	2
ATP6V1F	colon_luad	-1.0	2
ALG2	lscc_luad	-1.0	2
ERGIC1	lscc_luad	0.0	2
PTPN7	lscc_luad	-1.0	2
HSPA4L	colon	-1.0	1
NARS	colon	-1.0	1
RPS6KB2	colon	-1.0	1
ABCF3	lscc	1.0	1
ACTB	lscc	-1.0	1
CAMSAP2	lscc	1.0	1
CCT7	lscc	1.0	1
CDCA5	lscc	1.0	1
COIL	lscc	1.0	1
COPA	lscc	-1.0	1
COPB2	lscc	-1.0	1
COX6A1	lscc	-1.0	1
CRTC3	lscc	-1.0	1
DERL1	lscc	-1.0	1
DMXL1	lscc	-1.0	1
DMXL2	lscc	-1.0	1
DNAJB1	lscc	1.0	1
DNAJC1	lscc	-1.0	1
DNAJC25	lscc	-1.0	1
ECSIT	lscc	1.0	1
GMPPB	lscc	-1.0	1
HSPE1	lscc	1.0	1
HYOU1	lscc	-1.0	1
IRF3	lscc	-1.0	1
KCTD3	lscc	1.0	1
LGALS9	lscc	-1.0	1
LRRC57	lscc	1.0	1
MAST3	lscc	-1.0	1
MCM2	lscc	1.0	1
MSH2	lscc	1.0	1
MSH6	lscc	1.0	1
NCOA7	lscc	-1.0	1
NDUFAF1	lscc	1.0	1
NEK4	lscc	-1.0	1
OPTN	lscc	-1.0	1
PAK4	lscc	1.0	1
PANK2	lscc	-1.0	1
PPM1G	lscc	1.0	1
PTPN1	lscc	-1.0	1
PYHIN1	lscc	-1.0	1
RECQL4	lscc	1.0	1
REEP5	lscc	-1.0	1
RPN2	lscc	-1.0	1
RPS28	lscc	-1.0	1
RUVBL1	lscc	1.0	1
SAMHD1	lscc	-1.0	1
SEC23A	lscc	-1.0	1
SEC61B	lscc	-1.0	1
SRXN1	lscc	1.0	1
SSR1	lscc	-1.0	1
STX6	lscc	1.0	1
TBC1D1	lscc	-1.0	1
UBXN7	lscc	1.0	1
UFL1	lscc	-1.0	1
VASN	lscc	-1.0	1
VPS28	lscc	-1.0	1
WDR12	lscc	1.0	1
XPO1	lscc	1.0	1
ZNF638	lscc	1.0	1
ATP6V1C2	luad	-1.0	1
EBAG9	luad	1.0	1
EGFR	luad	1.0	1
EMD	luad	1.0	1
GRB2	luad	-1.0	1
KLC3	luad	1.0	1
NCF1	luad	-1.0	1
S100A8	luad	-1.0	1
SIRT7	luad	-1.0	1
TNIP2	luad	-1.0	1
UBASH3B	luad	-1.0	1
USP8	luad	-1.0	1
ZFPL1	luad	1.0	1
