protein	cancers	mean_simp_change	num_cancers
AGPAT5	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6
CCDC25	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6
ERI1	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6
MSRA	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6
PPP2R2A	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6
VPS37A	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6
XPO7	brca_colon_hnscc_lscc_luad_ovarian	-1.0	6
ATP6V1B2	brca_colon_hnscc_lscc_luad	-1.0	5
DOCK5	brca_colon_hnscc_lscc_luad	-1.0	5
FAM160B2	brca_colon_hnscc_lscc_luad	-1.0	5
KIF13B	brca_colon_hnscc_lscc_luad	-1.0	5
SH2D4A	brca_colon_hnscc_lscc_luad	-1.0	5
CCAR2	brca_colon_hnscc_luad_ovarian	-1.0	5
CHMP7	brca_colon_hnscc_luad_ovarian	-1.0	5
ELP3	brca_colon_hnscc_luad_ovarian	-1.0	5
EPHX2	brca_colon_hnscc_lscc	-1.0	4
MTUS1	brca_colon_lscc_luad	-1.0	4
PINX1	brca_colon_luad_ovarian	-1.0	4
ERICH1	brca_hnscc_lscc_luad	-1.0	4
MTMR9	brca_hnscc_lscc_luad	-1.0	4
CNOT7	brca_hnscc_luad_ovarian	-1.0	4
ARHGEF10	brca_lscc_luad_ovarian	-1.0	4
BNIP3L	brca_lscc_luad_ovarian	-1.0	4
R3HCC1	brca_lscc_luad_ovarian	-1.0	4
DCTN6	colon_hnscc_lscc_luad	-1.0	4
NAT1	colon_hnscc_lscc_luad	-1.0	4
PPP2CB	colon_lscc_luad_ovarian	-1.0	4
FDFT1	brca_colon_ovarian	-1.0	3
REEP4	brca_colon_ovarian	-1.0	3
PRAG1	brca_hnscc_lscc	-1.0	3
NEIL2	brca_hnscc_luad	-1.0	3
NUDT18	brca_lscc_luad	-1.0	3
HMBOX1	brca_luad_ovarian	-1.0	3
WRN	brca_luad_ovarian	-1.0	3
DPYSL2	colon_hnscc_lscc	-1.0	3
CTSB	colon_lscc_luad	-1.0	3
KBTBD11	colon_lscc_luad	-1.0	3
SARAF	colon_lscc_luad	-1.0	3
SLC39A14	colon_lscc_luad	-1.0	3
GSR	colon_luad_ovarian	-1.0	3
PPP3CC	hnscc_lscc_luad	-1.0	3
PSD3	brca_ovarian	-1.0	2
ASAH1	hnscc_lscc	-1.0	2
DOK2	hnscc_lscc	-1.0	2
PDLIM2	hnscc_lscc	-1.0	2
SORBS3	hnscc_lscc	-1.0	2
TDRP	hnscc_lscc	-1.0	2
TNFRSF10C	lscc_luad	-1.0	2
DUSP4	brca	-1.0	1
SLC7A2	brca		1
TNKS	brca		1
ZNF395	brca		1
DEFA5	colon	-1.0	1
ENTPD4	colon		1
MAK16	colon	-1.0	1
PBK	colon	-1.0	1
ADAM28	lscc		1
CLN8	lscc		1
DLC1	lscc	-1.0	1
MSR1	lscc	-1.0	1
PEBP4	lscc	-1.0	1
FAM167A	luad	-1.0	1
GTF2E2	luad	-1.0	1
KCTD9	luad	-1.0	1
LPL	luad		1
PNMA2	luad	-1.0	1
TUSC3	luad	-1.0	1
BIN3	ovarian	-1.0	1
CLU	ovarian	-1.0	1
FZD3	ovarian	-1.0	1
SCARA3	ovarian	-1.0	1
