protein	cancers	num_cancers
MSR1	brca_colon_hnscc_lscc_luad_ovarian	6
CLU	brca_colon_hnscc_lscc	4
DEFA4	brca_colon_hnscc_lscc	4
TTI2	brca_colon_hnscc_lscc	4
POLR3D	brca_colon_lscc_luad	4
PDLIM2	brca_colon_lscc_ovarian	4
ADAMDEC1	brca_hnscc_lscc_ovarian	4
LOXL2	brca_colon_lscc	3
DOK2	brca_colon_ovarian	3
LPL	brca_hnscc_lscc	3
MFHAS1	brca_hnscc_lscc	3
LZTS1	brca_hnscc_ovarian	3
MYOM2	brca_hnscc_ovarian	3
DLC1	brca_lscc_luad	3
KBTBD11	brca_lscc_ovarian	3
KCTD9	hnscc_lscc_ovarian	3
BMP1	brca_lscc	2
DEFA3	brca_lscc	2
GSR	brca_lscc	2
NEFL	brca_lscc	2
PEBP4	brca_lscc	2
DCTN6	brca_ovarian	2
PDGFRL	brca_ovarian	2
SORBS3	colon_lscc	2
ANGPT2	hnscc_lscc	2
BIN3	hnscc_lscc	2
BNIP3L	hnscc_lscc	2
MAK16	hnscc_lscc	2
PSD3	hnscc_lscc	2
NUDT18	hnscc_ovarian	2
CDCA2	lscc_ovarian	2
TNKS	lscc_ovarian	2
KCNU1	brca	1
RBPMS	brca	1
STMN4	brca	1
TDRP	brca	1
ARHGEF10	colon	1
MTMR9	colon	1
CTSB	hnscc	1
PNMA2	hnscc	1
SLC7A2	hnscc	1
ASAH1	lscc	1
PBK	lscc	1
PINX1	lscc	1
PPP2CB	lscc	1
STC1	lscc	1
PURG	luad	1
BLK	ovarian	1
CNOT7	ovarian	1
NEIL2	ovarian	1
PPP3CC	ovarian	1
WRN	ovarian	1
