,level_0,level_1,gain,neutral,loss,chromo,location
0,A1BG,ENSG00000121410.11,3,107,0,19.0,58349335.0
1,A1CF,ENSG00000148584.14,1,99,10,10.0,50842542.0
2,A2M,ENSG00000175899.14,13,97,0,12.0,9091946.5
3,A2ML1,ENSG00000166535.19,13,97,0,12.0,8854811.0
4,A3GALT2,ENSG00000184389.9,1,102,7,1.0,33313932.0
5,A4GALT,ENSG00000128274.15,5,102,3,22.0,42706709.5
6,A4GNT,ENSG00000118017.3,10,88,12,3.0,138128051.5
7,AAAS,ENSG00000094914.12,13,97,0,12.0,53316160.0
8,AACS,ENSG00000081760.16,13,97,0,12.0,125104383.5
9,AADAC,ENSG00000114771.13,10,89,11,3.0,151821280.5
10,AADACL2,ENSG00000197953.5,10,89,11,3.0,151747627.5
11,AADACL3,ENSG00000188984.11,1,101,8,1.0,12722435.0
12,AADACL4,ENSG00000204518.2,1,101,8,1.0,12655816.5
13,AADAT,ENSG00000109576.13,3,94,13,4.0,170075960.5
14,AAED1,ENSG00000158122.11,2,90,18,,
15,AAGAB,ENSG00000103591.12,3,102,5,15.0,67227931.0
16,AAK1,ENSG00000115977.18,8,100,2,2.0,69566173.0
17,AAMDC,ENSG00000087884.14,3,106,1,11.0,77869770.5
18,AAMP,ENSG00000127837.9,7,95,8,2.0,218267190.0
19,AANAT,ENSG00000129673.9,5,103,2,17.0,76461734.0
20,AAR2,ENSG00000131043.11,11,99,0,20.0,36253688.5
21,AARD,ENSG00000205002.3,7,96,7,8.0,116941347.0
22,AARS,ENSG00000090861.15,21,87,2,,
23,AARS2,ENSG00000124608.4,0,98,12,6.0,44306039.0
24,AARSD1,ENSG00000266967.6,1,107,2,17.0,42957512.0
25,AASDH,ENSG00000157426.13,2,100,8,4.0,56362897.5
26,AASDHPPT,ENSG00000149313.10,3,102,5,11.0,106087100.0
27,AASS,ENSG00000008311.14,27,81,2,7.0,122108902.0
28,AATF,ENSG00000275700.4,1,107,2,17.0,37002912.5
29,AATK,ENSG00000181409.11,4,104,2,17.0,81138354.0
30,AATK-AS1,ENSG00000225180.7,4,104,2,,
31,ABAT,ENSG00000183044.11,20,90,0,16.0,8729585.5
32,ABC13-47488600E17.1,ENSG00000283199.1,5,95,10,,
33,ABC7-42404400C24.1,ENSG00000277758.4,1,99,10,,
34,ABCA1,ENSG00000165029.15,2,90,18,9.0,104854580.5
35,ABCA10,ENSG00000154263.17,4,104,2,17.0,69196030.0
36,ABCA12,ENSG00000144452.14,7,95,8,2.0,215035084.0
37,ABCA13,ENSG00000179869.14,28,80,2,7.0,48409477.5
38,ABCA2,ENSG00000107331.16,2,90,18,9.0,137018078.0
39,ABCA3,ENSG00000167972.13,20,90,0,16.0,2308313.5
40,ABCA4,ENSG00000198691.11,1,103,6,1.0,94056991.0
41,ABCA5,ENSG00000154265.15,4,104,2,17.0,69285777.5
42,ABCA6,ENSG00000154262.12,4,104,2,17.0,69110298.5
43,ABCA7,ENSG00000064687.12,3,104,3,19.0,1052784.5
44,ABCA8,ENSG00000141338.13,4,104,2,17.0,68911340.5
45,ABCA9,ENSG00000154258.16,4,104,2,17.0,69017718.5
46,ABCB1,ENSG00000085563.14,29,79,2,7.0,87608170.0
47,ABCB10,ENSG00000135776.4,7,100,3,1.0,229537644.5
48,ABCB11,ENSG00000073734.8,13,95,2,2.0,168973411.0
49,ABCB4,ENSG00000005471.15,29,79,2,7.0,87441066.0
50,ABCB5,ENSG00000004846.16,27,81,2,7.0,20696122.5
51,ABCB6,ENSG00000115657.12,7,95,8,2.0,219214383.0
52,ABCB7,ENSG00000131269.15,8,95,7,,
53,ABCB8,ENSG00000197150.12,27,80,3,7.0,151038102.0
54,ABCB9,ENSG00000150967.17,13,97,0,12.0,122951300.0
55,ABCC1,ENSG00000103222.18,20,90,0,16.0,16046325.5
56,ABCC10,ENSG00000124574.14,0,98,12,6.0,43438896.5
57,ABCC11,ENSG00000121270.15,21,88,1,16.0,48207239.0
58,ABCC12,ENSG00000140798.15,21,88,1,16.0,48118512.0
59,ABCC2,ENSG00000023839.10,1,98,11,10.0,99817617.0
60,ABCC3,ENSG00000108846.15,2,106,2,17.0,50663515.0
61,ABCC4,ENSG00000125257.13,5,96,9,13.0,95160655.0
62,ABCC5,ENSG00000114770.16,12,87,11,3.0,183968936.5
63,ABCC6,ENSG00000091262.15,20,90,0,16.0,16186225.0
64,ABCC8,ENSG00000006071.12,4,104,2,11.0,17434688.5
65,ABCC9,ENSG00000069431.11,13,97,0,12.0,21869965.0
66,ABCD1,ENSG00000101986.11,8,95,7,,
67,ABCD2,ENSG00000173208.3,13,97,0,12.0,39584918.0
68,ABCD3,ENSG00000117528.11,1,103,6,1.0,94468527.5
69,ABCD4,ENSG00000119688.20,2,69,39,14.0,74294162.0
70,ABCE1,ENSG00000164163.10,2,98,10,4.0,145113906.0
71,ABCF1,ENSG00000204574.12,0,99,11,6.0,30584286.0
72,ABCF2,ENSG00000033050.7,27,80,3,7.0,151217501.5
73,ABCF3,ENSG00000161204.11,12,87,11,3.0,184190017.5
74,ABCG1,ENSG00000160179.18,6,102,2,21.0,42248466.5
75,ABCG2,ENSG00000118777.10,2,100,8,4.0,88160889.0
76,ABCG4,ENSG00000172350.9,3,102,5,11.0,119155852.5
77,ABCG5,ENSG00000138075.11,7,101,2,2.0,43825668.5
78,ABCG8,ENSG00000143921.6,7,101,2,2.0,43857465.0
79,ABHD1,ENSG00000143994.13,7,101,2,2.0,27127300.5
80,ABHD10,ENSG00000144827.8,7,77,26,3.0,111986189.0
81,ABHD11,ENSG00000106077.18,30,78,2,7.0,73737480.5
82,ABHD12,ENSG00000100997.18,10,100,0,20.0,25342788.5
83,ABHD12B,ENSG00000131969.14,2,74,34,14.0,50888511.5
84,ABHD13,ENSG00000139826.5,5,95,10,13.0,108226317.5
85,ABHD14A,ENSG00000248487.8,3,18,89,3.0,51976312.5
86,ABHD14B,ENSG00000114779.19,3,18,89,3.0,51975959.5
87,ABHD15,ENSG00000168792.4,1,107,2,17.0,29563792.0
88,ABHD16A,ENSG00000204427.11,0,99,11,6.0,31695155.5
89,ABHD16B,ENSG00000183260.7,12,98,0,20.0,63862243.0
90,ABHD17A,ENSG00000129968.15,3,105,2,19.0,1881178.5
91,ABHD17B,ENSG00000107362.13,2,90,18,9.0,71886691.5
92,ABHD17C,ENSG00000136379.11,3,102,5,15.0,80717652.5
93,ABHD18,ENSG00000164074.14,2,99,9,4.0,128002616.5
94,ABHD2,ENSG00000140526.17,3,102,5,15.0,89144907.0
95,ABHD3,ENSG00000158201.9,3,94,13,18.0,21677840.5
96,ABHD4,ENSG00000100439.10,2,79,29,14.0,22605726.0
97,ABHD5,ENSG00000011198.7,3,19,88,3.0,43712239.5
98,ABHD6,ENSG00000163686.14,3,20,87,3.0,58266612.5
99,ABHD8,ENSG00000127220.5,3,105,2,19.0,17301183.5
100,ABI1,ENSG00000136754.16,1,102,7,10.0,26803840.0
101,ABI2,ENSG00000138443.15,9,94,7,2.0,203387983.5
102,ABI3,ENSG00000108798.8,2,106,2,17.0,49216818.0
103,ABI3BP,ENSG00000154175.16,7,75,28,3.0,100871335.5
104,ABL1,ENSG00000097007.17,2,90,18,9.0,130800345.5
105,ABL2,ENSG00000143322.19,9,99,2,1.0,179164507.0
106,ABLIM1,ENSG00000099204.18,1,97,12,10.0,114599587.0
107,ABLIM2,ENSG00000163995.19,4,98,8,4.0,8062071.0
108,ABLIM3,ENSG00000173210.19,62,48,0,5.0,149201012.5
109,ABO,ENSG00000175164.13,2,90,18,9.0,133263212.5
110,ABR,ENSG00000159842.14,1,104,5,17.0,1116628.0
111,ABRA,ENSG00000174429.3,7,94,9,8.0,106764863.5
112,ABRACL,ENSG00000146386.7,0,90,20,6.0,139036023.5
113,ABT1,ENSG00000146109.4,0,99,11,6.0,26598846.0
114,ABTB1,ENSG00000114626.17,8,86,16,3.0,127676930.5
115,ABTB2,ENSG00000166016.5,3,105,2,11.0,34254498.5
116,AC002429.5,ENSG00000236197.3,28,80,2,,
117,AC004381.6,ENSG00000005189.19,20,90,0,,
118,AC005281.1,ENSG00000226690.7,27,81,2,7.0,12570758.5
119,AC006116.20,ENSG00000267710.6,3,107,0,,
120,AC009014.3,ENSG00000271824.1,59,50,1,5.0,136133973.5
