,index,gain,neutral,loss,chromo,location
0,A1BG,15,54,31,19.0,58349335.0
1,A1CF,15,79,6,10.0,50842542.0
2,A3GALT2,20,62,18,1.0,33313932.0
3,A4GALT,2,29,69,22.0,42706709.5
4,A4GNT,49,43,8,3.0,138128051.5
5,AAAS,19,70,11,12.0,53316160.0
6,AACS,11,66,23,12.0,125104383.5
7,AADAC,65,28,7,3.0,151821280.5
8,AADACL2,65,29,6,3.0,151747627.5
9,AADACL3,17,57,26,1.0,12722435.0
10,AADACL4,17,57,26,1.0,12655816.5
11,AADAT,5,44,51,4.0,170075960.5
12,AAED1,7,58,35,,
13,AAGAB,9,65,26,15.0,67227931.0
14,AAMDC,38,56,6,11.0,77869770.5
15,AAMP,34,58,8,2.0,218267190.0
16,AANAT,32,51,17,17.0,76461734.0
17,AAR2,38,56,6,20.0,36253688.5
18,AARD,69,24,7,8.0,116941347.0
19,AARS,4,35,61,,
20,AARSD1,2,39,59,17.0,42957512.0
21,AASDH,8,68,24,4.0,56362897.5
22,AASDHPPT,27,56,17,11.0,106087100.0
23,AASS,35,55,10,7.0,122108902.0
24,AATF,3,29,68,17.0,37002912.5
25,AATK,30,51,19,17.0,81138354.0
26,ABAT,10,61,29,16.0,8729585.5
27,ABCA1,11,54,35,9.0,104854580.5
28,ABCA10,22,55,23,17.0,69196030.0
29,ABCA12,18,72,10,2.0,215035084.0
30,ABCA13,27,61,12,7.0,48409477.5
31,ABCA3,14,54,32,16.0,2308313.5
32,ABCA4,26,64,10,1.0,94056991.0
33,ABCA5,21,55,24,17.0,69285777.5
34,ABCA6,26,54,20,17.0,69110298.5
35,ABCA7,1,24,75,19.0,1052784.5
36,ABCA8,24,54,22,17.0,68911340.5
37,ABCA9,30,50,20,17.0,69017718.5
38,ABCB1,18,70,12,7.0,87608170.0
39,ABCB10,47,48,5,1.0,229537644.5
40,ABCB11,44,52,4,2.0,168973411.0
41,ABCB4,18,70,12,7.0,87441066.0
42,ABCB5,17,60,23,7.0,20696122.5
43,ABCB6,33,58,9,2.0,219214383.0
44,ABCB8,48,43,9,7.0,151038102.0
45,ABCB9,11,69,20,12.0,122951300.0
46,ABCC1,8,62,30,16.0,16046325.5
47,ABCC10,26,61,13,6.0,43438896.5
48,ABCC11,9,50,41,16.0,48207239.0
49,ABCC12,8,51,41,16.0,48118512.0
50,ABCC3,15,53,32,17.0,50663515.0
51,ABCC4,11,47,42,13.0,95160655.0
52,ABCC5,64,31,5,3.0,183968936.5
53,ABCC6,7,63,30,16.0,16186225.0
54,ABCC8,6,58,36,11.0,17434688.5
55,ABCC9,38,50,12,12.0,21869965.0
56,ABCD2,19,70,11,12.0,39584918.0
57,ABCD3,24,65,11,1.0,94468527.5
58,ABCD4,6,54,40,14.0,74294162.0
59,ABCE1,10,44,46,4.0,145113906.0
60,ABCF3,71,24,5,3.0,184190017.5
61,ABCG1,10,59,31,21.0,42248466.5
62,ABCG2,3,53,44,4.0,88160889.0
63,ABCG4,16,64,20,11.0,119155852.5
64,ABCG5,27,62,11,2.0,43825668.5
65,ABCG8,26,63,11,2.0,43857465.0
66,ABHD10,42,50,8,3.0,111986189.0
67,ABHD11,23,67,10,7.0,73737480.5
68,ABHD12,43,49,8,20.0,25342788.5
69,ABHD12B,15,59,26,14.0,50888511.5
70,ABHD13,17,44,39,13.0,108226317.5
71,ABHD14A,16,66,18,3.0,51976312.5
72,ABHD14B,17,65,18,3.0,51975959.5
73,ABHD15,5,28,67,17.0,29563792.0
74,ABHD16B,55,43,2,20.0,63862243.0
75,ABHD17A,3,28,69,19.0,1881178.5
76,ABHD17B,5,61,34,9.0,71886691.5
77,ABHD17C,15,51,34,15.0,80717652.5
78,ABHD2,21,51,28,15.0,89144907.0
79,ABHD3,10,65,25,18.0,21677840.5
80,ABHD4,22,57,21,14.0,22605726.0
81,ABHD5,6,71,23,3.0,43712239.5
82,ABHD6,13,62,25,3.0,58266612.5
