name	group	adj_p
p_all	sig_props	3.380611640401456e-11
p_cptac	sig_props	2.6950547511906535e-10
p_cptac_proteomics	sig_props	3.391043803178694e-08
p_cptac_proteomics_cis	sig_props	0.0007051708217193768
p_cptac_proteomics_cis_loss	sig_props	0.05379670829805699
p_cptac_proteomics_cis_gain	sig_props	0.00995099511912757
p_cptac_proteomics_trans	sig_props	1.932944709243548e-05
p_cptac_proteomics_trans_loss	sig_props	0.005650650775155823
p_cptac_proteomics_trans_gain	sig_props	0.002256958724786399
p_cptac_transcriptomics	sig_props	0.0018701621742862212
p_cptac_transcriptomics_cis	sig_props	0.011738600613084103
p_cptac_transcriptomics_cis_loss	sig_props	0.16631213215442087
p_cptac_transcriptomics_cis_gain	sig_props	0.08552026837290622
p_cptac_transcriptomics_trans	sig_props	0.0036405301802406847
p_cptac_transcriptomics_trans_loss	sig_props	0.14822866072070573
p_cptac_transcriptomics_trans_gain	sig_props	0.013119555271189652
p_gistic	sig_props	5.664246604718247e-06
p_gistic_proteomics	sig_props	0.001422732240763614
p_gistic_proteomics_cis	sig_props	0.03179451754476114
p_gistic_proteomics_cis_loss	sig_props	0.20200727337950536
p_gistic_proteomics_cis_gain	sig_props	0.10745388745670185
p_gistic_proteomics_trans	sig_props	0.02668224984084504
p_gistic_proteomics_trans_loss	sig_props	0.2831008476134696
p_gistic_proteomics_trans_gain	sig_props	0.04140874996186345
p_gistic_transcriptomics	sig_props	0.0017294695601654151
p_gistic_transcriptomics_cis	sig_props	0.07825711917079893
p_gistic_transcriptomics_cis_loss	sig_props	0.17250398906335987
p_gistic_transcriptomics_cis_gain	sig_props	0.31891529487029624
p_gistic_transcriptomics_trans	sig_props	0.013464210330205399
p_gistic_transcriptomics_trans_loss	sig_props	0.1464901254185107
p_gistic_transcriptomics_trans_gain	sig_props	0.09730160492325862
p_all	not_sig_props	0.07979001960456593
p_cptac	not_sig_props	0.6773341279488153
p_cptac_proteomics	not_sig_props	0.2510096193217689
p_cptac_proteomics_cis	not_sig_props	0.3841157438368402
p_cptac_proteomics_cis_loss	not_sig_props	0.6344892588829198
p_cptac_proteomics_cis_gain	not_sig_props	0.5205269016139759
p_cptac_proteomics_trans	not_sig_props	0.4908706090440411
p_cptac_proteomics_trans_loss	not_sig_props	0.5806629657806212
p_cptac_proteomics_trans_gain	not_sig_props	0.7411338587638864
p_cptac_transcriptomics	not_sig_props	0.004281614395913601
p_cptac_transcriptomics_cis	not_sig_props	0.115545008153944
p_cptac_transcriptomics_cis_loss	not_sig_props	0.7315375779143907
p_cptac_transcriptomics_cis_gain	not_sig_props	0.08996208096337696
p_cptac_transcriptomics_trans	not_sig_props	0.004299990263359351
p_cptac_transcriptomics_trans_loss	not_sig_props	0.15746322783980493
p_cptac_transcriptomics_trans_gain	not_sig_props	0.016184685469727275
p_gistic	not_sig_props	0.007481930698373061
p_gistic_proteomics	not_sig_props	0.19772267670983687
p_gistic_proteomics_cis	not_sig_props	0.44715986176600786
p_gistic_proteomics_cis_loss	not_sig_props	0.09548816551080347
p_gistic_proteomics_cis_gain	not_sig_props	0.6905245039665733
p_gistic_proteomics_trans	not_sig_props	0.3136578593227647
p_gistic_proteomics_trans_loss	not_sig_props	0.0887074033701738
p_gistic_proteomics_trans_gain	not_sig_props	0.8703804716455089
p_gistic_transcriptomics	not_sig_props	0.002272680175653807
p_gistic_transcriptomics_cis	not_sig_props	0.09607443127877033
p_gistic_transcriptomics_cis_loss	not_sig_props	0.19035951827173844
p_gistic_transcriptomics_cis_gain	not_sig_props	0.31361909899260104
p_gistic_transcriptomics_trans	not_sig_props	0.01381729365603661
p_gistic_transcriptomics_trans_loss	not_sig_props	0.14789840414522912
p_gistic_transcriptomics_trans_gain	not_sig_props	0.098835986576013
p_all	na_props	0.013381564235551409
p_cptac	na_props	0.01016645134180884
p_cptac_proteomics	na_props	0.01069292475970995
p_cptac_proteomics_cis	na_props	0.08444121766762776
p_cptac_proteomics_cis_loss	na_props	0.2615864734989162
p_cptac_proteomics_cis_gain	na_props	0.26333091664012886
p_cptac_proteomics_trans	na_props	0.08146082220390587
p_cptac_proteomics_trans_loss	na_props	0.2647496347156134
p_cptac_proteomics_trans_gain	na_props	0.25737354118765493
p_cptac_transcriptomics	na_props	0.008568234206843668
p_cptac_transcriptomics_cis	na_props	0.13397502562663277
p_cptac_transcriptomics_cis_loss	na_props	0.14874346924125134
p_cptac_transcriptomics_cis_gain	na_props	0.7418011102528389
p_cptac_transcriptomics_trans	na_props	0.0005690313816450283
p_cptac_transcriptomics_trans_loss	na_props	0.04132313471836405
p_cptac_transcriptomics_trans_gain	na_props	0.027912748483205484
p_gistic	na_props	0.338006791361705
p_gistic_proteomics	na_props	0.4048599573347659
p_gistic_proteomics_cis	na_props	0.5345335875706008
p_gistic_proteomics_cis_loss	na_props	0.6638868851261408
p_gistic_proteomics_cis_gain	na_props	0.21480388820432428
p_gistic_proteomics_trans	na_props	0.6020995047631859
p_gistic_proteomics_trans_loss	na_props	0.6412867441719194
p_gistic_proteomics_trans_gain	na_props	0.20141083951256683
p_gistic_transcriptomics	na_props	0.021102972334552304
p_gistic_transcriptomics_cis	na_props	0.1524503122058098
p_gistic_transcriptomics_cis_loss	na_props	0.15642417872465192
p_gistic_transcriptomics_cis_gain	na_props	1.0
p_gistic_transcriptomics_trans	na_props	0.009503147290289534
p_gistic_transcriptomics_trans_loss	na_props	0.1223634284355643
p_gistic_transcriptomics_trans_gain	na_props	0.07952632728706469
