Name	lscc_Database_ID	brca_Database_ID	luad_Database_ID	ovarian_Database_ID	brca_pvalue	colon_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue
A1BG	NP_570602.2	NP_570602.2	NP_570602.2	NP_570602	0.0004068231467510115	0.0024583047787992995	0.002463409483733795	0.007320786646776519	0.0261074975014533	0.015353999401254002
A2M	NP_000005.2|NP_001334353.1|NP_001334354.1	NP_000005.2	NP_000005.2|NP_001334353.1|NP_001334354.1|K4JDR8|K4JBA2|K4JB97	NP_000005	0.0017646256729274255	0.0014396015376230908	0.005199383937426351	0.0033928735039911208	0.013208954126964188	0.003277977713028326
A2ML1	NP_653271.2|NP_001269353.1	NP_653271.2|NP_001269353.1		NP_653271	0.00043431328218725384		0.002185495231761614	0.004090271565533348		0.000514199534413934
AAAS	NP_056480.1|NP_001166937.1	NP_056480.1|NP_001166937.1	NP_056480.1|NP_001166937.1	NP_056480	0.0004200884209644099	0.004202894802497263	0.0035977869656545355	0.0008458149291513972	0.03476895315418331	0.0006783483767379483
AACS	NP_076417.2|NP_001306769.1|NP_001306768.1	NP_076417.2|NP_001306769.1|NP_001306768.1	NP_076417.2|NP_001306769.1|NP_001306768.1	NP_076417	0.00037778644631699125	0.0032700822127979924	0.0035769254139892846	0.016806331745165555	0.0012065840386939332	0.0018935998929698946
AADAT		NP_057312.1|NP_001273611.1	NP_001273611.1|NP_001273612.1		0.0013760348144082135		0.03919343602970834		0.0015336647849791471	
AAED1	NP_714542.1	NP_714542.1	NP_714542.1		0.0004640950920378048		0.002855584540370279	0.0009040118147364072	0.004294559361101303	
AAGAB	NP_078942.3|NP_001258814.1	NP_078942.3|NP_001258815.1	NP_078942.3|NP_001258814.1	NP_078942	0.01713325241549828	0.0028629646984904113	0.004195417371874759	0.0014995556898901616	0.0036198841484759345	0.0006901258423948647
AAK1	NP_055726.3	NP_055726.3		NP_055726	0.00037764630928135154	0.0014680251692979452	0.0027648106374026705	0.0008939761426659606		0.0028538333095312588
AAMDC	NP_001303889.1|NP_001350493.1	NP_078960.1|NP_001303886.1|NP_001303887.1	NP_001303889.1|NP_001350493.1|NP_001303886.1|NP_001303887.1	NP_078960	0.00037764630928135154	0.0010930779504217576	0.004587510649427039	0.0008872257854951248	0.001242053958524221	0.0012758841664499796
AAMP	NP_001289474.1|NP_001078.2	NP_001289474.1|NP_001078.2	NP_001289474.1|NP_001078.2	NP_001078	0.0007392984232897031	0.0031696862696690333	0.007080313975328168	0.01269872400593335	0.01329876637432788	0.001583285823513606
AAR2	NP_001258803.1	NP_001258803.1	NP_001258803.1	NP_001258803	0.0035578648294636666	0.012817088097633916	0.0027145349762814908	0.0023937951732747142	0.001418515094276218	0.0005755230834153422
AARS	NP_001596.2	NP_001596.2	NP_001596.2	NP_001596	0.00037764630928135154	0.06443602779101881	0.041336116478704964	0.001059786602358885	0.034201931630092615	0.0005082479471238339
AARS2	NP_065796.1	NP_065796.1	NP_065796.1	NP_065796	0.0004954599660829063	0.04884950325602301	0.025261369742965077	0.0011779856043589692	0.0012102404457605773	0.0006729846709760964
AARSD1	NP_001248363.1|NP_001129514.2|NP_079543.1	NP_001248363.1|NP_001129514.2|NP_079543.1	NP_001248363.1|NP_001129514.2|NP_079543.1		0.0026911189458483026		0.002460630838968137	0.000977104674518555	0.0012774986909324787	
AASDHPPT	NP_056238.2	NP_056238.2	NP_056238.2	NP_056238	0.0005054876851115331	0.0034273279407015947	0.0029968499227180302	0.002120770804334322	0.0016002286913431418	0.0007978766767637353
