protein	cancers	mean_simp_change	num_cancers
AGPAT5	brca_colon_hnscc_lscc_luad_ovarian	-1	6
ATP6V1B2	brca_colon_hnscc_lscc_luad_ovarian	-1	6
CHMP7	brca_colon_hnscc_lscc_luad_ovarian	-1	6
ERI1	brca_colon_hnscc_lscc_luad_ovarian	-1	6
KIF13B	brca_colon_hnscc_lscc_luad_ovarian	-1	6
MSRA	brca_colon_hnscc_lscc_luad_ovarian	-1	6
NAT1	brca_colon_hnscc_lscc_luad_ovarian	-1	6
PPP2R2A	brca_colon_hnscc_lscc_luad_ovarian	-1	6
VPS37A	brca_colon_hnscc_lscc_luad_ovarian	-1	6
XPO7	brca_colon_hnscc_lscc_luad_ovarian	-1	6
PINX1	brca_colon_hnscc_luad_ovarian	-1	5
PPP2CB	brca_colon_hnscc_luad_ovarian	-1	5
SH2D4A	brca_colon_hnscc_luad_ovarian	-1	5
SLC39A14	brca_colon_lscc_luad_ovarian	-1	5
GTF2E2	brca_hnscc_lscc_luad_ovarian	-1	5
MTMR9	brca_hnscc_lscc_luad_ovarian	-1	5
DOCK5	brca_colon_lscc_luad	-1	4
FAM160B2	brca_colon_lscc_luad	-1	4
FDFT1	brca_colon_luad_ovarian	-1	4
CNOT7	brca_hnscc_lscc_luad	-1	4
ERICH1	brca_hnscc_lscc_luad	-1	4
NEIL2	brca_hnscc_lscc_luad	-1	4
ARHGEF10	brca_hnscc_luad_ovarian	-1	4
SARAF	brca_hnscc_luad_ovarian	-1	4
R3HCC1	brca_lscc_luad_ovarian	-1	4
CTSB	colon_lscc_luad_ovarian	-1	4
ASAH1	brca_colon_ovarian	-1	3
HMBOX1	brca_lscc_luad	-1	3
MTMR7	brca_lscc_luad	-1	3
NUDT18	brca_lscc_luad	-1	3
DCTN6	colon_lscc_luad	-1	3
GSR	colon_luad_ovarian	-1	3
PPP3CC	hnscc_lscc_luad	-1	3
KCTD9	brca_luad	-1	2
PBK	brca_luad	-1	2
BNIP3L	brca_ovarian	-1	2
PSD3	brca_ovarian	-1	2
DOK2	hnscc_lscc	-1	2
KBTBD11	hnscc_luad	-1	2
BMP1	hnscc_ovarian	0	2
RBPMS	lscc_luad	-1	2
BIN3	brca	-1	1
CDCA2	brca	-1	1
MTUS1	brca	-1	1
SLC7A2	brca	-1	1
TNKS	brca	-1	1
PDLIM2	hnscc	-1	1
SORBS3	hnscc	-1	1
TDRP	hnscc	-1	1
PCM1	lscc	-1	1
PTK2B	lscc	-1	1
BLK	luad	-1	1
CCDC25	luad	-1	1
DEFA4	luad	-1	1
LPL	luad	-1	1
PNMA2	luad	-1	1
DPYSL2	ovarian	-1	1
NEFL	ovarian	-1	1
