Name	luad_pvalue_transcriptomics	luad_rvalue_transcriptomics	hnscc_pvalue_transcriptomics	hnscc_rvalue_transcriptomics	ovarian_pvalue_transcriptomics	ovarian_rvalue_transcriptomics	colon_pvalue_transcriptomics	colon_rvalue_transcriptomics	brca_pvalue_transcriptomics	brca_rvalue_transcriptomics	lscc_pvalue_transcriptomics	lscc_rvalue_transcriptomics	luad_pvalue_proteomics	luad_rvalue_proteomics	hnscc_pvalue_proteomics	hnscc_rvalue_proteomics	ovarian_pvalue_proteomics	ovarian_rvalue_proteomics	colon_pvalue_proteomics	colon_rvalue_proteomics	brca_pvalue_proteomics	brca_rvalue_proteomics	lscc_pvalue_proteomics	lscc_rvalue_proteomics
ADAM18			0.023872673724252298	0.24236443539161814	0.4566174449866954	0.08460629464498992			0.21193947354811532	0.4227188007516627														
ADAM2	0.04584723775334302	0.2653228896211895	0.0002485646172074355	0.3695431266990638	0.9820208434188349	0.0022822345836316024			0.40207842048503073	-0.1907404515845151	0.0009557990160942506	0.5028829451204353												
ADAM28	6.466380149045423e-05	0.3853128893935993	0.002158226382088105	0.31697806000003464	0.008912953792829158	0.2808174902285079	0.0014214396209643353	0.31557511857091003	0.5643379838058843	0.06600103804023308	1.0623647468338902e-06	0.46200267715062626	0.12662732119583114	0.18118979644758346	0.1995641656188735	0.1779575702172128	0.7649923316476391	0.09657146718626569					0.00107433628735576	0.38472422555581676
ADAM32	0.00021012325498454966	0.36046189178962273	7.786699020990791e-10	0.5675552896523495					0.0004687850262902778	0.33272075911880383	4.4842752491573403e-10	0.567528502064794												
ADAM3A			0.15304701088924375	-0.16121132252253287					0.3634342822100165	0.6205607000112335														
ADAM5			0.1124760695927193	0.17797256748453052					0.230773245883823	0.4055293537430475	0.0008176657240371258	0.41997049885073223												
ADAM7	0.27818711930886153	0.1558614694616473	0.011707743593421367	0.26696928775620354	0.42909432301702705	0.09022117008202443			0.9591364510135436	-0.028534696977724483														
ADAM9	2.4836540764801616e-07	0.4826698049445351	5.654985742299919e-17	0.71212183439842	0.0019447721053719824	0.3261100511731752	1.0214453991515138e-06	0.46363089571362553	8.438907929859424e-08	0.47966381386261514	1.809642898830967e-12	0.624328798116049	6.23400452700287e-05	0.39357905502888224	9.787703891012461e-10	0.5717545790991486	0.0031486886538873112	0.35339990225811546	0.0052262724826832516	0.31240086096823594	0.00032860018181429644	0.3386978228788883	6.225640337069608e-07	0.47869253940407835
ADAMDEC1	0.1868252868865532	0.1335103271697899	0.5348834809715722	-0.07631494180080717	0.4064599603524544	-0.09475091792026502	0.4412606159266398	0.08067499639661391	0.9390768879159712	-0.009900710125559098	0.0009792285932339639	0.32468841770337564	0.4060658692465295	0.14703130692857969	0.81943161443894	0.04388445631450006	0.8912219449099628	0.0349022319778972	0.40842481277519244	0.11231714562555298	0.6493226481632691	0.05563781752084372	0.8808209583755273	0.018811597546700573
ADGRA2	0.7141824104243049	-0.03760202558967457	0.5581426789750389	-0.07047903757214109							0.3755547295836489	0.0912387530087993	0.3010264471948616	-0.13264753887418237	0.0014828562711418124	-0.35583193280657627							0.3513634799097087	0.11978691071622992
ADRA1A	0.056867298513624896	0.19362275967635936	0.07437616072254209	0.19785454123947385	0.8379735215221614	-0.023194706683743196			0.4085745451150339	-0.1175227803935524	0.01891579753194152	0.24102478168328212												
ADRB3	0.1378620220438935	-0.16186297793378418	0.5348834809715722	-0.07606021760513586	0.5676057240337496	0.06526293423314464			0.07487310370547845	0.2507210982946648	0.9750265261391852	0.005341450795790716												
AGPAT5	1.0831167181727968e-09	0.5552352690063656	6.5578510704113835e-09	0.5419396171023626	1.2717397098963634e-10	0.6057207882558038	5.172773745802363e-15	0.6810153238097558	4.433735225688261e-11	0.5701291622186151	2.899364341903968e-07	0.4820149780781041	1.1620946571518707e-05	0.4276218591157773	4.6479539815772205e-07	0.48708502372245754	9.319496262566196e-07	0.5542378555288218	1.530834938792749e-05	0.4588048875390147	5.658353273970014e-07	0.4578642868578642	4.2554604153697467e-07	0.48513508502328906
ANGPT2	0.0006075258777729841	0.33541488748566745	0.10744185522160533	0.18065714130416968	0.36309309143191476	0.10521102066329342	0.12657452056659438	0.15742656300849345	0.230773245883823	0.13655597399567337	0.270524592788342	0.11207076196659113	0.5625202072754816	0.06040107339694862	0.2158046505818279	-0.1719354566019194	0.08973410615522294	0.3752788198302783			0.3252180203146632	-0.1153665488575272	0.5128528138402554	-0.0702339233366691
