Name	brca_Database_ID	lscc_Database_ID	luad_Database_ID	ovarian_Database_ID	brca_pvalue	colon_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue
ANKRD46	NP_001257308.1|NP_001257307.1	NP_001257308.1|NP_001257306.1	NP_001257308.1|NP_001257306.1	NP_001257307	0.191700887783618		0.036828320649532634	0.07500827554809626	0.10988350459550128	0.14005330817696124
ASAP1	NP_060952.2|NP_001234925.1	NP_060952.2|NP_001234925.1|NP_001349854.1|NP_001349855.1	NP_060952.2|NP_001234925.1|NP_001349854.1|NP_001349855.1	NP_001234925	0.1623297098542628	0.02133890900212242	0.013909002917642965	0.011404403217587051	0.042210003355833726	0.14005330817696124
ATAD2	NP_054828.2	NP_054828.2	NP_054828.2|NP_001341036.1|NP_060022.2|NP_001229267.2	NP_054828	0.9999841066697202	0.09050035734002572	0.11956747719132492	0.5607537637641618	0.7756644021160684	0.024626657176219025
ATP6V1C1	NP_001686.1	NP_001686.1	NP_001686.1	NP_001686	0.856818873172771	0.027221562410973687	0.055998697693423034	0.028418443396398554	0.05023772874164936	0.5466963193249089
C8orf37	NP_808880.1	NP_808880.1|NP_001350189.1	NP_808880.1|NP_001350189.1	NP_808880	0.06656598818728295		0.013909002917642965	0.33092310392748664	0.18309895457890715	0.08874077387625093
CA1	NP_001158302.1|NP_001278896.1	NP_001122301.1|NP_001278896.1	NP_001122301.1|NP_001278896.1	NP_001158302	0.09765090755899747	0.032492921904629525	0.013909002917642965	0.015400287581287411	0.05780499025719313	0.013285752774614502
CA1	NP_001158302.1|NP_001278896.1	NP_001122301.1|NP_001278896.1	NP_001278897.1	NP_001158302	0.09765090755899747	0.032492921904629525	0.013909002917642965	0.015400287581287411	0.06181305125931844	0.013285752774614502
CA1	NP_001158302.1|NP_001278896.1	NP_001278897.1	NP_001122301.1|NP_001278896.1	NP_001158302	0.09765090755899747	0.032492921904629525	0.013909002917642965	0.011404403217587051	0.05780499025719313	0.013285752774614502
CA1	NP_001158302.1|NP_001278896.1	NP_001278897.1	NP_001278897.1	NP_001158302	0.09765090755899747	0.032492921904629525	0.013909002917642965	0.011404403217587051	0.06181305125931844	0.013285752774614502
CA13	NP_940986.1	NP_940986.1	NP_940986.1	NP_940986	0.06656598818728295	0.2160369478008158	0.05692879829005919	0.032789611158984065	0.13393442217254004	0.23489929754498895
CA2	NP_000058.1|P00921	NP_000058.1|P00921	NP_000058.1|P00921	NP_000058	0.0182041657359344	0.02133890900212242	0.04068703922901915	0.01876784612023819	0.042210003355833726	0.013285752774614502
CA2	NP_000058.1|P00921	NP_000058.1|P00921	NP_001280604.1	NP_000058	0.0182041657359344	0.02133890900212242	0.04068703922901915	0.01876784612023819	0.042210003355833726	0.013285752774614502
CA3	NP_005172.1	NP_005172.1	NP_005172.1	NP_005172	0.07975018890268994	0.02133890900212242	0.013909002917642965	0.01324154237107303	0.042210003355833726	0.013285752774614502
CHMP4C	NP_689497.1	NP_689497.1	NP_689497.1	NP_689497	0.11681860488426246	0.13452761257639992	0.043362368614551665	0.29481169519908146	0.7864120648165192	0.013285752774614502
CNGB3	NP_061971.3	NP_061971.3	NP_061971.3		0.22735987641299849			0.027612729226933686	0.042210003355833726	
COL14A1	NP_066933.1	NP_066933.1	NP_066933.1	NP_066933	0.9016765091735869	0.027221562410973687	0.18000887047774447	0.312609646354451	0.11863320345229181	0.013285752774614502
COLEC10	NP_006429.2|NP_001311024.1		NP_006429.2|NP_001311024.1		0.0182041657359344	0.1462376242688542			0.059850390984594395	
COX6C	NP_004365.1	NP_004365.1	NP_004365.1	NP_004365	0.2664950862579334	0.22056002120247298	0.026389650012425603	0.01324154237107303	0.23786713237572363	0.024626657176219025
CPNE3	NP_003900.1|NP_055242.1|NP_705900.1	NP_003900.1	NP_003900.1|NP_001267487.1|NP_006023.1	NP_003900	0.6394854153891925	0.35551073129377403	0.5806491978951144	0.5733246530081055	0.9055587966321126	0.6635894912622449
CPQ	NP_057218.1	NP_057218.1	NP_057218.1	NP_057218	0.0182041657359344	0.02133890900212242	0.023560456331322276	0.01685330146609035	0.13393442217254004	0.43052740986440735
CSMD3	NP_937756.1|NP_937757.1|NP_443132.3	NP_937757.1|NP_937756.1|NP_443132.3|NP_001350114.1			0.37947927345524424			0.013953719092512409		
CTHRC1	NP_612464.1	NP_001243028.1	NP_001243028.1	NP_612464	0.07921176117027569	0.05811252515726826	0.013909002917642965	0.011404403217587051	0.09659671211791838	0.016811259349270247
CTHRC1	NP_612464.1	NP_001243028.1	NP_612464.1	NP_612464	0.07921176117027569	0.05811252515726826	0.013909002917642965	0.011404403217587051	0.06274068145722247	0.016811259349270247
CTHRC1	NP_612464.1	NP_612464.1	NP_001243028.1	NP_612464	0.07921176117027569	0.05811252515726826	0.013909002917642965	0.011404403217587051	0.09659671211791838	0.016811259349270247
CTHRC1	NP_612464.1	NP_612464.1	NP_612464.1	NP_612464	0.07921176117027569	0.05811252515726826	0.013909002917642965	0.011404403217587051	0.06274068145722247	0.016811259349270247
DCAF13	NP_056235.4	NP_056235.4	NP_056235.4	NP_056235	0.9999841066697202	0.4512290623946173	0.4855762396916476	0.3558077036634695	0.9283289500367033	0.04804263386882586
DECR1	NP_001317504.1|NP_001350.1	NP_001350.1|NP_001317504.1	NP_001350.1|NP_001317504.1	NP_001317504	0.9957008880749856	0.9999953991968545	0.3190081688781224	0.01324154237107303	0.9642729584497286	0.43052740986440735
DEPTOR	NP_073620.2|NP_001269941.1	NP_073620.2|NP_001269941.1	NP_073620.2|NP_001269941.1	NP_073620	0.07975018890268994	0.02133890900212242	0.013909002917642965	0.01324154237107303	0.2091622386909596	0.018340214180353913
DERL1	NP_077271.1|NP_001128143.1|NP_001317530.1	NP_077271.1|NP_001128143.1|NP_001317530.1	NP_077271.1|NP_001128143.1|NP_001317530.1	NP_001128143	0.09695744621367762	0.13452761257639992	0.311851916350612	0.011404403217587051	0.58114063847886	0.22006357242661612
DPYS	NP_001376.1	NP_001376.1	NP_001376.1	NP_001376	0.5264476147137341			0.01685330146609035	0.11863320345229181	0.08874077387625093
DSCC1	NP_076999.2	NP_076999.2	NP_076999.2	NP_076999	0.9999841066697202	0.032492921904629525	0.02436692577593386	0.6254840677687338	0.059122613542380034	0.08874077387625093
E2F5	NP_001942.2|NP_001077057.1			NP_001077057	0.9016765091735869					0.1703419683298112
EBAG9	NP_936056.1	NP_001265867.1	NP_001265867.1	NP_936056	0.29137757006915976	0.9999953991968545	0.2658113514589464	0.03891969584384705	0.7864120648165192	0.18787409906627836
EMC2	NP_001316422.1|NP_055488.1|NP_001316424.1|NP_001316423.1	NP_001316422.1|NP_055488.1|NP_001316424.1|NP_001316423.1	NP_001316422.1|NP_055488.1|NP_001316424.1|NP_001316423.1	NP_001316422	0.041882731399610754	0.04502138764577879	0.06787131179235488	0.011404403217587051	0.042210003355833726	0.0660827089371695
ENPP2	NP_001124335.1|NP_001317529.1|NP_001035181.1|NP_006200.3	NP_001124335.1|NP_001317529.1|NP_001035181.1	NP_001124335.1|NP_001317529.1|NP_001035181.1|NP_006200.3	NP_001035181	0.24606993678199374		0.04471424308199481	0.014877733818521007	0.07721758550943122	0.024626657176219025
ENY2	NP_064574.1|NP_001180486.1	NP_001180486.1|NP_064574.1	NP_001180486.1|NP_064574.1	NP_001180486	0.37947927345524424	0.096117856593285	0.2305334751133096	0.07047747549961511	0.7148838444342497	0.016648537577626996
