Name	brca_pvalue	colon_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue	brca_diff	colon_diff	hnscc_diff	lscc_diff	luad_diff	ovarian_diff
CNOT7	3.914365311298891e-10	1.435448025923761e-10	1.665202591131585e-09	3.304521383227973e-05	3.046598121334419e-09	0.0003514387421157109	-0.9763673160173161	-0.7526875490966205	-0.6084177215189914	-0.379001103448271	-0.5278187905844156	-15.138692236894766
INTS10	3.914365311298891e-10	5.060918064072745e-15	1.2174005675835279e-08	2.9300656671863707e-06	6.0849560570768756e-12	2.9807700833350756e-05	-1.0811325216450218	-0.8909280832678697	-0.5530379746835496	-0.43974641379309887	-0.5698104707792222	-10.005263821528612
MCPH1	4.0354330406844235e-10	1.0881409562143134e-11	7.87588753109348e-08	2.507263109631895e-11	3.322089187945493e-10	3.4773678131724874e-05	-0.9493648484848485	-0.7427639041633984	-0.4468399638336358	-0.5778836551724105	-0.5643211038961051	-2.9633243257302926
ELP3	2.250853979523332e-09	1.0617998291420022e-18	2.460093133239719e-09	2.9291596331815605e-06	1.4429898176985816e-07	6.150840258640648e-05	-0.9919324134199132	-0.7940193637077755	-0.519073236889696	-0.3652787586206827	-0.48485202922077963	-7.420864829931972
CHMP7	3.207350014032786e-09	4.153118559423803e-13	7.296692667640166e-08	1.3629121066722342e-13	1.0760057476200482e-08		-0.9044049783549784	-0.6403926944226228	-0.4774547920433996	-0.5756893793103401	-0.5290630681818178	
CCDC25	5.389864389891425e-09	5.022517552181162e-10	1.2956291110319777e-08	0.0008880785598857607	4.178903472930301e-09	0.0002972695083642787	-1.1466902056277057	-0.8543906520031399	-0.5939737793851716	-0.28780889655172714	-0.5318627435064931	-5.514267010804321
CCAR2	7.827383468969291e-09	2.673127687923665e-06	2.3590040873344436e-06	2.0126669405505843e-05	7.586920600716574e-14	0.02248690211215135	-0.9439373376623378	-0.5366811468970898	-0.43594484629294605	-0.3321456551724076	-0.6041996347402621	-4.107823081232498
ZNF395	1.0927871032336959e-07	5.366167290502385e-05	0.011357819247552223	0.14213836825321663	3.718212953740058e-05	0.07280114016133551	-1.1512026515151514	-0.4090658680282804	-0.4634448462929477	-0.20175310344827935	-0.5055670454545456	-2.63741764305722
PPP2R2A	1.0927871032336959e-07	1.6515717539380205e-13	7.965704360894759e-07	2.000672368128158e-08	2.149935398372533e-08	2.4375688372784385e-06	-1.0002751082251082	-0.7868559701492508	-0.501980108499092	-0.4732644827586121	-0.5965539366883132	-7.396397867146852
XPO7	2.781019071228178e-07	4.390119280061168e-15	3.3555063546514025e-06	0.00020045096583998345	4.5672515030571633e-10	0.0015614022295389524	-0.7504398809523809	-0.686282207384135	-0.4675994575045177	-0.29873765517242035	-0.49475324675324606	-4.8139506362545035
BIN3	3.961428413692942e-07	1.0681799919386046e-08	3.3555063546514025e-06	7.000768225631529e-09	1.485288566594976e-11	0.0015614022295389524	-0.8579600649350652	-0.619375923016495	-0.37744122965641935	-0.4698845517241459	-0.647502353896104	-3.4663121808723503
MTMR9	4.201177485278051e-07	7.234796578532626e-06	7.066193343900178e-07	6.173295599079743e-09	5.2058946103779725e-09	0.0002672309015904512	-0.7597587121212122	-0.41861732128829665	-0.3753571428571405	-0.5034173793103456	-0.4274771509740254	-0.6994562877150856
TNKS	8.8723772084674e-07	1.5796397857530665e-07	7.87588753109348e-08	8.953468246258274e-06	3.7739086986923006e-10	1.2072384497804998e-05	-0.7293058441558441	-0.6064149646504315	-0.5484041591320086	-0.41878944827587006	-0.5756277191558445	-3.273867400160063
TRIM35	1.4611268227607154e-06	1.5148571911704886e-12	0.002025607176969326	0.01049286757050344	4.133434713082623e-09	8.110529469679212e-07	-0.7260277597402599	-0.5970994501178275	-0.376306509945751	-0.2887469655172481	-0.4387986201298717	-1.4983345002000803
KCTD9	1.4611268227607154e-06	1.6466731114936562e-09	0.00014306319930188516	3.0776333966713944e-07	2.7970126680590527e-09	0.05247753944507308	-0.9607994588744588	-0.7389321681068353	-0.46493218806509873	-0.4955809655172345	-0.6499964285714275	-2.318531492597038
PINX1	1.4611268227607154e-06	2.2265027144793518e-09	0.004194935873482689	0.0008951605135565038	9.335186452056689e-08	0.31673087928709465	-0.9206233225108224	-0.8108426551453247	-0.39690325497287837	-0.3664390344827595	-0.47527792207792263	-1.2957698319327724
