protein	cancers	num_cancers
DEPTOR	brca_colon_hnscc_lscc_ovarian	5
NDUFB9	brca_colon_lscc_luad_ovarian	5
CA3	colon_hnscc_lscc_luad_ovarian	5
RPL30	colon_hnscc_lscc_luad_ovarian	5
IMPA1	brca_colon_hnscc_lscc	4
INTS8	brca_colon_hnscc_ovarian	4
NCALD	brca_colon_hnscc_ovarian	4
TBC1D31	brca_hnscc_lscc_luad	4
RALYL	brca_lscc_luad_ovarian	4
SYBU	brca_lscc_luad_ovarian	4
ASAP1	colon_hnscc_lscc_luad	4
ATP6V1C1	colon_hnscc_lscc_luad	4
RRM2B	colon_hnscc_lscc_luad	4
WWP1	brca_colon_hnscc	3
CPQ	brca_colon_lscc	3
SNTB1	brca_colon_lscc	3
MTSS1	brca_colon_ovarian	3
FER1L6	brca_lscc_luad	3
RIPK2	colon_hnscc_lscc	3
NSMCE2	colon_hnscc_ovarian	3
EMC2	colon_lscc_luad	3
LRRCC1	hnscc_lscc_luad	3
COX6C	hnscc_lscc_ovarian	3
PDP1	hnscc_lscc_ovarian	3
UQCRB	hnscc_lscc_ovarian	3
FABP4	lscc_luad_ovarian	3
EXT1	brca_hnscc	2
NBN	brca_hnscc	2
SDC2	brca_hnscc	2
DSCC1	colon_hnscc	2
ZFAND1	colon_hnscc	2
COL14A1	colon_ovarian	2
RAD54B	hnscc_lscc	2
RNF139	hnscc_lscc	2
ATAD2	hnscc_ovarian	2
RAD21	hnscc_ovarian	2
TSPYL5	hnscc_ovarian	2
WDYHV1	hnscc_ovarian	2
ZHX2	hnscc_ovarian	2
CNGB3	lscc_luad	2
ENPP2	lscc_ovarian	2
MRPL13	lscc_ovarian	2
COLEC10	brca	1
SAMD12	brca	1
SNX16	brca	1
FABP5	colon	1
GRHL2	colon	1
MED30	colon	1
ANKRD46	hnscc	1
C8orf37	hnscc	1
PMP2	hnscc	1
TMEM65	hnscc	1
TRPS1	hnscc	1
ZHX1	hnscc	1
CSMD3	lscc	1
DECR1	lscc	1
DERL1	lscc	1
DPYS	lscc	1
EBAG9	lscc	1
GEM	lscc	1
MTDH	lscc	1
POLR2K	lscc	1
PTDSS1	lscc	1
RGS22	lscc	1
SPAG1	lscc	1
CA2	luad	1
CHMP4C	ovarian	1
DCAF13	ovarian	1
ENY2	ovarian	1
PAG1	ovarian	1
UBR5	ovarian	1
UTP23	ovarian	1
VPS13B	ovarian	1
