	gain_event
C3L-00081	True
C3L-00415	False
C3L-00445	True
C3L-00568	False
C3L-00603	False
C3L-00904	False
C3L-00923	False
C3L-00927	False
C3L-00965	True
C3L-00993	False
C3L-01000	False
C3L-01285	False
C3L-01455	False
C3L-01606	False
C3L-01663	False
C3L-01838	False
C3L-01884	False
C3L-02127	False
C3L-02130	True
C3L-02163	False
C3L-02164	False
C3L-02168	False
C3L-02170	False
C3L-02349	True
C3L-02358	False
C3L-02546	True
C3L-02552	False
C3L-02619	True
C3L-02625	False
C3L-02627	False
C3L-02629	False
C3L-02646	False
C3L-02648	False
C3L-02649	False
C3L-02650	False
C3L-02660	True
C3L-02665	False
C3L-02669	False
C3L-02891	False
C3L-02951	False
C3L-02963	False
C3L-02964	False
C3L-02968	True
C3L-02969	False
C3L-03272	False
C3L-03678	False
C3L-03961	False
C3L-03962	True
C3L-03963	True
C3L-03965	False
C3L-04013	True
C3L-04014	False
C3L-04071	False
C3L-04391	False
C3N-00211	False
C3N-00221	False
C3N-00247	False
C3N-00497	False
C3N-00555	False
C3N-01017	False
C3N-01020	True
C3N-01025	True
C3N-01028	False
C3N-01194	False
C3N-01411	False
C3N-01846	True
C3N-01892	False
C3N-01893	False
C3N-02252	False
C3N-02283	False
C3N-02284	False
C3N-02285	False
C3N-02288	True
C3N-02289	False
C3N-02300	False
C3N-02339	False
C3N-02374	False
C3N-02375	False
C3N-02425	False
C3N-02426	False
C3N-02434	False
C3N-02435	True
C3N-02494	False
C3N-02523	False
C3N-02575	False
C3N-02675	False
C3N-03051	False
C3N-03072	False
C3N-03076	False
C3N-03092	False
C3N-03093	False
C3N-03204	False
C3N-03424	False
C3N-03425	True
C3N-03441	False
C3N-03486	False
C3N-03662	False
C3N-03848	False
C3N-03851	False
C3N-03875	False
C3N-03877	True
C3N-03880	False
C3N-03882	True
C3N-03886	False
C3N-04124	False
C3N-04127	False
C3N-04155	False
C3N-04162	False
