	gain_event
01OV002	False
01OV007	False
01OV008	False
01OV010	True
01OV013	False
01OV017	False
01OV018	False
01OV019	False
01OV023	False
01OV026	True
01OV030	True
01OV039	False
01OV041	False
01OV045	False
01OV046	False
01OV047	True
01OV049	False
02OV005	False
02OV006	False
02OV008	False
02OV022	False
02OV023	False
02OV029	False
02OV032	False
02OV035	False
02OV036	False
02OV040	False
02OV041	False
02OV042	False
02OV044	False
02OV045	False
02OV046	False
04OV001	False
04OV004	False
04OV005	False
04OV008	False
04OV011	False
04OV012	False
04OV013	False
04OV017	True
04OV018	False
04OV021	True
04OV023	False
04OV024	False
04OV027	False
04OV028	False
04OV031	False
04OV033	False
04OV036	False
04OV037	False
04OV039	False
04OV040	False
04OV041	True
04OV044	False
04OV045	False
04OV048	False
04OV049	True
04OV050	False
04OV051	False
04OV053	True
04OV054	True
04OV055	True
04OV057	False
04OV058	False
04OV063	False
11OV002	False
11OV009	True
13OV003	False
13OV004	False
14OV011	True
15OV001	False
17OV001	False
17OV002	False
17OV010	False
17OV011	False
17OV013	False
17OV014	False
17OV015	True
17OV017	False
17OV018	False
17OV019	True
17OV025	False
17OV027	False
17OV028	True
17OV029	False
17OV030	False
17OV033	False
17OV034	False
17OV036	False
17OV039	False
17OV040	False
18OV001	True
20OV005	True
22OV001	False
26OV002	True
26OV008	False
26OV009	False
26OV010	False
26OV011	False
26OV013	True
