Name	brca_Database_ID	ovarian_Database_ID	brca_pvalue	ovarian_pvalue	gbm_pvalue	brca_diff	ovarian_diff	gbm_diff
AAR2	NP_001258803.1	NP_001258803	0.1783102067047877	0.12138369526363764	0.007218943214450283	0.3141203711340207	0.20435903099326921	0.20434142713897055
ABHD12	NP_056415.1|NP_001035937.1	NP_001035937	0.5096934355437005	0.23789853532116473	0.8562290279127545	0.3404223505154642	0.14366948462596155	-0.020127153722718765
ACOT8	NP_005460.2	NP_005460	0.08397359533327922	0.17622019209679912	0.05896574228953242	0.6670369484536083	0.23436261290192306	0.179591536365041
ACSS1	NP_115890.2|NP_001239604.1|NP_001239605.1|NP_001239606.1	NP_001239604	0.9670315989313808	0.4369277703883667	0.01685697809244455	0.02901962886597938	0.15715789842211536	0.33133055647746334
ACSS2	NP_001070020.2|NP_061147.1|NP_001229322.1	NP_001070020	0.30365805697822085	0.8568652972462424	0.06627344923063176	0.4247837113402062	0.02969983243750001	0.16102496459813676
ACTR5	NP_079131.3	NP_079131	0.8050383657512687	0.21507494731499516	0.5134803064230454	0.053320123711340095	0.13508092562788462	0.049436058484394904
ADA	NP_000013.2|NP_001308980.1|NP_001308979.1	NP_000013	0.8050383657512687	0.28878626185642425	0.5722785447285174	0.10124886597938144	0.1660682431855769	0.08714165428516464
ADNP	NP_001269460.1	NP_001269460	0.5938302830519485	0.00027785469211658205	0.004908104649115985	0.13601975257731955	0.3888687770375	0.27215425443633534
ADRM1	NP_008933.2|NP_001268366.1	NP_008933	0.8050383657512687	0.4208672707002549	0.98519671786941	0.07583929896907216	-0.10672523248653848	0.001186356911654425
AHCY	NP_000678.1|NP_001309015.1|NP_001155238.1	NP_000678	0.5362474476863939	0.23789853532116473	0.00015058740376249294	0.19256325773195876	0.1724971323653846	0.30798890948571434
AP5S1	NP_060817.1	NP_060817	0.9889553676983487	0.84548952775723	0.6096367205430302	0.002205443298969073	-0.025807416150000005	0.05551891195627929
APMAP	NP_065392.1	NP_065392	0.10861916256893718	0.0010338638486522833	0.04283232151364244	0.6478011546391753	0.47024775907019223	0.1945046718697629
ARFGAP1	NP_060679.1|NP_783202.1|NP_001268412.1|NP_001268413.1	NP_001268413	0.20499731668756782	0.6141629614980428	4.232254748806767e-06	0.35740997938144325	0.08112055861346154	0.3152975110495525
ARFGAP1	NP_060679.1|NP_783202.1|NP_001268412.1|NP_001268413.1	NP_060679	0.20499731668756782	0.636658061669037	4.232254748806767e-06	0.35740997938144325	0.06611434754807693	0.3152975110495525
ARFGEF2	NP_006411.2	NP_006411	0.10861916256893718	0.2756148708966735	0.04283232151364244	0.5033625154639176	0.10701186015673073	0.12847226584090768
ARFRP1	NP_001254476.1|NP_001128230.1|NP_001254475.1|NP_001254473.1|NP_001254474.1	NP_001254476	0.23849569534007747	0.9403589602638123	0.00543765429310794	0.37965472164948455	0.022110914362499984	0.20640833327308175
ATP9A	NP_006036.1	NP_006036	0.5362474476863939	0.2820041338331129	0.5033604827039194	0.28150041237113405	0.1618094760221154	0.10136625449163474
ATRN	NP_647537.1|NP_001310261.1|NP_647538.1|NP_001193976.1	NP_647537	0.8868815134825542	0.4003604370353869	0.5212579123756755	0.06715591752577316	0.14850570031153845	-0.08863296949464396
B4GALT5		NP_004767		0.9840563850680893	0.5786255649837649			
BCAS1	NP_003648.2		0.8804025038248809		0.3199519306721573	-0.18434119587628928		-0.37252055494536795
BCL2L1	NP_001304848.1|NP_001182.1	NP_001304848	0.11410636231687799	0.19025907381385235	0.003539910168717928	0.6310039587628866	0.2255351188519231	0.26135849645200726
BPI	NP_001716.2	NP_001716	0.7540579309182572	0.49639188838063997	0.4821269195342379	-0.34465599999999985	-0.2649263202355769	-0.32449294843240717
C20orf27	NP_001245358.1|NP_001034229.1	NP_001034229	0.3015398316224341	0.008105865802206477	0.0010802187511459477	0.29811624742268045	0.3221920877990385	0.2605894988483204
CD40	NP_001309350.1|NP_001241.1|NP_001309351.1	NP_001241	0.30365805697822085	0.3628587060836301	0.5916562876428523	-0.6422764123711342	-0.21027465469326923	-0.11998309641605442
CD93	NP_036204.2	NP_036204	0.9888645773008471	0.945252247486153	0.045747052474051884	0.00642478350515463	0.012900533245192289	-0.29417869260688545
CDK5RAP1	NP_057166.4|NP_057492.2|NP_001265096.1|NP_001265098.1|NP_001265097.1	NP_001265096	0.8050383657512687	0.674326541780663	0.8969295553785367	-0.0818467216494845	0.07452240203269231	-0.015408901066567157
CDS2	NP_003809.1	NP_003809	0.9498231827233264	0.23240763043045012	0.018586230845705213	0.04366597938144334	0.18623609002788463	0.24643118505896483
CEBPB	NP_005185.2	NP_005185	0.37554774801233887	0.1297063412940319	0.7224794170210326	0.5197466804123713	0.2570370465836539	-0.057860541860468684
CENPB	NP_001801.1	NP_001801	0.2097915068252155	0.14866388827919935	0.21120422771141284	0.36656070103092786	0.1532576363701923	0.12653636049474598
CEP250	NP_009117.2|NP_001305148.1	NP_009117	0.4435704904461331	0.870825378731805	0.13127027243431177	0.17931092783505156	-0.023801034808653837	0.07579090163303648
CHD6	NP_115597.3	NP_115597	0.6675797847015216	0.05642333237045656	0.0022810377225338913	0.13882622680412374	0.18795955173173073	0.18704246430095997
