Name	variable	value	cancer	type	omics
ADAM28	brca_pvalue_transcriptomics	0.8050655410002117	brca	pvalue	transcriptomics
ADAM7	brca_pvalue_transcriptomics	0.750322667373064	brca	pvalue	transcriptomics
ADAMDEC1	brca_pvalue_transcriptomics	0.8463074160664662	brca	pvalue	transcriptomics
ADRA1A	brca_pvalue_transcriptomics	0.713720976473706	brca	pvalue	transcriptomics
AGPAT5	brca_pvalue_transcriptomics	2.0633799906960244e-11	brca	pvalue	transcriptomics
ANGPT2	brca_pvalue_transcriptomics	0.28998687695088976	brca	pvalue	transcriptomics
ARHGEF10	brca_pvalue_transcriptomics	3.979020425284612e-07	brca	pvalue	transcriptomics
ASAH1	brca_pvalue_transcriptomics	0.0016644716807587574	brca	pvalue	transcriptomics
ATP6V1B2	brca_pvalue_transcriptomics	6.744319777446579e-08	brca	pvalue	transcriptomics
BIN3	brca_pvalue_transcriptomics	1.142140681697926e-07	brca	pvalue	transcriptomics
BLK	brca_pvalue_transcriptomics	0.22965614352008984	brca	pvalue	transcriptomics
BMP1	brca_pvalue_transcriptomics	0.8973248547325909	brca	pvalue	transcriptomics
BNIP3L	brca_pvalue_transcriptomics	1.6057973779821248e-07	brca	pvalue	transcriptomics
C8orf48	brca_pvalue_transcriptomics	0.023911239102736494	brca	pvalue	transcriptomics
C8orf49	brca_pvalue_transcriptomics	0.9080013368284315	brca	pvalue	transcriptomics
C8orf58	brca_pvalue_transcriptomics	0.03875553532232887	brca	pvalue	transcriptomics
CCDC25	brca_pvalue_transcriptomics	9.617323834513119e-12	brca	pvalue	transcriptomics
CCDC25	brca_pvalue_transcriptomics	9.617323834513119e-12	brca	pvalue	transcriptomics
CDCA2	brca_pvalue_transcriptomics	0.015587826049230058	brca	pvalue	transcriptomics
CHMP7	brca_pvalue_transcriptomics	1.632420888641719e-16	brca	pvalue	transcriptomics
CHRNA2	brca_pvalue_transcriptomics	0.6787933085164066	brca	pvalue	transcriptomics
CLDN23	brca_pvalue_transcriptomics	0.0005678343074794832	brca	pvalue	transcriptomics
CLN8	brca_pvalue_transcriptomics	4.320533394205657e-06	brca	pvalue	transcriptomics
CLU	brca_pvalue_transcriptomics	0.0008693787027742286	brca	pvalue	transcriptomics
CNOT7	brca_pvalue_transcriptomics	1.7636140018755146e-20	brca	pvalue	transcriptomics
CSGALNACT1	brca_pvalue_transcriptomics	0.0008629235483445146	brca	pvalue	transcriptomics
CSMD1	brca_pvalue_transcriptomics	0.8095509028261968	brca	pvalue	transcriptomics
CTSB	brca_pvalue_transcriptomics	0.03461521488236609	brca	pvalue	transcriptomics
DCTN6	brca_pvalue_transcriptomics	1.123199343190574e-14	brca	pvalue	transcriptomics
DEFA1	brca_pvalue_transcriptomics	0.49522672341479373	brca	pvalue	transcriptomics
DEFA1B	brca_pvalue_transcriptomics	0.16236066369000682	brca	pvalue	transcriptomics
DEFA3	brca_pvalue_transcriptomics	0.17753154841102817	brca	pvalue	transcriptomics
DEFA4	brca_pvalue_transcriptomics	0.5845590040482768	brca	pvalue	transcriptomics
DEFA5	brca_pvalue_transcriptomics	0.9121825549507772	brca	pvalue	transcriptomics
DEFB1	brca_pvalue_transcriptomics	0.02658720674042209	brca	pvalue	transcriptomics
DEFB103B	brca_pvalue_transcriptomics	0.8405764922059406	brca	pvalue	transcriptomics
DEFB4A	brca_pvalue_transcriptomics	0.30635759150092856	brca	pvalue	transcriptomics
DEFB4B	brca_pvalue_transcriptomics	0.2897107530849601	brca	pvalue	transcriptomics
DLC1	brca_pvalue_transcriptomics	0.6268696489551495	brca	pvalue	transcriptomics
DLGAP2	brca_pvalue_transcriptomics	0.26090689901126735	brca	pvalue	transcriptomics
