Name	lscc_Database_ID	luad_Database_ID	ovarian_Database_ID	colon_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue	colon_diff	hnscc_diff	lscc_diff	luad_diff	ovarian_diff
A1BG	NP_570602.2	NP_570602.2	NP_570602	0.4396308178402394	0.6013153056052007	0.14470521928038127	0.03753418919554976	0.04156884741026645	-0.11904152542372892	-0.037598851040812065	0.31239487179487235	-0.4426916078431373	-0.2940554842079269
A2M	NP_000005.2|NP_001334353.1|NP_001334354.1	NP_000005.2|NP_001334353.1|NP_001334354.1|K4JDR8|K4JBA2|K4JB97	NP_000005	0.5219702869772676	0.4095822458808501	0.3251018304513431	0.10000763702436856	0.17949801500882592	-0.08140729755178899	-0.09471249084215216	0.30114537346711234	-0.4618773333333337	-0.24419462239207318
AAAS	NP_056480.1|NP_001166937.1	NP_056480.1|NP_001166937.1	NP_056480	0.2122771704735358	0.6485466543209399	0.7047209501988818	0.04527014432280357	0.5481314789214811	-0.1006056026365348	0.02022594951476364	-0.03758539576365638	0.21971768627450972	0.030730193228658526
AACS	NP_076417.2|NP_001306769.1|NP_001306768.1	NP_076417.2|NP_001306769.1|NP_001306768.1	NP_076417	0.24322837881985346	0.6871677322981111	0.08085655498087714	0.746111513147041	0.26605599763998306	0.08995946327683611	0.039000286049713395	-0.5274445930880715	-0.10359427450980419	0.1320340098987805
AAGAB	NP_078942.3|NP_001258814.1	NP_078942.3|NP_001258814.1	NP_078942	0.31713169071038533	0.7223708438400709	0.28612913758728087	0.43549696185231124	0.5346770553914002	-0.07834548022598857	-0.02619026193164231	-0.17458584169453745	-0.1197634901960784	0.04941436650060978
AAK1	NP_055726.3		NP_055726	0.6124406241514293	0.8087541740693288	0.5533284432865069		0.19481498769933117	0.02528931261770248	-0.011069633613356444	0.08118104793756961		0.10496940322317065
AAMDC	NP_001303889.1|NP_001350493.1	NP_001303889.1|NP_001350493.1|NP_001303886.1|NP_001303887.1	NP_078960	0.9728479996809809	0.5881667741426279	0.7801942402513692	0.8567396106733056	0.35059582569542125	-0.0032641242937853643	0.05276712934225003	0.07035061315496116	-0.050954274509803665	0.12628402518536572
AAMP	NP_001289474.1|NP_001078.2	NP_001289474.1|NP_001078.2	NP_001078	0.20820460402514018	0.5021748697239632	0.08935415157830473	0.11132293938885972	0.3018540260689785	-0.08592589453860638	0.04808098793065341	0.3282946488294314	-0.2760614117647058	0.0914239051914634
AAR2	NP_001258803.1	NP_001258803.1	NP_001258803	0.05779962185790939	0.8136117604799556	0.2691896998682749	0.6214032626822977	0.615603376411948	0.11947297551789077	-0.01459144905851062	-0.1484270903010033	0.06238662745098042	0.03988130376097557
AARS2	NP_065796.1	NP_065796.1	NP_065796	0.021853128915096016	0.18475535222235304	0.5853368947461258	0.8993289539820156	0.5485675985202461	0.13831723163841808	0.07063991937149439	-0.10116008918617611	0.026319215686274544	0.04064711283597562
