Name	lscc_Database_ID	luad_Database_ID	ovarian_Database_ID	colon_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue	colon_diff	hnscc_diff	lscc_diff	luad_diff	ovarian_diff
AGO2	NP_036286.2|NP_001158095.1	NP_036286.2|NP_001158095.1	NP_036286	7.949418837579338e-06	0.05674138179454434	0.8186102331670932	4.650468066748152e-05	0.005757166845156912	0.19815248419150858	0.06418989322797586	-0.025176420454545434	0.507758482142857	0.1589622536977041
ANXA13	NP_001003954.1|NP_004297.2		NP_001003954	0.12114951146367	0.47215143488175737	0.4826965528668764		0.4647296201527873	0.25694864498645	-0.20949100874136306	0.32628678977272707		-0.09585784852869894
ARFGEF1	NP_006412.2	NP_006412.2	NP_006412	2.671349088785308e-08	6.458350329431974e-06	0.001744449565936269	1.5203772504006323e-06	0.07699515931622876	0.4068844173441734	0.21153564225488353	0.49640525568181804	0.8521621347402599	0.15135546301403063
ARMC1	NP_060590.1|NP_001273631.1	NP_060590.1|NP_001273631.1	NP_060590	0.6877096099024929	0.07336899227083375	0.27313101235255555	0.06166698818225647	0.28777548313146434	0.018854923215898843	0.07279370639712468	0.12735440340909093	0.27358985389610396	0.07615957946747451
ASPH	NP_004309.2|NP_001158222.1|NP_115855.1|NP_001158226.1|NP_001158227.1|NP_001158228.1|NP_115857.1|NP_001158223.1|NP_001158224.1|NP_001158225.1	NP_004309.2|NP_001158222.1|NP_115855.1|NP_001158226.1|NP_001158227.1|NP_001158228.1|NP_115857.1|NP_001158223.1|NP_001158224.1|NP_001158225.1|NP_064549.1|NP_115856.1	NP_004309	0.02158668355272698	0.7368975694005595	0.4135040866051142	0.0337065364461684	0.046397704864892406	0.15920424570912375	0.025505145749125546	0.24648323863636368	0.7189221996753246	0.16815940049043365
ASPH	NP_004309.2|NP_001158222.1|NP_115855.1|NP_001158226.1|NP_001158227.1|NP_001158228.1|NP_115857.1|NP_001158223.1|NP_001158224.1|NP_001158225.1	NP_004309.2|NP_001158222.1|NP_115855.1|NP_001158226.1|NP_001158227.1|NP_001158228.1|NP_115857.1|NP_001158223.1|NP_001158224.1|NP_001158225.1|NP_064549.1|NP_115856.1	NP_001158224	0.02158668355272698	0.7368975694005595	0.4135040866051142	0.0337065364461684	0.3979848486493117	0.15920424570912375	0.025505145749125546	0.24648323863636368	0.7189221996753246	-0.08778513236862245
ATAD2	NP_054828.2	NP_054828.2|NP_001341036.1|NP_060022.2|NP_001229267.2	NP_054828	0.10683306804234383	0.13315321352129272	0.2857494905612049	0.00017351565040261928	0.933050799296985	0.20648500000000003	0.1407989754180754	0.31390894886363624	1.055919642857143	0.010877607981505125
ATP6V1C1	NP_001686.1	NP_001686.1	NP_001686	0.351220863667111	0.14565965711669765	0.30767796499484573	0.2162603001738092	2.7115488382982036e-05	0.04062841011743451	0.060944700414971464	0.13323877840909087	0.19730860389610383	0.3392524969043368
ATP6V1H	NP_057025.2|NP_998784.1	NP_057025.2|NP_998784.1	NP_998785	0.13926265150853956	0.9650862511642221	0.13834299603237074	0.011850670891347616	0.1094439264977562	-0.0736979674796748	-0.002027771054887495	-0.18804602272727272	-0.32438928571428566	0.10914575077806132
BOP1	NP_056016.1	NP_056016.1	NP_056016	6.670294010963418e-06	0.0027009534545970383	0.26000863078209974	0.0023979107046549278	0.4688763598409038	0.2535596657633243	0.16523096575417284	0.1855245738636364	0.45221075487012996	0.0535958945325255
