Name	Database_ID	start_bp	end_bp	variable	value	cancer_type_total_patients	cancer
FBXO25	ENSG00000147364.15	406428.0	477967.0	gain	20	122	brca
FBXO25	ENSG00000147364.15	406428.0	477967.0	loss	47	122	brca
TDRP	ENSG00000180190.10	489792.0	545781.0	gain	20	122	brca
TDRP	ENSG00000180190.10	489792.0	545781.0	loss	47	122	brca
ERICH1	ENSG00000104714.12	614746.0	738106.0	gain	20	122	brca
ERICH1	ENSG00000104714.12	614746.0	738106.0	loss	47	122	brca
DLGAP2	ENSG00000198010.10	737596.0	1708474.0	gain	19	122	brca
DLGAP2	ENSG00000198010.10	737596.0	1708474.0	loss	47	122	brca
CLN8	ENSG00000182372.6	1755778.0	1801711.0	gain	19	122	brca
CLN8	ENSG00000182372.6	1755778.0	1801711.0	loss	47	122	brca
ARHGEF10	ENSG00000104728.14	1823926.0	1958641.0	gain	18	122	brca
ARHGEF10	ENSG00000104728.14	1823926.0	1958641.0	loss	48	122	brca
KBTBD11	ENSG00000176595.3	1973677.0	2006936.0	gain	18	122	brca
KBTBD11	ENSG00000176595.3	1973677.0	2006936.0	loss	48	122	brca
MYOM2	ENSG00000036448.8	2045046.0	2165552.0	gain	18	122	brca
MYOM2	ENSG00000036448.8	2045046.0	2165552.0	loss	48	122	brca
CSMD1	ENSG00000183117.16	2935353.0	4994972.0	gain	18	122	brca
CSMD1	ENSG00000183117.16	2935353.0	4994972.0	loss	47	122	brca
MCPH1	ENSG00000147316.11	6406596.0	6648508.0	gain	17	122	brca
MCPH1	ENSG00000147316.11	6406596.0	6648508.0	loss	47	122	brca
ANGPT2	ENSG00000091879.12	6499651.0	6563409.0	gain	17	122	brca
ANGPT2	ENSG00000091879.12	6499651.0	6563409.0	loss	47	122	brca
AGPAT5	ENSG00000155189.10	6708642.0	6761503.0	gain	17	122	brca
AGPAT5	ENSG00000155189.10	6708642.0	6761503.0	loss	48	122	brca
XKR5	ENSG00000275591.3	6808517.0	6835524.0	gain	17	122	brca
XKR5	ENSG00000275591.3	6808517.0	6835524.0	loss	48	122	brca
DEFB1	ENSG00000164825.3	6870592.0	6877936.0	gain	17	122	brca
DEFB1	ENSG00000164825.3	6870592.0	6877936.0	loss	48	122	brca
DEFA6	ENSG00000164822.4	6924697.0	6926076.0	gain	17	122	brca
DEFA6	ENSG00000164822.4	6924697.0	6926076.0	loss	48	122	brca
DEFA4	ENSG00000164821.4	6935820.0	6938306.0	gain	17	122	brca
DEFA4	ENSG00000164821.4	6935820.0	6938306.0	loss	48	122	brca
DEFA1	ENSG00000206047.2	6977649.0	6980080.0	gain	15	122	brca
DEFA1	ENSG00000206047.2	6977649.0	6980080.0	loss	48	122	brca
DEFA1B	ENSG00000240247.5	6996766.0	6999195.0	gain	15	122	brca
DEFA1B	ENSG00000240247.5	6996766.0	6999195.0	loss	48	122	brca
DEFA3	ENSG00000239839.4	7015869.0	7018297.0	gain	15	122	brca
DEFA3	ENSG00000239839.4	7015869.0	7018297.0	loss	48	122	brca
DEFA5	ENSG00000164816.7	7055304.0	7056739.0	gain	16	122	brca
DEFA5	ENSG00000164816.7	7055304.0	7056739.0	loss	49	122	brca
USP17L1	ENSG00000230549.3	7332387.0	7333979.0	gain	16	122	brca
USP17L1	ENSG00000230549.3	7332387.0	7333979.0	loss	49	122	brca
USP17L4	ENSG00000236125.3	7337115.0	7338707.0	gain	16	122	brca
USP17L4	ENSG00000236125.3	7337115.0	7338707.0	loss	49	122	brca
ZNF705G	ENSG00000215372.6	7355517.0	7385558.0	gain	15	122	brca
ZNF705G	ENSG00000215372.6	7355517.0	7385558.0	loss	52	122	brca
DEFB4B	ENSG00000177257.2	7414855.0	7416863.0	gain	15	122	brca
